# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3  2.470443e-02 -4.202815e-02  4.432338e-01  2.003873e-01  4.496860e-01  3.284522e+00 6 3 -1.000000e+00
 1.472970e-01 -2.151337e-01  5.598908e+00  0.000000e+00  0.000000e+00  3.188459e-01  1.282482e-01  5.185722e-01  9.969293e-02
-6.550585e-02  1.736736e-01 -2.517750e+00  1.054979e+00  5.000000e-01  5.144985e-01  5.190610e-01  6.028826e-01  2.563132e-01
-6.524700e-04  1.633899e-03  1.774909e-03  1.936348e+00  1.000000e+00  2.536561e+01  5.397619e+00  1.067454e+00  2.459813e+01
3  4.092802e-01  2.035308e-01  1.510485e+00  7.007834e-01  1.991280e-01  3.278069e+00 6 1 -1.000000e+00
-2.897690e-01 -1.995905e-01 -4.173341e-01  6.132927e+01  5.000000e-01  1.124695e+00 -4.930756e-01 -1.472612e+00  6.888190e-01
 1.164806e+00  2.075636e-01  2.095809e+00  0.000000e+00  0.000000e+00  2.660943e-01 -2.094662e-01 -1.326603e-01  3.406618e-02
-1.966158e-02 -1.165379e-02  4.099609e-03  6.639554e+01  1.000000e+00  1.798028e+01 -2.496559e+00 -6.178299e+00  1.714479e+01
3 -1.171611e+00 -6.863891e-01  1.450484e+00  6.973687e-01  7.593217e-02  2.235473e+00 6 2  2.905221e-01
-9.680533e-01  5.370294e-01  3.802494e+00  0.000000e+00  0.000000e+00  3.497298e-01 -1.890821e-01  3.522980e-01  1.386222e-02
 2.842625e-01 -1.948238e-01 -2.887316e-01  8.985377e+01  5.000000e-01  9.950641e-01 -7.599276e-01  1.698811e+00  3.281255e-01
 3.915368e-03 -3.073130e-03  1.500238e-04  1.068937e+02  1.000000e+00  8.647770e+01 -4.417633e-01  2.531072e+01  8.441340e+01
1 -8.066390e-01  8.095603e+00  0.000000e+00  4.302325e+00  0.000000e+00  5.108208e+00 0 2 -1.000000e+00
-5.808218e+00  1.087812e+01  3.340182e+00  0.000000e+00  0.000000e+00  3.203331e-01  3.261202e-01  2.370818e-01  2.622749e-04
3 -3.792566e-01  1.838722e-01  1.377913e+00  4.897428e-01  2.497443e-01  1.412125e+01 6 1 -1.000000e+00
 2.581010e-01 -1.552189e-01 -4.634539e-01  7.470609e+01  5.000000e-01  7.210968e-01 -8.413337e-01  1.235984e+00  2.331840e-01
-9.613366e-01  4.863538e-01  1.855713e+00  0.000000e+00  0.000000e+00  2.539040e-01 -9.261400e-02  9.594571e-02  6.398886e-03
 2.215164e-03 -1.694644e-03  5.907126e-05  8.967616e+01  1.000000e+00  1.387446e+02  7.315339e+00  4.462445e+01  1.372929e+02
3 -2.266722e-01 -1.536841e-02  1.516535e+00  6.714199e-01  3.626268e-01  7.817286e+00 6 3 -1.000000e+00
 5.209411e-01  1.072230e-01 -1.213286e+00  6.666503e+01  5.000000e-01  5.582520e-01 -8.328847e-01 -5.706594e-01  2.610417e-02
-9.452778e-01  4.946257e-01  3.345827e+00  0.000000e+00  0.000000e+00  3.788206e-01 -2.618732e-01  1.356704e-01  1.433357e-02
 5.365044e-04 -1.713486e-04  7.707654e-06  1.270539e+02  1.000000e+00  3.917940e+02 -1.868195e+01  1.504319e+02  3.892087e+02
1 -1.553808e+00  1.852282e+00  0.000000e+00  1.694898e+00  0.000000e+00  2.068834e+00 0 2  2.704372e-01
-3.389265e+00 -2.949634e+00  4.056242e+00  0.000000e+00  0.000000e+00  4.459731e-01  6.894961e-02 -2.359199e-01  1.907181e-04
3  1.162951e-01  8.116014e-02  1.343249e+00  8.262571e-01  3.493340e-01  4.465151e+00 6 3 -1.000000e+00
-5.482751e-01 -2.185808e-01 -1.999706e+00  5.678099e+01  5.000000e-01  4.947663e-01 -5.717829e-01 -6.545218e-01  6.394360e-02
 3.814584e-01  7.509100e-01  5.724339e+00  0.000000e+00  0.000000e+00  3.752279e-01  2.192924e-01 -4.093389e-01  1.449456e-02
-6.034040e-04 -2.246308e-04  3.127279e-05  1.452887e+02  1.000000e+00  1.856563e+02 -4.135146e+01  2.028096e+01  1.840719e+02
3 -2.911242e-01 -2.988625e-01  9.204031e-01  3.464980e-01  1.036139e-01  3.662439e+00 6 1 -1.000000e+00
-5.421231e-01 -5.516295e-01  1.435893e+00  0.000000e+00  0.000000e+00  1.545312e-01  1.018817e-02 -1.352139e-01  6.855981e-03
 2.377270e-03  2.706381e-03  1.413056e-04  1.245247e+02  1.000000e+00  8.753448e+01  5.716062e+00 -1.945978e+01  8.679326e+01
 1.000606e-01  1.077202e-01 -1.487784e-01  1.140797e+02  5.000000e-01  9.063007e-01  1.067510e-01 -2.592063e+00  5.827469e-01
3 -1.723337e+00 -1.611990e-01  1.007165e+00  4.903794e-01  5.577858e-01  7.532160e+00 6 3  3.148764e-01
-4.527582e-01  7.034619e-01  3.003221e+00  0.000000e+00  0.000000e+00  3.919496e-01 -2.164821e-03  1.916892e-01  2.189037e-02
 1.305214e-01 -1.176138e-01 -1.675154e+00  1.457681e+01  5.000000e-01  1.107491e+00 -1.479715e-01  7.659105e-01  5.409808e-01
 3.548139e-02 -3.603747e-02  2.160990e-01  1.471700e+01  1.000000e+00  3.259596e+00 -4.137697e-02  6.903285e-01  2.511225e+00
3  1.297206e-02 -6.143745e-01  1.390308e+00  6.307125e-01  1.501568e-01  2.102839e+00 6 1 -1.000000e+00
-1.120674e-01 -1.144892e+00  1.449905e+00  0.000000e+00  0.000000e+00  1.426244e-01  2.080061e-01  4.611173e-02  1.916170e-02
