# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
1  4.567848e+00  3.404624e+00  0.000000e+00  8.475797e+00  0.000000e+00  3.794961e+00 0 2 -1.000000e+00
 1.166641e+01  9.320594e+00  3.940511e+00  0.000000e+00  0.000000e+00  4.510671e-01  8.810990e-03 -2.178889e-01  1.745186e-03
3 -8.265945e-02  2.206111e-01  5.644707e-01  2.661552e-01  1.440952e-01  1.327651e+00 6 1 -1.000000e+00
-1.680273e-01  4.012558e-01  1.727282e+00  0.000000e+00  0.000000e+00  1.496398e-01  2.749025e-01  2.619099e-01  3.120806e-02
 4.158776e-02 -1.228517e-01 -2.488931e-01  2.128345e+01  5.000000e-01  8.197610e-01  1.582182e+00  1.243775e+00  6.315127e-01
 1.499589e-03 -4.412548e-03  7.200892e-04  2.389745e+01  1.000000e+00  3.956158e+01  8.340411e+00  5.358723e+00  3.917780e+01
1  5.612390e+00 -5.237191e-01  0.000000e+00  1.219917e+00  0.000000e+00  4.130664e+00 0 2  2.840592e-01
 2.454533e+00  1.277883e+00  3.042112e+00  0.000000e+00  0.000000e+00  3.143869e-01 -3.289132e-01 -1.821057e-01  3.660952e-03
3  3.512216e-01 -3.952732e-01  1.403251e+00  4.986293e-01  1.123153e-01  5.959286e+00 6 1 -1.000000e+00
 6.878613e-01 -9.301588e-01  1.903805e+00  0.000000e+00  0.000000e+00  2.587499e-01 -1.218742e-03  1.555199e-01  3.470692e-03
-9.426741e-04  1.440557e-03  1.664031e-05  1.667107e+02  1.000000e+00  2.529877e+02  4.641845e+01  3.532831e+01  2.515435e+02
-1.588159e-01  1.888813e-01 -2.138265e-01  1.423652e+02  5.000000e-01  7.759801e-01  1.733539e-01  2.167215e+00  2.505488e-01
1 -2.787665e-03 -2.183457e-02  0.000000e+00  5.077516e-02  0.000000e+00  3.820067e+00 0 2 -1.000000e+00
 2.349995e-03 -8.916849e-02  3.507431e+00  0.000000e+00  0.000000e+00  4.522086e-01  1.198959e-01 -2.431941e-02  4.971813e-02
3 -1.033285e+00  8.961755e-01  7.102036e-01  2.872301e-01  1.914610e-01  2.482743e+00 6 1  2.794264e-01
-5.803490e-01  8.230949e-02  1.828081e+00  0.000000e+00  0.000000e+00  2.412163e-01 -1.693756e-01 -6.556370e-03  1.363188e-02
 1.276581e-01  2.649616e-02 -3.500062e-01  7.641601e+01  5.000000e-01  1.085339e+00 -1.559276e+00 -6.580514e-01  6.239468e-01
 9.397261e-03  1.584619e-03  3.473861e-03  8.044339e+01  1.000000e+00  1.879227e+01 -4.452172e+00 -2.979764e+00  1.792696e+01
1  4.883004e-01 -3.890388e+00  0.000000e+00  7.900128e-01  0.000000e+00  3.888427e+00 0 2  2.628799e-01
-8.133811e-01  1.721788e+00  3.483640e+00  0.000000e+00  0.000000e+00  3.887331e-01  9.757637e-02  2.776149e-01  1.259166e-03
3  2.579380e-01  3.412359e-01  1.452490e+00  5.900286e-01  3.134122e-01  5.674572e+00 6 1 -1.000000e+00
-1.785307e-01 -3.719722e-01 -5.617879e-01  3.713828e+01  5.000000e-01  6.584433e-01  7.999504e-01 -1.121058e+00  4.039598e-01
 7.533780e-01  7.421521e-01  1.792489e+00  0.000000e+00  0.000000e+00  1.883659e-01  1.046791e-02 -3.174220e-01  2.948805e-02
-4.335301e-03 -8.189921e-03  7.628563e-04  4.503117e+01  1.000000e+00  3.867122e+01  8.918955e+00 -5.358183e+00  3.804441e+01
1 -3.582829e-02  5.137808e-01  0.000000e+00  3.527996e-01  0.000000e+00  3.407756e+00 0 2 -1.000000e+00
 9.156162e-02  9.505192e-01  3.886974e+00  0.000000e+00  0.000000e+00  3.350363e-01  4.236322e-01 -7.377665e-02  1.057487e-01
3 -2.993272e-01  7.569825e-01  1.796694e+00  6.866327e-01  1.075606e-01  5.216502e+00 6 1 -1.000000e+00
-6.856704e-01  1.366260e+00  1.378556e+00  0.000000e+00  0.000000e+00  1.345481e-01  1.138270e-01  1.032157e-01  4.418788e-03
