# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3 -3.161870e-01 -1.084400e+00  3.365952e+00  1.962687e+00  2.167615e-01  7.595332e+00 6 1 -1.000000e+00
-1.521757e+00 -2.278669e+00  2.339781e+00  0.000000e+00  0.000000e+00  2.834742e-01  2.114694e-01 -2.032227e-01  2.601095e-02
 1.553329e-01  6.397213e-01 -5.071744e-01  1.663239e+02  5.000000e-01  1.054586e+00  1.326369e+00 -4.641487e-01  5.783708e-01
 2.616082e-02  6.874633e-02  1.285630e-02  1.731379e+02  1.000000e+00  1.013783e+01  1.536910e+00 -1.831670e+00  9.370624e+00
3  2.018744e-01 -3.276510e+00  2.730064e+00  1.712674e+00  2.493007e-01  1.155788e+01 6 1  2.943617e-01
 2.961055e-01 -2.197140e+00  2.992152e+00  0.000000e+00  0.000000e+00  2.765895e-01  4.279039e-01  7.754658e-02  5.272725e-03
-3.845897e-02  5.123465e-01 -7.459457e-01  1.691348e+02  5.000000e-01  1.348821e+00  1.203645e+00  1.161640e-01  2.168752e-01
-8.423080e-03  6.773579e-02  1.875700e-02  1.726811e+02  1.000000e+00  9.265259e+00  3.735015e+00  1.025054e+00  6.082034e+00
3  4.520993e-02  6.925567e-01  2.324724e+00  1.154037e+00  3.840505e-01  4.701983e+00 6 1 -1.000000e+00
-8.608992e-02 -4.800346e-01 -7.302818e-01  1.446510e+02  5.000000e-01  7.612414e-01  1.146072e+00 -3.359435e-01  2.548706e-01
 4.410599e-02  1.841041e+00  1.901525e+00  0.000000e+00  0.000000e+00  2.543883e-01  1.710873e-01 -2.779184e-02  6.714615e-03
-2.752687e-03 -1.209458e-02  6.427713e-04  1.605530e+02  1.000000e+00  4.178880e+01  6.367605e+00 -8.210736e+00  4.049764e+01
3 -7.112699e+00 -9.195066e-01  3.394983e+00  1.663274e+00  5.530725e-01  4.263109e+00 6 1  2.936991e-01
-4.941791e-01 -6.300337e-01 -1.296517e+00  3.045409e+02  5.000000e-01  8.672539e-01  1.582364e-01 -8.740023e-01  7.517040e-02
 1.000676e+00  2.418133e+00  2.344208e+00  0.000000e+00  0.000000e+00  3.040537e-01  1.093967e-01 -2.139866e-01  2.432351e-03
-5.332795e-03 -7.062206e-03  2.132496e-04  3.463896e+02  1.000000e+00  7.115852e+01 -4.863233e-01 -1.525254e+01  6.737362e+01
3 -3.404895e-01 -4.896563e-02  8.599709e-01  3.610163e-01  1.689851e-01  1.518672e+01 6 1 -1.000000e+00
-6.820132e-01 -1.081183e-01  1.710631e+00  0.000000e+00  0.000000e+00  1.926099e-01 -2.507703e-01 -6.643419e-02  1.877393e-02
 1.677364e-01  2.407672e-02 -2.890712e-01  3.458179e+01  5.000000e-01  9.350703e-01 -1.786523e+00 -5.214449e-01  6.147802e-01
