# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
1  3.757919e-01  2.298917e+00  0.000000e+00  3.130023e+00  0.000000e+00  5.300245e+00 0 2 -1.000000e+00
 6.942007e-03  5.889764e+00  3.084343e+00  0.000000e+00  0.000000e+00  3.686443e-01  2.719904e-01 -2.032487e-02  2.945323e-03
3  4.095409e-01  3.904908e-01  1.674532e+00  6.768851e-01  2.145298e-01  7.020741e+00 6 1 -1.000000e+00
-2.026754e-01 -2.102878e-01 -4.924206e-01  1.180849e+02  5.000000e-01  9.791559e-01 -7.240480e-02 -1.423368e+00  1.990126e-01
 9.256439e-01  1.027029e+00  2.295348e+00  0.000000e+00  0.000000e+00  2.897329e-01 -2.531013e-02 -2.611034e-01  3.104990e-03
-6.625576e-03 -8.310491e-03  1.167870e-03  1.256047e+02  1.000000e+00  3.055323e+01  3.772035e+00 -1.704609e+00  2.853304e+01
3  2.624003e-01 -5.534876e-01  1.716134e+00  5.577417e-01  4.367095e-01  5.893961e+00 6 3  2.817446e-01
-1.043073e+00  7.311582e-01  1.618265e+00  0.000000e+00  0.000000e+00  2.122992e-01 -5.026424e-02  5.083136e-04  3.744024e-03
 2.860683e-01 -3.544292e-01 -3.705586e+00  1.067669e+02  5.000000e-01  6.074317e-01  1.999341e-01  6.196765e-01  7.789914e-02
 2.721003e-03 -2.372822e-03  2.171033e-04  1.308477e+02  1.000000e+00  6.960721e+01  6.325932e+00  7.799289e+00  6.710552e+01
5 -1.893812e-03  6.071621e-02  9.758488e-01  6.170407e-01  1.000000e+00  3.307010e+00 6 3 -1.000000e+00
-4.467577e-01 -2.054256e-01  6.602891e+00  1.228998e+01  0.000000e+00  2.389239e-01 -4.265574e-01 -4.958194e-01  4.318603e-02
 2.368720e-01  4.909446e-01  2.457242e+00  0.000000e+00  0.000000e+00  1.835834e-01  3.839906e-01 -3.348534e-01  1.474230e-02
 2.692508e-01 -3.273067e-01 -1.828271e+00  2.004265e+01  5.000000e-01  2.495140e-01  2.811728e-01  1.015449e+00  6.697600e-02
-4.843622e-01  1.718058e-02 -5.218789e+00  1.256303e+01  5.000000e-01  2.940942e-01 -8.202448e-01  1.308315e-01  9.983554e-02
 1.562258e-05 -6.893953e-05  2.564660e-06  8.975266e+01  1.000000e+00  6.425575e+02 -1.114657e+02  9.620902e+01  6.416405e+02
1  1.066848e+00  1.021403e+00  0.000000e+00  1.076111e+00  0.000000e+00  5.609594e+00 0 2  2.734363e-01
-1.487588e+00 -1.296174e+00  9.624825e+00  0.000000e+00  0.000000e+00  5.192785e-01 -1.133111e-01 -3.381653e-01  1.801678e-03
3 -7.894544e-02  2.149325e-01  5.882281e-01  2.170627e-01  1.260659e-01  2.073441e+00 6 1 -1.000000e+00
-1.011446e-01  4.426936e-01  1.683070e+00  0.000000e+00  0.000000e+00  1.680898e-01  2.461864e-01  1.931697e-01  5.378793e-02
 4.572488e-02 -1.269042e-01 -2.121777e-01  6.796978e+01  5.000000e-01  1.133885e+00  1.583934e+00  1.490674e+00  9.697458e-01
 1.751022e-03 -5.406632e-03  7.410077e-04  7.576612e+01  1.000000e+00  4.223491e+01  1.561721e+01  1.033960e+01  4.193628e+01
3  7.693604e-02  1.075494e-01  3.162620e-01  1.278571e-01  1.257529e-01  4.874797e+00 6 1 -1.000000e+00
 1.255901e-01  2.194077e-01  2.315851e+00  0.000000e+00  0.000000e+00  2.359521e-01  9.291113e-02 -3.785893e-01  2.387472e-02
-2.896425e-02 -5.651729e-02 -2.912249e-01  1.527153e+01  5.000000e-01  1.006548e+00  7.854454e-01 -1.678360e+00  6.842070e-01
-1.931070e-03 -4.595970e-03  3.569322e-03  1.616904e+01  1.000000e+00  1.870051e+01  5.420593e+00 -1.939056e+00  1.817431e+01
3 -2.717791e-01 -2.019876e-01  1.845019e+00  9.285009e-01  3.458412e-01  4.734948e+00 6 3 -1.000000e+00
-1.030104e+00 -5.915192e-01  3.289183e+00  0.000000e+00  0.000000e+00  2.905061e-01 -1.873532e-01 -4.052820e-01  3.436761e-02
 5.160037e-01  4.152806e-01 -1.137535e+00  3.228222e+01  5.000000e-01  5.155968e-01 -1.889020e-01 -1.038295e+00  1.596638e-01
 2.535009e-03  1.875042e-03  1.189513e-04  5.331764e+01  1.000000e+00  9.405856e+01 -4.823164e+00 -1.516011e+01  9.263191e+01
3 -2.345492e-01 -9.555344e-02  1.081527e+00  6.488416e-01  2.950722e-01  4.716889e+00 6 1 -1.000000e+00
-6.885507e-01 -2.721866e-01  2.506153e+00  0.000000e+00  0.000000e+00  2.560771e-01 -2.395024e-01 -3.115154e-01  6.777969e-02
 3.313911e-01  8.756387e-02 -7.394959e-01  2.079931e+01  5.000000e-01  7.443666e-01 -9.558458e-01 -7.099153e-01  4.743220e-01
 8.700057e-03  1.984730e-03  1.458870e-03  2.605397e+01  1.000000e+00  2.954552e+01 -1.112949e+01 -2.349270e+00  2.885311e+01
3 -2.599837e+00 -2.586043e+00  4.039946e+00  2.310336e+00  8.296424e-01  2.948947e+00 6 1  2.839543e-01
 6.164376e-01 -8.680062e-01 -1.827611e+00  6.010091e+02  5.000000e-01  9.425104e-01  2.852148e-01  6.849234e-01  2.479561e-02
-1.290227e+00  2.693706e+00  2.202890e+00  0.000000e+00  0.000000e+00  2.577432e-01  2.413063e-01  1.968941e-01  1.034999e-03
 1.907455e-02 -2.444403e-02  2.391617e-03  6.483311e+02  1.000000e+00  2.380080e+01  3.054350e-01  1.008247e+01  1.773934e+01
3 -1.186692e+00  1.828710e+00  2.253713e+00  1.092474e+00  2.133585e-01  4.076017e+00 6 1  2.869826e-01
-1.663218e+00  1.041644e+00  2.802655e+00  0.000000e+00  0.000000e+00  3.781845e-01 -2.202700e-02  1.713616e-01  1.134521e-03
 1.712160e-01 -2.675833e-01 -5.979703e-01  2.073200e+02  5.000000e-01  1.594793e+00  6.338706e-01  1.274485e+00  1.817518e-01
 1.391445e-02 -2.017614e-02  5.064940e-03  2.115604e+02  1.000000e+00  1.624354e+01  3.001700e+00  5.091127e+00  1.248808e+01
3  1.287782e+00 -1.075219e-01  1.238289e+00  6.279222e-01  1.835479e-01  4.036320e+00 6 3  2.890836e-01
 1.456752e-02 -3.884556e-01 -5.960750e-01  5.766499e+01  5.000000e-01  7.042792e-01  1.328290e+00  2.716712e-02  1.580881e-01
-4.794667e-01  7.470134e-01  3.247517e+00  0.000000e+00  0.000000e+00  3.141351e-01  2.631253e-01  3.053657e-01  1.615508e-02
 2.816657e-04 -1.814899e-03  4.985527e-05  8.288037e+01  1.000000e+00  1.465762e+02  3.191526e+01  1.075975e+01  1.442606e+02
3  2.043999e-01 -1.104991e-01  6.826829e-01  2.812694e-01  2.293999e-01  3.115605e+00 6 1 -1.000000e+00
 3.727590e-01 -3.756177e-01  1.572281e+00  0.000000e+00  0.000000e+00  1.672490e-01 -1.167671e-01  2.093350e-01  5.030519e-03
-1.627940e-01  4.774837e-02 -3.606811e-01  2.820348e+01  5.000000e-01  4.659273e-01 -1.484133e+00  9.247238e-01  1.395498e-01
-7.039496e-04  2.766304e-04  2.387237e-05  3.702737e+01  1.000000e+00  2.072763e+02 -1.294329e+01 -2.220266e+01  2.061958e+02
3 -5.931300e-01  1.152119e-02  7.684680e-01  4.414385e-01  3.339596e-01  7.754633e+00 6 3  2.807093e-01
-5.752758e-01 -6.199924e-03  3.024090e+00  0.000000e+00  0.000000e+00  2.953309e-01 -3.846353e-01 -1.339264e-01  6.884287e-03
 1.443817e-01  2.633111e-01 -1.009924e+00  2.439393e+01  5.000000e-01  8.746747e-01  4.728179e-01 -8.844903e-01  5.315047e-02
 8.586527e-04  9.925535e-04  1.801351e-04  3.497926e+01  1.000000e+00  7.650809e+01  9.156077e+00 -8.139414e+00  7.120779e+01
3  1.067454e+00  8.267462e-02  4.724080e+00  2.441938e+00  1.736685e-01  1.615003e+01 6 3 -1.000000e+00
 3.969011e+00 -1.001394e+00  4.356146e+00  0.000000e+00  0.000000e+00  4.642079e-01 -2.168515e-01  1.024104e-01  1.028580e-03
-6.846817e-01 -1.889426e-01 -7.565255e-01  9.592529e+02  5.000000e-01  1.442733e+00 -1.039104e+00 -6.618970e-01  1.653203e-01
-2.629735e-02 -6.167773e-03  1.535595e-03  9.951785e+02  1.000000e+00  2.792717e+01 -6.167411e+00 -5.985143e+00  2.517517e+01
3  3.099264e-02  2.916491e-01  7.399714e-01  2.995279e-01  1.367191e-01  8.060997e+00 6 1 -1.000000e+00
