# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3 -5.525578e-01  9.363349e-02  6.535731e-01  3.353473e-01  1.833537e-01  1.719058e+00 6 1  2.879786e-01
-4.672340e-01 -3.012662e-01  2.458373e+00  0.000000e+00  0.000000e+00  3.246129e-01 -1.430938e-01 -1.699965e-01  7.399495e-03
 1.110044e-01  3.361662e-03 -4.507519e-01  3.030354e+01  5.000000e-01  1.629739e+00 -1.600896e+00 -2.285110e-01  6.546188e-01
 1.853780e-02  9.777443e-05  2.041058e-02  3.086705e+01  1.000000e+00  9.343907e+00 -4.498556e+00  6.241689e-01  7.470135e+00
3  2.810869e-01  1.376347e-01  7.249917e-01  4.192116e-01  5.825732e-02  8.174565e+00 6 2  2.836480e-01
-5.793211e-01 -2.506958e-01  5.681590e+00  0.000000e+00  0.000000e+00  3.829126e-01 -3.564618e-01 -2.787918e-01  8.649665e-03
 9.006941e-02  2.774506e-02 -3.309942e-01  3.532426e+01  5.000000e-01  1.879364e+00 -1.641767e+00 -1.048372e+00  7.787028e-01
 2.182305e-02  7.050273e-03  2.906447e-02  3.558285e+01  1.000000e+00  7.668964e+00 -2.548093e+00 -1.891039e+00  5.948279e+00
3 -4.132635e-02 -5.716081e-02  5.820690e-01  3.126564e-01  6.192070e-01  3.966152e+00 6 1 -1.000000e+00
-8.457654e-02 -3.828455e-01  2.492405e+00  0.000000e+00  0.000000e+00  2.926618e-01  2.655597e-01 -1.690751e-01  4.781202e-02
 2.015494e-01  1.240433e-01 -1.543315e+00  5.181734e+00  5.000000e-01  5.352481e-01 -4.881112e-01 -7.910107e-01  1.808779e-01
 7.775638e-04  1.016289e-03  4.900656e-04  9.256712e+00  1.000000e+00  4.646773e+01  2.400865e-01 -5.168485e+00  4.535833e+01
3  8.597768e-02 -3.570122e-01  7.508638e-01  3.465584e-01  1.006116e-01  6.077936e+00 6 1 -1.000000e+00
 7.289756e-02 -6.495426e-01  1.619410e+00  0.000000e+00  0.000000e+00  1.722963e-01  2.399780e-01  9.997611e-02  2.480377e-02
-7.313531e-03  2.239614e-02  1.259278e-02  4.348798e+01  1.000000e+00  1.165723e+01  4.497531e+00  3.733397e+00  1.121343e+01
-3.150301e-02  9.402784e-02 -1.629314e-01  4.307746e+01  5.000000e-01  2.167614e+00  2.207794e+00  1.620654e+00  1.851838e+00
3  1.067348e-01  8.303463e-02  7.455591e-01  3.649299e-01  6.066357e-01  7.637617e+00 6 1 -1.000000e+00
-2.434704e-01 -9.967299e-02 -1.404790e+00  2.520854e+01  5.000000e-01  4.371246e-01 -7.392546e-01 -6.943929e-01  5.656428e-02
 3.247480e-01  3.830135e-01  2.315706e+00  0.000000e+00  0.000000e+00  2.826213e-01  7.023415e-03 -2.876616e-01  6.954105e-03
-2.496271e-04 -1.400453e-04  8.436645e-06  4.732016e+01  1.000000e+00  3.494277e+02 -4.083852e+01  3.469218e+01  3.479662e+02
3 -1.617177e-01  2.664119e+00  3.600604e+00  1.797588e+00  2.300664e-01  8.281477e+00 6 1  2.846320e-01
-9.779227e-01  3.278553e+00  2.197667e+00  0.000000e+00  0.000000e+00  3.069874e-01  1.449140e-01  6.510363e-02  9.654259e-04
 2.966463e-02 -1.781961e-01 -5.056095e-01  4.076659e+02  5.000000e-01  3.780246e+00  2.973240e+00  9.313551e-01  1.564247e+00
