# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
1  2.581825e-01 -1.913279e+00  0.000000e+00  4.352286e-01  0.000000e+00  9.096738e+00 0 2  3.206027e-01
 1.306093e+00  5.347070e-01  4.019988e+00  0.000000e+00  0.000000e+00  3.736905e-01 -8.842650e-02 -3.683576e-01  1.496280e-03
3  1.978929e-01  3.288157e-01  1.213582e+00  4.700753e-01  2.059936e-01  9.257423e+00 6 1 -1.000000e+00
 5.621777e-01  7.299026e-01  1.865594e+00  0.000000e+00  0.000000e+00  2.286649e-01  6.699100e-02 -2.333406e-01  1.878501e-02
-1.230158e-01 -2.717415e-01 -3.843004e-01  6.332719e+01  5.000000e-01  8.119683e-01  1.069173e+00 -1.222438e+00  4.139200e-01
-2.134139e-03 -4.364418e-03  2.067749e-04  7.561144e+01  1.000000e+00  7.486295e+01  1.831559e+01 -1.685519e+01  7.377364e+01
1  2.004081e-01 -7.791017e-01  0.000000e+00  1.890653e-01  0.000000e+00  7.985875e+00 0 2  2.899947e-01
-1.473312e-01 -3.684062e-01  3.537495e+00  0.000000e+00  0.000000e+00  4.177257e-01  2.274646e-01 -6.795046e-02  4.613558e-03
3  1.485307e+00  1.327931e-01  1.347911e+00  8.292628e-01  5.575371e-02  3.839884e+00 6 2  2.892244e-01
 2.573230e-01 -1.524012e-01 -3.825707e-01  8.760284e+01  5.000000e-01  1.495566e+00 -7.213556e-01  1.529421e+00  4.355639e-01
-1.058212e+00  1.412510e-01  6.861798e+00  0.000000e+00  0.000000e+00  3.979659e-01 -4.356448e-01  1.640861e-01  1.822324e-02
 1.380215e-02 -6.676266e-03  1.848544e-03  9.400116e+01  1.000000e+00  2.791863e+01 -8.681979e+00  1.040526e+01  2.506098e+01
3  1.186885e-01 -1.849512e-01  1.044941e+00  4.690002e-01  3.469144e-01  2.403542e+00 6 1 -1.000000e+00
 4.096262e-01 -5.657546e-01  2.848386e+00  0.000000e+00  0.000000e+00  2.974295e-01  1.020299e-01  3.634820e-01  1.847241e-02
