# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3  3.233386e-01  5.134655e-01  1.723901e+00  7.331629e-01  1.044614e-01  2.802287e+00 6 1 -1.000000e+00
 6.729039e-01  1.315091e+00  2.266382e+00  0.000000e+00  0.000000e+00  3.168270e-01  7.695274e-02 -1.398986e-01  1.406756e-03
-1.371958e-01 -2.066096e-01 -2.367495e-01  3.254766e+02  5.000000e-01  9.575478e-01  6.892131e-01 -1.936663e+00  2.054008e-01
-1.239997e-03 -2.301980e-03  4.218038e-05  3.582338e+02  1.000000e+00  1.556397e+02  1.371646e+01 -4.196081e+00  1.537135e+02
1  5.242760e-01 -5.961654e-01  0.000000e+00  2.194931e-01  0.000000e+00  5.586782e+00 0 2  2.767637e-01
 5.372615e-01 -1.694363e-01  3.395625e+00  0.000000e+00  0.000000e+00  4.092292e-01 -9.555090e-02  2.130344e-01  7.354216e-03
3 -1.450241e-01 -2.520927e-01  9.125199e-01  4.593639e-01  2.198104e-01  4.172817e+00 6 1 -1.000000e+00
-5.306582e-01 -4.442891e-01  1.682366e+00  0.000000e+00  0.000000e+00  1.856048e-01  1.176738e-01 -2.345026e-01  1.137643e-02
 8.982680e-02  2.248080e-01 -3.698017e-01  6.208656e+01  5.000000e-01  4.371949e-01  1.370515e+00 -1.068920e+00  1.754821e-01
 6.283494e-04  9.825977e-04  2.977720e-05  8.489425e+01  1.000000e+00  1.846620e+02 -3.223051e+00 -1.177204e+01  1.839635e+02
3  9.254058e-01 -4.040845e-01  2.517882e+00  9.629377e-01  1.048060e-01  8.167960e+00 6 1 -1.000000e+00
 1.880126e+00 -1.047019e+00  1.706081e+00  0.000000e+00  0.000000e+00  2.242927e-01 -1.048106e-01  6.780888e-02  6.409320e-03
-1.261610e-02  5.845864e-03  3.564062e-04  1.789528e+02  1.000000e+00  5.670027e+01 -1.055843e+01  1.361074e+01  5.564021e+01
-3.380609e-01  1.443588e-01 -1.788075e-01  1.685381e+02  5.000000e-01  1.159686e+00 -1.708518e+00  1.642885e+00  6.588114e-01
3 -2.684033e-01 -1.031763e+00  4.414248e+00  1.470084e+00  7.042073e-01  8.362845e+00 6 1 -1.000000e+00
-9.418215e-01 -3.439396e+00  1.769477e+00  0.000000e+00  0.000000e+00  2.479053e-01  1.785144e-02  1.374678e-02  5.119365e-03
 1.008791e-01  8.499353e-01 -1.246078e+00  2.546948e+02  5.000000e-01  8.829998e-01  8.548189e-01 -2.923891e-01  2.920099e-01
 1.400338e-03  2.909000e-02  1.009867e-03  2.742944e+02  1.000000e+00  3.681079e+01  1.698751e+01  1.899310e+00  3.525255e+01
3  1.428944e-01 -4.873956e-01  3.330359e-01  7.456385e-01  6.819684e-01  3.459561e+00 6 1  2.882689e-01
 3.215989e-02  2.410644e-01 -2.146702e+00  3.375621e+01  5.000000e-01  1.025246e+00  6.738611e-01  1.112631e-01  1.074639e-01
 8.811809e-02 -8.723675e-02 -1.463983e+00  3.485356e+01  5.000000e-01  1.539527e+00  5.144181e-01  8.423366e-01  2.244943e-01
 3.932988e-02 -8.460574e-03  7.420100e-01  3.494852e+01  1.000000e+00  2.274537e+00  1.605574e-01  5.009741e-01  5.091968e-01
3 -4.941960e-01 -1.828141e-01  1.609841e+00  1.026068e+00  4.181499e-02  4.762070e+00 6 2 -1.000000e+00
-1.247259e+00  1.464318e-01  4.551818e+00  0.000000e+00  0.000000e+00  4.085371e-01 -3.599267e-01 -2.426386e-02  1.515424e-02
 4.804915e-03  1.831990e-03  7.777847e-05  2.392076e+02  1.000000e+00  1.313096e+02 -4.749135e+01 -4.322186e+01  1.299537e+02
 3.625773e-01  1.426094e-01 -1.903342e-01  1.960368e+02  5.000000e-01  1.286796e+00 -1.668615e+00 -1.597465e+00  6.501512e-01
3 -3.383479e-01 -3.060577e-02  1.137504e+00  5.801929e-01  1.375810e-01  9.946638e+00 6 1 -1.000000e+00
-7.958386e-01 -2.170828e-01  2.824404e+00  0.000000e+00  0.000000e+00  2.957165e-01 -3.422140e-01 -1.576322e-01  6.160448e-03
 3.231225e-01 -1.252949e-02 -3.885845e-01  9.700171e+01  5.000000e-01  5.879890e-01 -1.656251e+00  5.490698e-03  1.427926e-01
 6.377956e-04 -9.789336e-05  3.858499e-06  1.467940e+02  1.000000e+00  5.441421e+02 -1.312142e+02  1.364481e+02  5.426732e+02
2 -5.045369e-01  8.266745e-02  1.515737e+00  8.947328e-01  1.049384e-01  9.856447e+00 6 1 -1.000000e+00
-1.155626e+00  2.758919e-01  1.977037e+00  0.000000e+00  0.000000e+00  2.703114e-01 -1.545664e-01  5.241333e-02  1.305057e-02
 3.250979e-01 -4.801470e-02 -2.074670e-01  1.925579e+02  5.000000e-01  9.270654e-01 -2.124990e+00  5.565793e-01  4.894744e-01
3 -5.233973e-01 -1.959884e-01  1.191630e+00  3.919478e-01  2.619696e-01  2.672105e+00 6 1 -1.000000e+00
-1.039432e+00 -2.711822e-01  1.334166e+00  0.000000e+00  0.000000e+00  1.262813e-01 -7.912022e-02 -8.713455e-02  1.539068e-02
 1.036458e-01  6.549924e-02 -3.495110e-01  3.142107e+01  5.000000e-01  2.266726e+00 -9.903356e-01 -1.866808e+00  2.033340e+00
 5.275454e-02  3.306759e-02  1.037185e-01  3.145331e+01  1.000000e+00  5.125260e+00 -9.461240e-01 -2.545809e+00  4.852794e+00
3 -1.095689e-02 -4.922190e-01  1.766533e+00  7.940440e-01  1.686961e-01  2.760493e+00 6 3 -1.000000e+00
 5.672917e-02 -1.360384e+00  3.010429e+00  0.000000e+00  0.000000e+00  3.793660e-01  2.302256e-01  2.043939e-03  6.928880e-03
 2.521968e-02  4.058676e-01 -5.078476e-01  1.768478e+02  5.000000e-01  7.851887e-01  1.408789e+00 -1.747917e-01  1.967740e-01
 1.829522e-04  3.002577e-03  5.497982e-05  2.178267e+02  1.000000e+00  1.390667e+02  2.858111e+01 -7.552705e+00  1.375846e+02
1  9.937854e-02  3.387346e-02  0.000000e+00  3.106493e-02  0.000000e+00  8.204617e+00 0 2  2.704903e-01
-4.637153e-02  1.547661e-02  1.706951e+01  0.000000e+00  0.000000e+00  5.321113e-01 -3.324363e-01  2.232084e-01  2.913023e-02
1 -3.089526e+00 -2.160180e+00  0.000000e+00  3.171357e+00  0.000000e+00  2.597513e+00 0 2 -1.000000e+00
-7.209221e+00 -2.736841e+00  3.211403e+00  0.000000e+00  0.000000e+00  3.871650e-01 -1.723354e-01 -1.856793e-01  8.074630e-04
3  2.701787e-01  2.428781e-01  1.073317e+00  5.109252e-01  1.496176e-01  8.637455e+00 6 1 -1.000000e+00
 6.614430e-01  5.346788e-01  1.902825e+00  0.000000e+00  0.000000e+00  2.509953e-01 -2.982911e-03 -1.883204e-01  3.149195e-02
-1.760410e-01 -1.366117e-01 -2.846960e-01  5.319144e+01  5.000000e-01  1.219115e+00 -2.997977e-01 -1.862968e+00  8.413721e-01
-8.866554e-03 -6.354148e-03  1.096814e-03  5.782509e+01  1.000000e+00  3.571200e+01 -7.129013e+00 -1.556818e+01  3.496674e+01
3  3.087362e-01 -3.699678e-02  1.228776e+00  6.408244e-01  2.580029e-01  6.116584e+00 6 1 -1.000000e+00
 8.466830e-01  1.359712e-02  2.372874e+00  0.000000e+00  0.000000e+00  2.303786e-01 -4.133193e-01  7.371821e-03  5.000561e-02
-3.800923e-01  8.368895e-02 -6.122083e-01  5.184713e+01  5.000000e-01  6.429203e-01 -1.205435e+00  5.548553e-01  3.873206e-01
-5.486433e-03  1.000537e-03  3.909027e-04  6.894554e+01  1.000000e+00  5.430112e+01 -1.483919e+01  7.913701e+00  5.362794e+01
3  2.534571e-01 -8.675924e-02  1.539699e+00  7.536948e-01  3.763890e-01  8.496638e+00 6 1 -1.000000e+00
 1.085334e+00  3.563695e-03  2.888601e+00  0.000000e+00  0.000000e+00  3.687195e-01 -2.140713e-01  8.062338e-02  4.779389e-03
-4.329909e-01  2.592266e-01 -1.087238e+00  1.823756e+02  5.000000e-01  5.907556e-01 -3.878769e-01  9.678815e-01  7.049144e-02
-2.460432e-04  1.088059e-04  9.229779e-07  3.422256e+02  1.000000e+00  1.090218e+03 -1.623260e+02  2.767590e+02  1.087860e+03
1  8.508122e-01  1.052025e-01  0.000000e+00  1.851996e+00  0.000000e+00  1.694312e+00 0 2 -1.000000e+00
 2.092091e+00  7.771609e-01  4.373181e+00  0.000000e+00  0.000000e+00  3.450663e-01 -3.120994e-01 -3.207267e-01  1.906141e-01
1  1.147741e-02 -6.100259e-03  0.000000e+00  4.832857e-03  0.000000e+00  5.302684e+00 0 2 -1.000000e+00
 2.489577e-02 -1.043620e-02  4.544532e+00  0.000000e+00  0.000000e+00  4.865212e-01 -1.432307e-01  1.519893e-01  1.417306e-01
3  8.401677e-01  1.036534e-01  1.725001e+00  6.076547e-01  1.439078e-01  1.622239e+00 6 1 -1.000000e+00
 1.416667e+00  3.183814e-01  1.406219e+00  0.000000e+00  0.000000e+00  1.178022e-01 -2.493608e-01 -7.046437e-02  1.071970e-02
-2.779779e-01 -3.808684e-03 -2.023658e-01  4.811337e+01  5.000000e-01  9.746312e-01 -2.215992e+00 -1.776804e-01  7.172427e-01
-2.122947e-02 -3.022515e-04  2.063547e-03  5.018604e+01  1.000000e+00  2.346287e+01 -4.129283e+00  1.710871e+00  2.295836e+01
3 -8.353815e-02  1.012483e-01  3.013681e-01  1.446097e-01  1.119859e-01  3.003803e+00 6 1 -1.000000e+00
-1.583278e-01  1.917712e-01  1.720802e+00  0.000000e+00  0.000000e+00  1.904063e-01  7.166313e-02  2.630248e-01  3.782493e-02
 3.644893e-02 -3.819566e-02 -1.927056e-01  1.019518e+01  5.000000e-01  1.608091e+00  2.399035e-01  2.345524e+00  1.360859e+00
 4.455882e-03 -4.544679e-03  4.431415e-03  1.053697e+01  1.000000e+00  1.826537e+01 -4.748233e-01  8.497412e+00  1.788739e+01
3  3.467646e-01 -6.091787e-01  2.564326e+00  1.106222e+00  2.739301e-01  1.134314e+01 6 1 -1.000000e+00
 1.599270e+00 -1.441571e+00  1.882893e+00  0.000000e+00  0.000000e+00  2.532739e-01  4.120493e-02  1.574945e-01  2.837012e-03
-1.060088e-01  4.735765e-01 -5.157812e-01  2.426400e+02  5.000000e-01  9.915224e-01  1.340306e+00  3.774362e-01  1.639539e-01
-3.392135e-03  5.907370e-03  1.849585e-04  2.685960e+02  1.000000e+00  7.561810e+01  6.457793e+00  1.093349e+01  7.317125e+01
1  2.938741e-01  8.671359e-02  0.000000e+00  1.171380e-01  0.000000e+00  3.590202e+00 0 2  2.920788e-01
-8.909311e-02  1.520542e-01  3.476398e+00  0.000000e+00  0.000000e+00  3.980922e-01  2.040308e-01  1.816873e-01  4.165822e-03
3  1.106750e+00 -4.111700e-01  6.300546e+00  2.566360e+00  5.534779e-01  2.793532e+00 6 1 -1.000000e+00
 5.058264e+00 -3.801466e-01  2.784269e+00  0.000000e+00  0.000000e+00  3.912170e-01 -7.512671e-02  7.623605e-02  6.429847e-03
-1.132293e+00  7.919807e-01 -1.541031e+00  4.592953e+02  5.000000e-01  9.364519e-01 -1.260350e-01  7.981665e-01  1.870536e-01
-5.330647e-02  2.153863e-02  4.953877e-03  4.974416e+02  1.000000e+00  1.574962e+01 -2.579041e+00  3.006282e+00  1.409716e+01
3 -7.042181e-01  3.995519e-01  6.392380e-01  3.117116e-01  2.408411e-01  7.854938e+00 6 3  2.871466e-01
 1.311323e-01 -6.789181e-02 -7.411932e-01  1.268872e+01  5.000000e-01  1.242686e+00 -8.436149e-01  8.344978e-01  4.515373e-01
-2.450373e-01  4.489463e-01  3.077519e+00  0.000000e+00  0.000000e+00  3.966361e-01  1.175628e-02  1.974153e-01  2.743419e-02
