# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3  1.403927e-01 -7.332661e-01  2.356837e+00  1.189014e+00  2.060704e-01  4.450267e+00 6 1 -1.000000e+00
 4.218440e-01 -1.867969e+00  2.180121e+00  0.000000e+00  0.000000e+00  3.081431e-01  1.334123e-01  4.665873e-02  3.448886e-03
-1.010200e-01  4.301381e-01 -4.492585e-01  2.879639e+02  5.000000e-01  7.442378e-01  1.406542e+00  5.594132e-01  1.961987e-01
-1.873315e-03  5.416935e-03  1.264345e-04  3.272419e+02  1.000000e+00  9.119931e+01  1.465563e+00  1.498454e+01  8.990838e+01
3 -1.710292e-01 -4.244598e-02  4.331109e-01  1.996341e-01  1.310471e-01  5.653865e+00 6 1 -1.000000e+00
-3.522406e-01 -8.015392e-02  1.996525e+00  0.000000e+00  0.000000e+00  2.494494e-01 -2.173377e-01 -1.233703e-01  2.499810e-02
 7.015245e-02  1.560195e-02 -2.616387e-01  1.594292e+01  5.000000e-01  1.425380e+00 -1.788594e+00 -8.966295e-01  1.043278e+00
 9.264174e-03  1.973188e-03  7.279385e-03  1.638645e+01  1.000000e+00  1.385477e+01 -4.902425e+00 -1.958870e+00  1.327240e+01
3  1.224867e-01 -5.952065e-02  4.487460e-01  2.383907e-01  1.828461e-01  2.833084e+00 6 3 -1.000000e+00
 3.525690e-01 -6.842633e-02  3.272780e+00  0.000000e+00  0.000000e+00  2.878659e-01 -4.422213e-01  7.761844e-02  1.519249e-01
-7.887305e-02  5.498654e-02 -5.984152e-01  6.686925e+00  5.000000e-01  2.388566e+00 -6.904695e-01  1.767045e+00  2.181443e+00
-3.481572e-02  2.405012e-02  1.807158e-01  6.717234e+00  1.000000e+00  4.858813e+00 -9.588492e-01  2.904737e+00  4.607012e+00
1 -2.174822e+00  1.702584e+00  0.000000e+00  1.540129e+00  0.000000e+00  1.256727e+01 0 2 -1.000000e+00
-2.951031e+00  2.884072e+00  4.138429e+00  0.000000e+00  0.000000e+00  3.878255e-01 -6.189152e-02  3.595685e-01  1.425356e-03
3  3.452935e-01 -2.747354e-01  1.333222e+00  6.438993e-01  1.495423e-01  3.589919e+00 6 1 -1.000000e+00
 5.640315e-01 -8.412735e-01  1.633813e+00  0.000000e+00  0.000000e+00  1.837115e-01 -5.196532e-03  2.328833e-01  1.507011e-02
-2.990538e-01  1.748790e-01 -2.443240e-01  1.717931e+02  5.000000e-01  7.037572e-01 -1.141735e+00  1.696209e+00  4.357835e-01
-1.475940e-03  1.047317e-03  1.444659e-05  2.321428e+02  1.000000e+00  2.896534e+02 -4.769292e+01  1.087461e+02  2.889667e+02
2 -6.538830e-01  4.295407e+00  5.608534e+00  2.949332e+00  9.495626e-01  1.075542e+01 6 3  2.661802e-01
-1.974730e+00  3.380117e-01 -3.228267e+00  1.498206e+03  5.000000e-01  9.481302e-01 -5.344488e-01  1.637641e-01  9.378924e-04
