# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3  2.985998e-01  1.638505e-01  9.868535e-01  4.506848e-01  2.173051e-01  6.691661e+00 6 1 -1.000000e+00
 6.896509e-01  3.900218e-01  1.565737e+00  0.000000e+00  0.000000e+00  1.927860e-01 -2.958758e-02 -1.097369e-01  1.943466e-02
-1.777766e-01 -8.056237e-02 -3.402426e-01  7.090279e+01  5.000000e-01  9.950336e-01 -1.111213e+00 -1.305492e+00  6.628236e-01
-7.843468e-03 -3.691280e-03  1.023840e-03  7.692216e+01  1.000000e+00  3.477505e+01 -9.074839e+00 -9.038009e+00  3.408510e+01
3 -4.107264e-01 -9.516636e-01  8.868132e-01  3.065474e-01  1.059122e-01  1.713378e+00 6 1  2.955038e-01
-7.402414e-01 -2.600152e-01  1.502010e+00  0.000000e+00  0.000000e+00  1.713088e-01 -8.748673e-02 -1.153283e-01  5.874490e-03
 1.108014e-02  5.880060e-03  3.358267e-03  6.518844e+01  1.000000e+00  1.908389e+01 -2.505874e+00 -4.793231e+00  1.814383e+01
 9.066632e-02  4.987171e-02 -1.590811e-01  6.400306e+01  5.000000e-01  1.487333e+00 -1.374326e+00 -2.152863e+00  9.640908e-01
3 -2.766619e-01  9.279837e-02  8.423165e-01  3.976311e-01  1.345349e-01  2.387880e+00 6 1 -1.000000e+00
-6.240111e-01  8.327767e-02  2.212369e+00  0.000000e+00  0.000000e+00  2.241700e-01 -3.557787e-01  1.527404e-01  2.417673e-02
 1.996516e-01 -9.300815e-02 -2.976410e-01  5.720566e+01  5.000000e-01  7.913983e-01 -1.233615e+00  1.371664e+00  4.614218e-01
 3.270138e-03 -1.511890e-03  2.018371e-04  6.968951e+01  1.000000e+00  7.536601e+01 -1.109732e+01  2.127586e+01  7.452141e+01
3  5.606943e-01  4.725340e-01  1.788549e+00  7.294736e-01  1.114852e-01  4.329470e+00 6 1 -1.000000e+00
 1.254347e+00  9.840720e-01  1.418143e+00  0.000000e+00  0.000000e+00  1.559287e-01  2.702920e-02 -8.110758e-02  3.731886e-03
-1.538675e-01 -1.185782e-01 -1.581019e-01  1.589500e+02  5.000000e-01  1.732787e+00 -6.129471e-01 -2.546823e+00  9.017925e-01
-1.266551e-02 -9.683335e-03  1.098364e-03  1.623660e+02  1.000000e+00  3.435903e+01 -4.493410e+00 -1.349776e+01  3.243096e+01
3  1.393115e-02  4.998318e-02  3.271813e-01  1.559465e-01  4.291239e-01  1.235608e+00 6 3 -1.000000e+00
