# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3 -1.799346e-01  4.534635e-01  1.443897e+00  8.142563e-01  1.081125e-01  4.640945e+00 6 3 -1.000000e+00
 2.239579e-01  1.213634e+00  4.805005e+00  0.000000e+00  0.000000e+00  3.858069e-01  4.105570e-01  2.366100e-02  5.581646e-02
 9.795526e-02 -2.247552e-01 -5.194812e-01  4.009070e+01  5.000000e-01  2.073209e+00  1.166803e+00  1.309712e+00  1.433005e+00
 3.740323e-02 -8.840363e-02  1.215468e-01  4.027822e+01  1.000000e+00  4.894798e+00  1.786492e+00  1.936650e+00  4.083290e+00
3 -3.033560e-01 -2.600816e-01  1.272867e+00  7.782758e-01  1.460125e-01  1.785553e+00 6 1 -1.000000e+00
-5.562127e-01 -7.448820e-01  1.893577e+00  0.000000e+00  0.000000e+00  1.880407e-01  1.063717e-01 -3.462110e-01  3.507123e-02
 3.203343e-01  1.780778e-01 -2.764859e-01  3.101347e+01  5.000000e-01  1.052715e+00 -8.946468e-01 -1.679050e+00  8.305484e-01
 7.756872e-03  4.384531e-03  4.277720e-04  3.757608e+01  1.000000e+00  5.793044e+01 -1.963906e+01 -2.275276e+01  5.743673e+01
3 -3.176418e-01 -9.597807e-01  2.038395e+00  9.610295e-01  1.005819e-01  4.070589e+00 6 1 -1.000000e+00
-4.061292e-01 -1.817060e+00  1.732347e+00  0.000000e+00  0.000000e+00  2.163676e-01  1.457797e-01 -1.248057e-01  8.966372e-03
 1.801774e-02  6.609176e-02  3.131979e-02  1.191503e+02  1.000000e+00  7.861049e+00  3.352579e+00 -1.976236e+00  7.300088e+00
 5.010606e-02  1.696217e-01 -1.742428e-01  1.189096e+02  5.000000e-01  2.458378e+00  2.249672e+00 -1.674801e+00  1.999421e+00
3  1.719215e-01  7.971825e-01  1.928617e+00  8.843092e-01  1.021918e-01  6.197738e+00 6 1 -1.000000e+00
 1.583419e-01  1.681659e+00  1.710977e+00  0.000000e+00  0.000000e+00  2.182446e-01  1.613492e-01 -2.543124e-02  8.487730e-03
-8.408307e-02 -2.316616e-01 -1.748478e-01  8.912638e+01  5.000000e-01  1.706455e+00  1.940176e+00 -1.566542e+00  1.109700e+00
-9.805528e-03 -2.879314e-02  3.690326e-03  9.091759e+01  1.000000e+00  1.925755e+01  5.502980e+00 -5.663633e+00  1.824205e+01
3 -3.000702e-01  5.044646e+00  2.780475e+00  1.399411e+00  8.682560e-01  1.066783e+01 6 3  3.032559e-01
-1.414796e-01 -9.660395e-01 -2.961315e+00  8.029473e+01  5.000000e-01  7.297194e-01  6.359827e-01 -7.915426e-02  2.678274e-02
 1.899684e+00  9.219999e-01  3.410647e+00  0.000000e+00  0.000000e+00  4.528444e-01 -1.815406e-02 -7.648672e-02  4.525967e-03
-4.386678e-03 -3.265109e-03  9.579169e-04  1.148543e+02  1.000000e+00  3.364515e+01 -4.568700e+00 -9.491774e-01  2.975058e+01
2  7.907007e-01  1.300304e-01  4.799900e+00  1.828420e+00  4.788367e-01  4.540693e+00 6 1 -1.000000e+00
-7.349775e-01 -5.298088e-01 -1.152112e+00  1.036433e+03  5.000000e-01  1.128448e+00 -3.407048e-02 -9.398454e-01  6.004620e-02
 4.049864e+00 -1.498988e-01  2.406064e+00  0.000000e+00  0.000000e+00  3.515750e-01 -4.700286e-02  5.127550e-02  4.455529e-04
3 -4.590595e-01  2.245494e-01  1.461931e+00  7.511383e-01  2.224201e-01  2.272187e+00 6 1 -1.000000e+00
 3.135787e-01 -1.113166e-01 -4.333336e-01  6.032256e+01  5.000000e-01  1.027681e+00 -1.155684e+00  9.863318e-01  7.408770e-01
