# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3  7.901151e-02 -5.272491e-02  2.893245e-01  1.447362e-01  1.360946e-01  5.439728e+00 6 1 -1.000000e+00
 1.765933e-01 -1.275914e-01  2.210107e+00  0.000000e+00  0.000000e+00  2.394990e-01 -1.112116e-01  3.369378e-01  9.500415e-02
-6.047105e-02  3.826747e-02 -3.007836e-01  1.178699e+01  5.000000e-01  1.315678e+00 -7.874721e-01  1.674571e+00  1.121300e+00
-4.176397e-03  2.662960e-03  3.065081e-03  1.286198e+01  1.000000e+00  2.227734e+01 -4.922077e+00  1.011151e+01  2.196203e+01
3  2.944662e-01 -1.696685e+00  1.693725e+00  7.542369e-01  2.342416e-01  1.596171e+01 6 3  2.701512e-01
-1.139354e+00 -9.401011e-01  3.320344e+00  0.000000e+00  0.000000e+00  4.503825e-01  2.497548e-03 -2.999239e-02  2.721646e-03
 1.016987e-01  2.125010e-01 -7.777626e-01  1.905270e+02  5.000000e-01  1.420560e+00  9.157675e-01 -7.899238e-01  3.224625e-01
 1.055217e-02  1.693466e-02  6.079200e-03  1.951203e+02  1.000000e+00  1.668044e+01  3.815409e+00 -8.174557e+00  1.413867e+01
3 -3.580537e-02 -2.889582e-01  7.793464e-01  3.379569e-01  1.286559e-01  2.274393e+00 6 1 -1.000000e+00
-6.868067e-02 -5.952416e-01  2.059379e+00  0.000000e+00  0.000000e+00  2.287215e-01  3.226279e-01 -7.210054e-02  2.259397e-02
 2.122472e-02  1.789016e-01 -2.649512e-01  8.757781e+01  5.000000e-01  8.465036e-01  1.885179e+00 -4.939053e-01  5.026811e-01
 3.662439e-04  3.689580e-03  2.361525e-04  1.019181e+02  1.000000e+00  6.922355e+01  2.027502e+01 -2.970507e+00  6.841891e+01
1  2.111652e+00 -1.946744e+00  0.000000e+00  9.690591e-01  0.000000e+00  2.818122e+00 0 2  3.243113e-01
-2.057054e+00  6.950296e-01  4.160844e+00  0.000000e+00  0.000000e+00  4.477539e-01 -1.222348e-01  2.229318e-01  3.529622e-03
3 -1.518685e-01 -5.721980e-01  1.823755e+00  7.635791e-01  6.566179e-02  4.053622e+00 6 2 -1.000000e+00
-6.124494e-01 -1.149075e+00  4.037456e+00  0.000000e+00  0.000000e+00  2.434262e-01  3.645270e-01 -4.379992e-01  9.062224e-02
 1.291290e-01  5.171014e-01 -2.651066e-01  3.991019e+01  5.000000e-01  1.040654e+00  1.735952e+00 -8.718899e-01  8.106231e-01
 4.064550e-03  1.512945e-02  7.135284e-04  4.816162e+01  1.000000e+00  4.294749e+01  1.635030e+01 -9.527544e+00  4.239838e+01
5 -1.351964e-02  4.641053e-02  1.051020e+00  4.712121e-01  1.000000e+00  1.235115e+01 6 3 -1.000000e+00
-1.732164e-01 -4.529452e-01  4.354350e+00  1.130404e+00  0.000000e+00  3.576401e-01  2.437169e-01 -3.515294e-01  2.272644e-01
 3.521355e-01 -1.856885e-01 -2.019838e+00  1.803057e+00  5.000000e-01  5.909150e-01 -5.566995e-01  5.937385e-01  4.216798e-01
-4.179205e-01 -6.259386e-02 -3.297932e+00  1.354341e+00  5.000000e-01  4.773382e-01 -7.344122e-01 -1.924435e-01  3.194317e-01
 3.532445e-02  5.771780e-01  2.496438e+00  0.000000e+00  0.000000e+00  2.940818e-01  3.062896e-01 -6.274120e-02  1.722853e-01
 1.130976e-03 -2.983933e-03  5.339764e-03  3.451377e+00  1.000000e+00  1.492829e+01  1.189674e+00  2.303885e+00  1.449723e+01
3  1.850401e+00  4.798471e-01  1.799271e+00  7.329748e-01  2.726767e-01  5.118736e+00 6 1  2.735467e-01
 1.103260e+00 -1.101646e+00  2.073071e+00  0.000000e+00  0.000000e+00  2.689007e-01 -2.187213e-01  6.550729e-02  7.397343e-04
-3.079764e-01  1.450249e-02 -5.652783e-01  2.889952e+02  5.000000e-01  1.079593e+00 -1.332219e+00 -2.385109e-02  5.187450e-02
-4.633664e-03  7.128200e-04  3.786234e-04  3.107372e+02  1.000000e+00  5.268731e+01  4.044457e+00 -3.751386e+00  4.825684e+01
3  1.709870e-01  3.762643e-02  4.794065e-01  3.234231e-01  1.044092e-01  3.125297e+00 6 3 -1.000000e+00
 3.779046e-01  8.797988e-02  3.651010e+00  0.000000e+00  0.000000e+00  3.021526e-01 -3.930912e-01 -2.420195e-01  1.210175e-01
-9.074277e-02 -1.301663e-02 -3.811989e-01  5.514080e+01  5.000000e-01  2.102942e+00 -1.861026e+00 -6.134870e-01  1.824585e+00
-2.878114e-02 -4.039150e-03  5.978551e-02  5.565138e+01  1.000000e+00  6.555192e+00 -3.643878e+00 -9.251230e-01  6.199246e+00
3  1.566865e-01 -6.161774e-01  9.783846e-01  3.892571e-01  8.921419e-01  2.779197e+00 6 1  2.865360e-01
-6.104060e-01 -3.890592e-01  2.120006e+00  0.000000e+00  0.000000e+00  2.990994e-01 -1.087603e-01 -8.795525e-02  5.685858e-03
 2.354426e-01  1.026487e-01 -2.376310e+00  3.681877e+01  5.000000e-01  6.944701e-01 -5.700906e-01 -4.349318e-01  8.247770e-02
 2.983766e-03  2.146716e-03  6.610019e-04  4.365904e+01  1.000000e+00  4.092593e+01  3.129855e+00 -8.451560e+00  3.847565e+01
3 -7.496240e-01 -3.458666e-01  2.080377e+00  1.125725e+00  2.168158e-01  4.305713e+00 6 3  2.863545e-01
 1.063384e+00 -1.272825e+00  3.521177e+00  0.000000e+00  0.000000e+00  3.747954e-01 -5.355741e-02  3.225159e-01  9.431607e-03
-4.333179e-01  1.721156e-01 -7.634469e-01  9.251591e+01  5.000000e-01  1.156972e+00 -8.347753e-01  7.985231e-01  2.664644e-01
-3.257416e-02  1.302354e-02  9.940915e-03  9.784353e+01  1.000000e+00  1.163941e+01 -3.008930e+00  1.883903e+00  9.403483e+00
3  3.940003e-01 -5.569358e-01  5.971149e-01  2.636415e-01  9.069518e-01  8.387038e+00 6 3  2.972960e-01
-1.701288e-01 -1.445972e-01 -3.873865e+00  5.983185e+00  5.000000e-01  7.907675e-01 -3.938237e-02 -5.480578e-01  1.381448e-02
 4.007812e-01  3.035381e-02  3.513409e+00  0.000000e+00  0.000000e+00  4.169127e-01 -2.351105e-01  9.483760e-03  1.223512e-03
