# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3  4.613917e-01  4.242210e-01  5.500502e+00  2.458455e+00  2.535554e-01  3.034656e+00 6 3 -1.000000e+00
 2.838414e+00  2.480997e+00  3.075771e+00  0.000000e+00  0.000000e+00  3.931920e-01 -2.506034e-02 -2.060733e-01  1.680594e-03
-5.205732e-01 -1.874773e+00 -1.213057e+01  1.189070e+03  5.000000e-01  7.450927e-01  3.619280e-01 -1.281494e-01  1.204858e-02
-7.656709e-03 -7.712584e-03  4.611353e-04  1.521967e+03  1.000000e+00  4.913187e+01  1.624053e+00 -1.206143e+01  4.520018e+01
3  1.820400e-02  7.258088e-02  1.479644e+00  5.640311e-01  5.906510e-01  1.414639e+00 6 3 -1.000000e+00
 2.050753e-01 -7.184804e-01 -4.351946e+00  1.058047e+01  5.000000e-01  5.707808e-01  6.144158e-01  1.910618e-01  2.268578e-01
 2.649782e-01  7.599510e-01  7.368051e+00  0.000000e+00  0.000000e+00  3.538016e-01  2.892016e-01 -4.452120e-01  3.840045e-02
 2.914349e-04 -1.609041e-03  3.939313e-04  3.450669e+01  1.000000e+00  5.935442e+01  1.883261e+01  2.262869e+01  5.790693e+01
3  4.930625e-03 -2.449480e-01  1.924489e+00  9.640323e-01  3.979916e-01  5.838771e+00 6 3 -1.000000e+00
 7.752138e-01 -1.088514e+00  3.714767e+00  0.000000e+00  0.000000e+00  3.973157e-01  1.738795e-01  2.525834e-01  8.506597e-03
 9.610838e-02  7.121730e-01 -1.478446e+00  4.552102e+01  5.000000e-01  6.855497e-01  8.112911e-01 -3.421575e-01  4.473251e-02
-6.105473e-05  1.310788e-03  3.733118e-05  7.870628e+01  1.000000e+00  1.669721e+02  2.687469e+01  6.100527e+00  1.622469e+02
3  1.728279e-01 -9.194524e-02  1.162970e+00  4.262658e-01  4.433971e-01  1.978842e+00 6 1 -1.000000e+00
 7.936379e-01 -1.755141e-01  2.154355e+00  0.000000e+00  0.000000e+00  2.712693e-01 -2.297372e-01  1.187145e-01  1.542004e-02
-2.363048e-01  3.645935e-01 -9.552346e-01  7.169824e+01  5.000000e-01  6.753724e-01  4.328101e-01  9.823043e-01  3.151215e-01
-1.962938e-03  2.025689e-03  2.240466e-04  1.091349e+02  1.000000e+00  7.431023e+01  1.555968e+01  2.586366e+01  7.332960e+01
3  5.754723e-01  2.052460e-01  1.737488e+00  6.513182e-01  1.177315e-01  5.642705e+00 6 1 -1.000000e+00
 1.350013e+00  3.162099e-01  2.309831e+00  0.000000e+00  0.000000e+00  3.056041e-01 -1.702199e-01 -1.424033e-01  2.707414e-03
-3.254080e-01 -1.440387e-01 -2.719399e-01  2.122531e+02  5.000000e-01  6.664659e-01 -1.361728e+00 -1.390764e+00  1.510812e-01
-9.643254e-04 -5.348941e-04  5.058594e-06  2.697586e+02  1.000000e+00  4.550015e+02  1.643211e+01 -9.035475e+01  4.535496e+02
1 -5.616285e-02 -1.335078e+00  0.000000e+00  4.706331e-01  0.000000e+00  4.042560e+00 0 2  2.835050e-01
 1.171022e-01 -7.820480e-01  4.163848e+00  0.000000e+00  0.000000e+00  3.516481e-01  4.231095e-01 -3.429354e-02  2.430534e-02
3  2.255345e-01 -4.356713e-01  1.204336e+00  5.056793e-01  1.223983e-01  5.140017e+00 6 1 -1.000000e+00
 5.179031e-01 -8.727656e-01  1.504449e+00  0.000000e+00  0.000000e+00  1.708443e-01  1.278276e-01  8.039794e-02  1.611002e-02
-8.501075e-03  1.148227e-02  1.293641e-03  6.325321e+01  1.000000e+00  3.346916e+01  2.732695e+00  1.654591e+01  3.265969e+01
-1.079074e-01  1.562083e-01 -1.841419e-01  6.067510e+01  5.000000e-01  1.516260e+00  1.073204e+00  2.131983e+00  1.118640e+00
3 -1.456222e+00 -7.502736e-01  7.667854e+00  3.075356e+00  4.250651e-01  4.251757e+00 6 1 -1.000000e+00
-6.147942e+00 -2.036852e+00  2.434202e+00  0.000000e+00  0.000000e+00  3.464196e-01 -1.253428e-01 -2.538268e-02  1.939250e-03
 9.573505e-01  8.459930e-01 -1.034694e+00  1.130140e+03  5.000000e-01  1.335187e+00  4.788706e-02 -1.037558e+00  1.832353e-01
 4.518823e-02  2.794098e-02  1.982943e-03  1.174924e+03  1.000000e+00  2.579097e+01 -3.581952e+00 -9.872232e+00  2.300503e+01
1 -1.376402e-02  3.151444e-02  0.000000e+00  6.892950e-02  0.000000e+00  4.294305e+00 0 2 -1.000000e+00
-2.742663e-02  1.124043e-01  3.681806e+00  0.000000e+00  0.000000e+00  3.894014e-01  1.975856e-01  2.493686e-01  1.420365e-01
3  2.504183e-01  1.488062e-01  5.950786e-01  2.169617e-01  1.466880e-01  1.975907e+00 6 1 -1.000000e+00
 4.687188e-01  2.203861e-01  1.460758e+00  0.000000e+00  0.000000e+00  1.432324e-01 -1.204685e-01 -1.869815e-01  1.902184e-02
-6.082632e-02 -5.109237e-02 -2.142758e-01  2.447921e+01  5.000000e-01  1.764381e+00 -5.614635e-01 -2.221693e+00  1.528595e+00
