# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3  4.172065e-01 -2.329425e-01  1.796627e+00  9.948646e-01  1.885657e-01  3.809341e+00 6 1 -1.000000e+00
 8.904870e-01 -9.474742e-01  2.753974e+00  0.000000e+00  0.000000e+00  2.898894e-01 -5.630174e-02  3.714507e-01  2.319754e-02
-4.964857e-01  1.945308e-01 -5.193050e-01  7.243906e+01  5.000000e-01  7.105297e-01 -1.033711e+00  9.699920e-01  2.901473e-01
-6.098923e-03  2.684205e-03  2.863467e-04  9.390211e+01  1.000000e+00  6.187492e+01 -1.259472e+01  7.406644e+00  6.071592e+01
1  2.022996e+00  6.078066e+00  0.000000e+00  2.218312e+00  0.000000e+00  1.619149e+00 0 2 -1.000000e+00
 2.625037e+00  9.320087e+00  3.114442e+00  0.000000e+00  0.000000e+00  3.776990e-01  2.205554e-01 -1.323976e-01  4.830581e-04
3  1.189428e-01 -1.598459e-01  8.167579e-01  4.319379e-01  3.347984e-01  2.393823e+00 6 1 -1.000000e+00
 2.875155e-01 -4.505463e-01  2.061357e+00  0.000000e+00  0.000000e+00  1.572917e-01  1.895905e-01  4.348511e-01  2.444419e-02
-1.860912e-01  2.148786e-01 -6.901391e-01  5.122105e+01  5.000000e-01  3.130559e-01  2.260796e-01  1.367393e+00  1.474689e-01
-3.888283e-04  4.470553e-04  1.232780e-05  9.234591e+01  1.000000e+00  2.888378e+02 -1.337450e+01  3.942409e+01  2.883499e+02
3  1.845705e+00 -1.540683e+00  9.390142e-01  3.789213e-01  1.889840e-01  1.498245e+01 6 1  2.998954e-01
 6.155186e-01  5.910999e-01  2.166968e+00  0.000000e+00  0.000000e+00  3.046868e-01  8.517922e-02 -1.213698e-01  4.723084e-03
-3.416669e-02 -8.687983e-02 -4.095222e-01  3.980964e+01  5.000000e-01  2.625553e+00  1.650584e+00 -1.536186e+00  1.484102e+00
-1.440511e-02 -3.618432e-02  7.554410e-02  3.987062e+01  1.000000e+00  6.660450e+00  3.253387e+00 -2.866856e+00  5.110891e+00
3  1.677821e-01 -2.858905e-01  1.321503e+00  5.359392e-01  7.799860e-01  3.265976e+00 6 1 -1.000000e+00
 4.060810e-01 -8.584360e-01  1.836752e+00  0.000000e+00  0.000000e+00  2.341860e-01  9.016001e-02  1.841276e-01  5.941158e-03
-1.948055e-01  3.185545e-01 -1.432641e+00  1.064872e+02  5.000000e-01  4.118345e-01  3.534252e-01  9.586662e-01  7.437146e-02
-6.342985e-04  1.940179e-03  1.013023e-04  1.447355e+02  1.000000e+00  1.032306e+02  7.982871e+00 -2.271394e+01  1.022711e+02
3 -4.739040e-01  8.583294e-01  1.505287e+00  8.691516e-01  2.140305e-02  1.172390e+01 6 2  2.836098e-01
 7.307619e-01 -1.173657e+00  4.137193e+00  0.000000e+00  0.000000e+00  3.025007e-01  9.426885e-02  4.857046e-01  3.729745e-03
-2.146591e-02  1.989816e-02  4.973375e-03  2.102678e+02  1.000000e+00  1.975846e+01 -9.347397e-01  1.224482e+01  1.612872e+01
-9.143411e-02  8.724783e-02 -8.854857e-02  2.094033e+02  5.000000e-01  3.808329e+00 -9.731561e-02  4.378410e+00  1.758557e+00
3  3.493257e-01  5.990961e-02  1.370626e+00  8.031931e-01  1.340149e-01  2.054843e+01 6 3 -1.000000e+00
 9.360423e-01 -4.568210e-01  3.222151e+00  0.000000e+00  0.000000e+00  3.173446e-01 -3.362247e-01  2.064451e-01  1.071979e-02
-3.839166e-01 -8.759921e-02 -4.318162e-01  5.874023e+01  5.000000e-01  8.805308e-01 -1.303818e+00 -7.938078e-01  6.428204e-02
-8.267535e-04  5.703810e-05  6.625770e-06  8.397843e+01  1.000000e+00  4.101483e+02 -9.596854e+01  8.524404e+01  4.058945e+02
3 -3.917957e-01 -8.580886e-01  1.919944e+00  1.120414e+00  5.231186e-01  2.074584e+00 6 1  2.838884e-01
-7.616865e-01 -1.184633e+00  2.855058e+00  0.000000e+00  0.000000e+00  3.494811e-01  7.540564e-02 -2.592938e-01  2.240409e-02
 5.558092e-01  2.119304e-01 -1.493534e+00  4.693549e+01  5.000000e-01  9.399279e-01 -6.439324e-01 -5.084414e-01  2.593537e-01
 3.006970e-02  1.670778e-02  1.734719e-02  5.286412e+01  1.000000e+00  9.155500e+00 -2.162196e+00 -2.047161e+00  7.093741e+00
1  5.100674e-01  1.715561e+00  0.000000e+00  2.433540e+00  0.000000e+00  8.560019e+00 0 2 -1.000000e+00
 2.525641e-01  4.436671e+00  3.052721e+00  0.000000e+00  0.000000e+00  3.730437e-01  2.342424e-01 -1.030928e-01  2.507889e-03
1  1.266803e+00  3.975242e+00  0.000000e+00  2.324179e+00  0.000000e+00  2.104026e+00 0 2 -1.000000e+00
 4.227468e+00  6.548216e+00  3.890368e+00  0.000000e+00  0.000000e+00  4.282135e-01  1.779216e-01 -1.955471e-01  8.677449e-05
3 -8.685979e-02  1.442469e-01  6.705827e-01  2.454400e-01  2.753354e-01  3.020242e+00 6 1 -1.000000e+00
 9.559804e-02 -1.698770e-01 -5.971446e-01  2.215862e+01  5.000000e-01  8.483625e-01  5.369352e-01  1.187152e+00  5.880858e-01
-1.848625e-01  4.392396e-01  2.168789e+00  0.000000e+00  0.000000e+00  2.509639e-01  1.606825e-01  2.723041e-01  7.702469e-02
 2.624511e-03 -5.306904e-03  1.272297e-03  2.659266e+01  1.000000e+00  3.254893e+01  9.794627e+00  1.064990e+01  3.192523e+01
3  5.739467e-01 -5.467469e-02  1.318306e+00  5.592387e-01  1.166680e-01  1.654367e+00 6 1 -1.000000e+00
 1.088073e+00 -1.249827e-01  1.646813e+00  0.000000e+00  0.000000e+00  1.914776e-01 -2.105721e-01  4.620083e-02  1.598237e-02
-2.231114e-01  1.186824e-02 -1.921305e-01  1.536736e+02  5.000000e-01  1.162162e+00 -2.266058e+00  3.099544e-01  8.471281e-01
-1.394403e-02  6.051913e-04  1.223460e-03  1.622187e+02  1.000000e+00  3.126862e+01 -9.941239e+00 -8.181028e-02  3.070524e+01
3  8.753558e-02 -1.021223e-01  3.978682e-01  1.679922e-01  1.822927e-01  3.386297e+00 6 1 -1.000000e+00
 2.091917e-01 -2.106887e-01  2.251383e+00  0.000000e+00  0.000000e+00  2.184379e-01 -1.550014e-02  4.079553e-01  4.585624e-02
-5.514940e-02  8.667115e-02 -4.104105e-01  8.968420e+00  5.000000e-01  9.033974e-01  5.191243e-01  1.475272e+00  6.492916e-01
-2.780609e-03  4.494750e-03  2.630798e-03  1.000702e+01  1.000000e+00  2.180739e+01  4.912803e+00  5.357161e+00  2.132603e+01
2  7.119815e+00 -4.732523e+00  6.681035e+00  3.724947e+00  4.409735e-01  3.989526e+00 6 3  2.753884e-01
-4.996066e+00 -2.364898e+00  6.583137e+00  0.000000e+00  0.000000e+00  5.934149e-01 -4.804811e-02 -1.053543e-01  3.850429e-04
 3.097360e-01  1.695236e+00 -2.902989e+00  4.887454e+02  5.000000e-01  1.113005e+00  5.785660e-01 -1.500132e-01  1.020916e-02
3  7.327150e-02  4.600627e-01  1.204263e+00  6.325816e-01  2.367986e-01  4.185637e+00 6 1 -1.000000e+00
 1.001280e-01  9.475280e-01  1.448606e+00  0.000000e+00  0.000000e+00  1.534966e-01  1.452635e-01 -7.174608e-02  3.385907e-03
-3.354666e-02 -2.492932e-01 -3.430278e-01  1.107840e+02  5.000000e-01  4.221850e-01  1.701725e+00 -5.943215e-01  1.396958e-01
-4.090899e-05 -1.727691e-03  3.833277e-05  1.342641e+02  1.000000e+00  1.646927e+02 -1.226929e+01  2.361011e+01  1.638831e+02
3 -2.076892e-01 -6.791953e-01  1.258457e+00  5.153418e-01  1.294023e-01  1.701414e+00 6 1 -1.000000e+00
-2.312918e-01 -1.153451e+00  1.474422e+00  0.000000e+00  0.000000e+00  1.549760e-01  1.287447e-01 -1.387747e-01  1.387246e-02
 1.560167e-02  5.885578e-02  1.101086e-01  6.065227e+01  1.000000e+00  7.034858e+00  4.511321e+00 -2.643019e+00  6.615268e+00
 2.128380e-02  7.939901e-02 -1.907936e-01  6.064825e+01  5.000000e-01  4.850182e+00  3.822740e+00 -2.334915e+00  4.459848e+00
1  9.087000e-03  4.247239e-03  0.000000e+00  2.744664e-03  0.000000e+00  2.607744e+00 0 2 -1.000000e+00
 1.626981e-02  1.343769e-02  5.327181e+00  0.000000e+00  0.000000e+00  5.323711e-01 -1.206691e-01 -1.280593e-01  2.325426e-01
3 -5.738247e-01 -1.221429e-01  1.063258e+00  5.193620e-01  5.557465e-01  4.477210e+00 6 1  2.749029e-01
-7.168441e-01 -3.143695e-01  2.226718e+00  0.000000e+00  0.000000e+00  3.081439e-01 -8.286582e-02 -1.506873e-01  7.116781e-03
 1.567544e-01  2.917193e-01 -1.237491e+00  6.406149e+01  5.000000e-01  7.449700e-01  6.783953e-01 -6.425784e-01  4.732985e-02
 6.284695e-04  4.960166e-04  2.140317e-05  9.223609e+01  1.000000e+00  2.293785e+02 -3.146305e+01 -6.666905e+01  2.250412e+02
2  3.515244e-01  3.469474e-01  1.334658e+00  6.349513e-01  5.034480e-02  4.778361e+00 6 2 -1.000000e+00
 7.350511e-01  8.046486e-01  3.181748e+00  0.000000e+00  0.000000e+00  3.766670e-01  5.595008e-02 -2.666853e-01  4.782190e-03
-1.831374e-01 -1.639798e-01 -1.601845e-01  2.787654e+02  5.000000e-01  1.034827e+00 -2.888705e-01 -2.482049e+00  3.366306e-01
3 -7.978487e-02 -2.793237e-01  1.287640e+00  7.094156e-01  3.809526e-01  2.485389e+00 6 1 -1.000000e+00
-2.872262e-01 -8.426047e-01  2.954071e+00  0.000000e+00  0.000000e+00  3.203944e-01  2.793514e-01 -2.128630e-01  1.564856e-02
 8.646447e-02  3.896178e-01 -1.125361e+00  8.953379e+01  5.000000e-01  5.541090e-01  9.411613e-01 -4.490414e-01  1.336160e-01
 7.933056e-04  3.045519e-03  2.400169e-04  1.234306e+02  1.000000e+00  6.559277e+01  2.400421e+00  3.019705e-01  6.447491e+01
3  5.062224e-02  2.977719e-02  4.879291e-01  3.471321e-01  4.738441e-01  2.021732e+00 6 1 -1.000000e+00
-2.111428e-01 -1.943847e-02 -1.348281e+00  6.769276e+00  5.000000e-01  7.366859e-01 -8.777221e-01 -2.015525e-01  4.400470e-01
 1.905177e-01  2.575879e-01  2.845410e+00  0.000000e+00  0.000000e+00  2.859958e-01  1.564754e-01 -3.658883e-01  6.943707e-02
-2.964666e-03 -8.840273e-04  3.133853e-03  1.040960e+01  1.000000e+00  2.019062e+01 -6.966954e+00 -8.033058e-01  1.942789e+01
3  5.106184e-02  2.611981e-01  1.043397e+00  5.437315e-01  1.785914e-01  3.081836e+00 6 3 -1.000000e+00
-9.353003e-02 -3.214316e-01 -5.831200e-01  4.278805e+01  5.000000e-01  6.092609e-01  1.174069e+00 -6.993947e-01  2.981640e-01
 5.449813e-03  7.172595e-01  3.265107e+00  0.000000e+00  0.000000e+00  2.743396e-01  4.663423e-01 -5.328427e-02  3.833294e-02
-1.070734e-03 -3.790895e-03  3.252918e-04  5.852960e+01  1.000000e+00  5.777856e+01  8.098813e+00 -9.167922e+00  5.700777e+01
3 -2.187810e-01  3.079047e-01  1.085470e+00  4.512042e-01  1.970630e-01  1.839371e+00 6 1 -1.000000e+00
-5.701361e-01  6.213563e-01  2.095832e+00  0.000000e+00  0.000000e+00  2.469716e-01  5.006036e-02  2.956487e-01  1.587217e-02
 1.108102e-01 -2.239584e-01 -4.130108e-01  1.389269e+02  5.000000e-01  7.894682e-01  8.431454e-01  1.324641e+00  4.128848e-01
 3.757272e-03 -7.788429e-03  1.128686e-03  1.554845e+02  1.000000e+00  3.166801e+01  6.945708e+00  2.509565e+00  3.090138e+01
3 -1.048399e-01 -4.335332e-02  3.628053e-01  1.631946e-01  2.556671e-01  3.741143e+00 6 1 -1.000000e+00
