m1,m2,a1,a2,Dl_s,z_merger,d2N_dzdt,duration_time,Mean_SNR
9558.77,5685.52,0.66485,0.091489,46521.20339002543,4.89633,3.231623426369065e-09,8240.231339015874,55.09318915010196
6994.02,3734.79,0.761189,0.359125,143898.86667934732,13.1129,4.63746656949985e-09,3560.757865773452,26.96796759157363
306523.0,169183.0,0.287484,-0.304016,156569.23954595518,14.1394,3.9478869591968837e-10,5.601732015452182,207.1773146996215
40780.9,3354.99,0.203606,0.173696,202712.62777825305,17.8339,1.348716733928558e-09,673.3641914581779,31.692617181467057
1594.08,1100.0,0.619993,0.626322,160533.9103309844,14.4594,4.8100199053496304e-09,28749.161070518483,8.684386631427687
25163.7,4285.74,0.475933,0.762548,104075.2625622188,9.83991,7.1359898755427825e-09,1874.5365574714376,48.851320258418426
75533.5,11009.4,0.675725,-0.09916,18143.05864315345,2.22607,5.85556148620039e-10,2624.7977743264787,241.27951829414687
400779.0,9012.8,-0.48965,-0.723422,115656.15143438736,10.8002,4.28506397612048e-09,116.53211769653906,22.252876305995624
669423.0,279174.0,0.306252,-0.51065,17771.538663086634,2.18851,2.0126225160252927e-10,26.434580445473213,1973.798405685308
24469.0,9490.37,0.703599,0.449667,115688.84558568562,10.8029,1.665719031698503e-09,792.1667226832698,69.50563256289493
44894.6,1650.86,-0.850766,-0.912556,173987.62886248468,15.5414,1.918175941280533e-09,1570.860231266582,12.741634131130478
19090.3,6539.29,-0.826728,0.0799964,82495.70403514845,8.02621,3.726064539031017e-09,2097.8446373753072,52.711142035927125
131640.0,24631.5,0.606686,-0.362222,20616.553323704626,2.47344,2.4440464680123036e-10,724.7532895273042,381.7943303640918
118693.0,28269.9,0.272583,0.334108,109015.08266615958,10.2505,1.3339785625007287e-09,96.75574518915006,168.77962806251628
307998.0,41011.9,0.772039,0.31125,156551.9090589756,14.138,2.8314895894890362e-09,20.83963189991019,222.21207569088247
216311.0,4764.97,0.594989,0.677412,11054.552435311609,1.4849,5.239619273615221e-10,4472.689670461624,280.8824624593564
711054.0,81869.7,0.0324624,0.490596,63878.86263225521,6.42783,1.1706976864100302e-10,19.45131390829405,218.0778924332953
18217.2,11139.0,-0.146291,0.330541,131715.66065605762,12.1198,2.668428895791868e-09,723.9983025730156,58.60996276794672
198342.0,59321.5,-0.923251,-0.55802,198031.6351226972,17.4618,3.8612557701766616e-10,14.5375324251496,92.67861337997668
50120.2,42802.5,-0.372882,-0.702953,202307.2868666036,17.8017,2.218071908242193e-08,55.19026830068076,114.93369011617852
70669.1,40803.6,-0.241567,-0.682757,204970.6087750647,18.0132,7.52940366670314e-10,42.81684318116467,127.9226822655264
144776.0,1280.92,0.304291,0.127817,212204.3053878016,18.5868,2.96206208305941e-10,693.0496863645205,13.575129018048878
161676.0,13824.1,0.62442,0.51123,114082.83743310216,10.6702,6.256418040409739e-11,144.96719632519645,127.19509533995075
13636.7,5127.31,-0.937301,-0.0672514,217022.48902300192,18.9682,2.1868890726624916e-09,898.7847951678759,27.47370260691792
11062.7,6133.32,-0.145642,0.264051,171690.9661580893,15.3571,1.5653144450111282e-09,1254.4508014236503,34.9031293268324
66335.7,32708.9,-0.640765,-0.21553,156569.23954595518,14.1394,3.9478869591968837e-10,79.9849595879617,116.26730696766522
16313.6,7578.46,0.349512,-0.132081,188713.094673742,16.7194,5.059465308842517e-09,672.3299486926405,43.14635073790666
30700.6,14397.9,0.198257,-0.506125,156711.60209618724,14.1509,5.75447204513137e-10,301.7053226162097,70.89268277262943
8987.51,1152.6,0.803218,0.633683,164461.77178877036,14.7759,5.845500299373772e-10,7318.432119957588,16.506976165236782
292988.0,21144.3,0.744622,-0.526975,58808.14455520093,5.98532,2.045129790611801e-09,149.36520893845076,251.3760917913998
195026.0,103328.0,0.202754,0.162674,146162.01766190663,13.2967,7.126646154114893e-11,13.65805655072019,309.5441255237829
21465.5,1928.35,0.0661229,-0.456668,40877.317400153,4.38629,1.0663024816786928e-09,14510.073396693968,45.22584483930518
45623.4,11886.3,0.806264,-0.161152,78711.45181658864,7.70422,9.520412953848107e-10,671.6952722577201,109.46583110884546
81495.3,16657.6,-0.582261,0.119881,88923.17349274442,8.57019,7.87291295940401e-10,273.76971189735485,94.62323142897972
75276.3,1100.0,-0.87151,0.874789,164265.53748516238,14.7601,5.843257531915522e-10,1797.571954514126,7.754843643325898
12945.8,4720.02,0.707169,-0.736615,135787.23560717734,12.4524,1.1862002425661175e-09,1946.931758801588,37.13767505866038
103943.0,8483.52,0.464924,0.952491,56342.46828327596,5.76881,3.0906203782371882e-09,785.4186630053656,123.3288927396866
240118.0,53752.9,-0.00843321,0.893701,211373.72550026863,18.521,1.7553419799503096e-08,12.59491579689576,109.92410168017028
39177.8,2437.85,0.969426,-0.744023,162531.16754600807,14.6204,2.795700625603529e-09,1291.986887084976,39.80622563448733
180805.0,150424.0,0.746156,-0.915812,212012.42137274143,18.5716,4.1407746351723135e-10,6.183119738254219,176.13562233338516
9746.14,4227.03,-0.902053,0.0837677,122540.85919487588,11.3675,7.599911791832291e-09,3072.3629013268287,30.74641961874918
4487.83,2451.99,-0.618976,-0.39635,173887.89484000814,15.5334,6.936784288967145e-09,5614.8243109614,16.884400742073435
3073.99,1214.74,0.894043,-0.762241,130120.62438336948,11.9893,2.656782595452508e-09,21069.76723704157,12.421187621415976
18158.9,3565.12,0.691258,-0.476339,37307.31034794098,4.05968,2.822436688728905e-09,10045.929202576855,61.82986562816544
4541.53,4075.6,-0.808838,0.289558,98670.70817615918,9.38889,5.656945968388014e-09,7783.185917211877,26.02905581544316
1100.0,1100.0,-0.247169,0.100105,110524.942728774,10.3757,1.747670061338004e-09,64928.82013051715,
27321.0,9996.64,0.611011,0.856746,57126.20893949906,5.83773,1.0449867177769992e-08,1726.4177806048608,96.451877441518
9934.47,5581.64,0.854594,0.618568,77518.45508169278,7.60243,2.343076430808309e-09,4328.771232953113,45.842378005034085
28294.9,1100.0,-0.521484,-0.574656,136271.37751074487,12.4919,7.07717611237842e-10,4507.253308513489,17.582097462802167
22758.1,7435.66,-0.578568,-0.421645,72741.63003684608,7.19342,2.2743335336382503e-09,1920.6723454321627,62.38059442535876
31844.4,14675.8,0.629159,-0.142039,189329.76582405067,16.7686,2.101969857970978e-09,221.06755396623137,75.68131962442375
158737.0,19264.5,0.875769,0.702944,171526.5512275996,15.3439,2.1100761364919308e-08,60.69881875707779,166.66229216657462
21275.3,9535.13,-0.979539,-0.907981,21540.00264173672,2.5647,3.32960101676641e-10,6457.099139781597,124.19489652489185
13507.3,2857.32,-0.750343,0.358019,107452.69405109312,10.1208,4.84668714656948e-09,4126.607645613486,29.725483522432828
81851.1,2946.88,0.670714,0.45379,137529.50196473065,12.5945,2.709570763372996e-09,817.5016913453577,48.61682655212131
32599.0,2217.8,0.426856,-0.144159,4013.153679652469,0.650896,3.7057488907344776e-10,68074.1612084058,223.03920657243145
187150.0,117125.0,-0.639483,0.131487,82380.4160490999,8.01642,2.408786048798249e-09,27.288013762954808,395.9447362811147
