m1,m2,a1,a2,Dl_s,z_merger,d2N_dzdt,duration_time,Mean_SNR
794.902,701.41,0.998,0.998,103125.58360174616,9.74942,4.64711170142797e-11,136183.86712337928,6.294097030716122
379.624,321.912,0.644102,0.902132,79196.02298426152,7.73697,2.409576307222342e-10,681872.6826028577,3.763517066027626
512.469,473.037,0.998,0.998,113985.52127276293,10.6495,2.84486713690594e-11,238336.4370844803,4.33155998766166
1046.9,1016.0,0.975506,0.99025,40049.50248401772,4.30695,4.423608923584101e-11,257630.74944204383,11.870680158393624
763.669,251.192,0.998,0.0720319,135991.11932556814,12.4538,2.1656554664757008e-11,239255.43719701507,3.616767533669562
402.09,370.666,0.986209,0.925949,134558.05190292015,12.337,9.379476192532132e-12,285314.20341255865,3.362606763580552
595.57,516.372,0.166319,0.682545,156083.87517572613,14.0826,1.921462932823636e-11,127169.72432707674,4.28735106552768
4208.22,2298.38,0.998,0.998,51885.0518915333,5.36964,9.213942361688098e-12,30651.506362952525,26.15003819437404
2373.88,1714.76,0.998,0.990915,51883.69774354638,5.36952,2.5567735287764635e-11,62382.85032161653,18.39134596956157
681.645,342.848,0.997833,0.990321,113581.02332156958,10.6161,1.715375606738621e-11,251644.87712223825,4.232158766320711
1781.65,1182.49,0.997196,0.998,88540.49181927301,8.52824,1.584591411744109e-11,55339.77981158598,11.435320131179903
525.101,430.63,0.996798,0.998,91808.21971674876,8.80321,1.85902283176982e-11,337181.0248416485,4.547529283242756
846.644,768.315,0.998,0.996041,150153.67822599813,13.6035,1.1837215572906143e-11,71850.69390679775,5.926385474980641
259.701,116.568,0.619897,0.413088,122151.86913368232,11.3219,2.34381412217659e-10,1260944.3462349295,1.8116188697218687
511.832,255.213,0.998,0.640437,198344.9152369953,17.4642,2.0703773661691548e-11,188830.1914020941,2.785549883802582
962.308,533.833,0.994379,0.998,122369.84937545635,11.3398,4.965385208113395e-11,117436.56298079775,5.703082769082716
545.876,378.82,0.997824,0.998,30657.998624442003,3.43853,7.256513544905942e-10,1366007.338962943,6.945148235295836
735.142,219.244,0.997885,0.175006,79181.80458694008,7.73576,8.673302969827618e-11,572998.4537874202,4.086042076445152
398.594,254.574,0.402253,0.816231,73476.17201597024,7.24859,2.0762996297382467e-11,882557.1548150983,3.583198961398144
539.747,383.729,0.994862,0.998,128219.7721715831,11.8193,1.8358626768678603e-11,232736.9646643663,3.8950201417612624
449.851,370.668,0.911466,0.978593,42581.74182421297,4.53688,5.3444927391715256e-11,1126106.459426982,5.498224440246278
624.101,354.989,0.998,0.605511,92166.29278235049,8.83329,8.859810717785e-10,345158.4877309043,4.476393557904323
586.031,380.509,0.984871,0.971588,172963.7791419623,15.4397,1.480258078641687e-11,144991.81268715626,3.637964619493681
11048.4,1117.17,0.998,0.998,53943.190288646896,5.55166,2.014409370779606e-11,28232.679552439666,26.067370651651228
1472.4,933.188,0.984854,0.998,111236.19377224208,10.4223,2.3066783144142272e-11,58506.178144057645,8.853592068318555
420.367,336.355,0.986519,0.830984,130976.60882547236,12.0447,5.854702608935879e-11,309890.0721598219,3.3189879708228323
436.935,318.718,0.925211,0.757951,122129.950960798,11.3201,7.632878792672004e-11,345917.4959793921,3.3751530290969622
539.769,206.304,0.99786,0.998,42662.52644330785,4.54419,1.6778782808326783e-09,1630022.3202985544,4.567078418047299
460.055,289.009,0.70241,0.243036,185089.30709409856,16.4091,3.358823630025437e-11,203019.08151111688,2.877951328665491
1802.47,794.371,0.998,0.998,140818.51410570723,12.8466,1.897981762323507e-11,41789.19316331676,8.258336582463
359.402,329.761,0.932173,0.998,76323.77675965188,7.49214,1.0006074650212206e-10,732843.3766925839,3.7744648386543527
228462.0,166069.0,0.998,0.998,24191.47708597936,2.82186,1.1905630640456444e-11,71.91036706443609,1308.280255814792
464.66,349.535,0.709717,0.104401,156138.41058687784,14.087,6.238560540468913e-12,216932.31023786173,3.302946645130894
585.101,540.402,0.998,0.67898,91804.41106008204,8.80289,2.294960715309302e-11,254657.47063724164,5.205293666377338
207.981,101.97,0.397093,0.989916,150936.27398012317,13.6668,1.9001368023451088e-11,1262083.7899769556,1.4656623844965109
456.975,281.861,0.956678,0.998,147201.43669411662,13.3645,2.2258775743507726e-11,287397.6874768777,3.062563730322573
938.044,606.782,0.998,0.998,101046.59714094046,9.57627,9.205687477529271e-10,138525.14533066718,6.368843100704307
313.972,290.483,0.640048,0.713013,130955.80018837942,12.043,4.439964304062347e-11,445854.0674027929,2.786369132224395
371.736,272.994,0.446171,0.471297,131280.19779152656,12.0695,7.837056269641571e-11,408023.7912485992,2.897775478110338
460.416,303.281,-0.104799,0.998,140823.43613093504,12.847,2.536652777556102e-12,284947.0309623766,3.207498955326608
