m1,m2,a1,a2,Dl_s,z_merger,d2N_dzdt,duration_time,Mean_SNR
198398.0,106786.0,0.300559,-0.814261,106002.74374708706,10.0003,3.8896730232260085e-11,20.2792137447972,365.4999271886209
159742.0,72013.0,-0.471897,-0.703315,131158.1521762985,12.0742,2.224652817340764e-11,25.557590493286742,221.84143662791
163834.0,63693.5,0.0348284,0.691398,85197.8193586387,8.25533,2.020930762352664e-10,49.82413716527164,315.58502588764554
3775.81,2704.56,0.998,0.998,32864.06136870427,3.64808,9.3892677357785e-10,49017.301099861244,32.72051612494784
333240.0,116704.0,0.203574,0.557383,79098.68209097504,7.73723,7.477257531341413e-11,18.447514445269007,488.0851147650147
381528.0,160820.0,0.283351,0.431133,172960.5489676697,15.459,4.89193827137252e-10,4.27601226957255,173.67477266498778
195086.0,132019.0,0.882301,0.973939,88440.14426224813,8.52943,5.206726453630191e-11,21.690014214402783,663.3789469167641
67802.6,21809.6,-0.267094,-0.455925,140653.85831433066,12.849,9.410611607191011e-11,131.6874655693084,98.175700122474
72163.9,21235.1,0.23106,-0.887826,145409.40936510288,13.2356,6.975540957355651e-10,123.06100857450672,107.23753561289732
283757.0,15912.2,0.0385244,-0.907781,161512.48135389294,14.5383,3.5140012411565214e-11,53.1070396824143,49.684813441634006
190531.0,5011.68,-0.189052,0.297304,150764.83286231302,13.6699,2.110209515160977e-11,240.15898291975213,25.43464918612821
482508.0,63825.2,0.896922,0.953084,53894.0894996982,5.55288,2.035285734302564e-11,40.15810155773478,669.7466431102434
93836.7,20428.6,0.684222,0.420187,109693.83490175357,10.3068,6.0785160101478325e-09,154.45564129913072,158.51634336560676
46259.3,42784.4,-0.310734,0.877636,61466.71728447783,6.21777,3.2126817803710276e-10,290.90520447853146,201.2623049653052
136164.0,64700.2,-0.670453,-0.974227,221683.81818950785,19.3367,1.0840726856202424e-10,15.222107653069438,129.8879956106605
119906.0,8142.39,-0.290766,0.218368,19949.24600996044,2.40714,1.8016231975308702e-09,2325.905996269342,177.26973019386344
470716.0,23370.8,-0.537888,-0.103023,113883.2672867622,10.6537,4.5001282694400304e-11,41.51289216074848,37.97232989565856
101358.0,16767.0,0.884628,0.203234,58040.2532750181,5.91799,3.699045637941238e-09,399.5173781042615,197.9313585877284
441933.0,96457.6,0.998,0.953293,45524.62651846822,4.80678,1.849394571312616e-11,35.32774316045766,1040.6296945557797
75225.1,15241.9,-0.171843,0.936058,105997.09141698448,9.99983,2.723150080506413e-10,250.118587357954,97.49044188441609
73266.8,7771.77,0.608243,0.662375,27010.857340894865,3.09536,2.9082852132725347e-10,2519.7717741313745,163.68669233140417
17849.9,8898.71,0.123582,0.954663,63919.24380262083,6.43134,3.277349384231273e-10,2312.442675187383,73.36477686086228
187038.0,124292.0,0.401602,0.368699,131175.26607645373,12.0756,6.083876369318843e-11,13.938444825021584,399.8038504039687
87961.4,20520.0,-0.197033,0.34513,29038.37132268436,3.28835,3.76525381929683e-10,811.3503500766969,227.9152057916837
125367.0,29252.7,0.024408,0.00794206,205085.24890680623,18.0223,7.026556140543743e-11,37.49953837335181,117.33307074934746
124213.0,62278.7,0.294986,0.998,53895.22082089734,5.55298,1.6132479400988892e-10,111.8570253822402,386.7781356735605
56616.4,35878.6,0.344493,-0.54327,46958.95022183781,4.9356,4.1845805491664407e-10,397.6758316536265,214.6305886391081
135495.0,3388.63,0.146085,-0.456435,46600.315521329336,4.90343,7.690821462656168e-11,2032.967755255511,71.25522004376644
7381.96,6808.12,-0.374581,0.392111,73386.67320528915,7.24879,1.6075995892049086e-10,4971.923749484226,43.74789267595419
47873.9,20521.9,-0.270096,-0.727272,122236.82787214528,11.3425,2.339247442624837e-10,219.4769608682508,92.85483454039324
242238.0,170474.0,0.617717,0.244075,102310.4892127567,9.69285,3.422531296406174e-11,12.048302987893829,558.161934213475
217455.0,19019.3,0.429987,0.885069,185153.4663969006,16.4352,3.294248383344349e-11,44.249586497851205,93.0150633798499
76813.2,63177.8,-0.531829,-0.870952,44452.21145136645,4.71018,8.777134340028944e-11,203.8538725867232,261.04725741427626
302961.0,233999.0,-0.248997,0.274261,102304.85295516068,9.69238,1.3809109961314427e-11,7.645247286496795,383.5440633910484
67182.6,61813.4,0.892858,0.905352,150759.89419406292,13.6695,2.862845701606317e-11,48.09580569902487,253.80956427495065
184630.0,105793.0,0.792769,0.241916,73387.72209976877,7.24888,9.769238109864872e-11,34.97730774493208,542.968054284809
6246.01,1629.27,0.52514,0.660386,55964.97271893954,5.73558,5.66908268977932e-10,28286.559853647206,24.96785721255048
131809.0,29655.8,0.369617,0.460067,88440.38121860824,8.52945,1.7494016049691542e-10,113.02646830305716,200.7323462609025
41352.4,16720.8,-0.315628,0.989749,32867.27535512624,3.64838,1.153306851385644e-09,1503.521919897922,166.60610126630775
42765.7,40350.9,0.778943,-0.30165,46600.315521329336,4.90343,9.0247354139913e-11,455.8436621816404,214.6079179704696
120355.0,95410.8,-0.181417,-0.721242,88440.0257840884,8.52942,3.8155621568064336e-10,42.37184187749204,306.84795971436785
68713.6,3199.35,-0.129378,0.702569,65758.85342718569,6.59102,9.294144662466435e-10,2242.3649855620934,52.394831690621146
89854.6,18270.3,-0.420851,0.627206,108119.83348886718,10.1762,2.158952661649569e-09,180.5294128663969,98.9072186812202
28606.2,20390.5,-0.276655,0.339123,121169.523820177,11.2547,3.403221626497088e-09,334.73721873594627,89.40011548960877
134637.0,1105.99,0.147397,-0.737807,161533.5703344519,14.54,4.039406967212855e-11,1239.230337656099,13.738111023900348
296124.0,31316.8,0.142963,0.613155,98633.1645436668,9.38575,9.543080334367074e-11,52.19599963513304,155.15612559206178
