mu_list,td_list,n_list,idx,m1,m2,a1,a2,Dl_s,z_merge,duration_time,Mean_SNR,z_lens_sbh,z_lens_hh,Signal_1,Signal_2,Signal_3,Signal_4,Signal_5
"[1.64485, -0.249025, 0.000890114]","[0.0, 10413360.0, 11172890.0]","[0.0,0.5,1.0]",6380,5555.76,4331.3,-0.293303,-0.342546,169153.6673176337,15.1533,3003.336219213088,23.48119993192505,-1.0,0.781,32.32198142719684,0.0,0.0,0.0,0.0
[4.90765],[0.0],[0.0],852,9332.07,7955.05,0.279646,0.246355,183765.617426114,16.3243,1043.6910757727323,36.944891679497175,0.995,0.995,81.84481828643872,0.0,0.0,0.0,0.0
[4.38159],[0.0],[0.0],8355,14533.9,1100.0,0.743369,-0.624404,151351.37969417495,13.7174,6150.460238097132,19.149027858535764,1.348,1.348,40.08321971968034,0.0,0.0,0.0,0.0
"[3.02259, -1.38866, -11.9968, 11.9458, 0.00680106]","[0.0, 1056442.0, 423743.2, 417077.1, 1480889.0]","[0.0,0.5,0.5,0.0,1.0]",991,13695.9,9531.59,0.591078,-0.345949,199359.38477038871,17.5674,583.4943209764865,44.24904107920647,-1.0,0.414,235.6470252943053,0.0,0.0,0.0,0.0
"[2.45001, -0.427655]","[0.0, 8230743.0]","[0.0,0.5]",844,251334.0,39662.7,0.16135,-0.818906,183589.2122642638,16.3102,19.88496100969141,108.31474241784244,-1.0,1.949,169.53973490657273,70.83278998554978,0.0,0.0,0.0
"[-0.435901, 2.97653]","[12969500.0, 0.0]","[0.5,0.0]",3686,229983.0,6039.26,0.744269,0.771224,199478.8589864128,17.5769,118.43100238148128,56.44556054608742,2.234,2.234,37.2669390359419,97.38339755034848,0.0,0.0,0.0
"[8.00945, -0.277514, 0.000142613]","[0.0, 34270810.0, 38357840.0]","[0.0,0.5,1.0]",9031,197123.0,117164.0,0.0759445,-0.92284,72642.42098006501,7.1849,30.76402532902337,435.7641021802112,-1.0,0.595,1233.2547530112672,229.55877537738635,5.203924757006247,0.0,0.0
"[2.12853, -0.645452, 0.00134415]","[0.0, 4413223.0, 5088715.0]","[0.0,0.5,1.0]",5650,14807.8,5340.99,0.167378,-0.632714,32591.43811995976,3.62262,9322.574639617467,72.452003119376,-1.0,0.604,120.70003916635785,0.0,0.0,0.0,0.0
[4.2522],[0.0],[0.0],3549,230508.0,60049.1,0.102152,-0.289473,144987.0344829057,13.2013,19.933926216163417,200.5430056390248,-1.0,1.313,413.5369889311751,0.0,0.0,0.0,0.0
[3.69488],[0.0],[0.0],8576,49442.1,2427.93,-0.623734,0.29494,129511.1013853584,11.9394,1514.1009951418953,23.45088869866496,2.877,2.877,45.07746393261337,0.0,0.0,0.0,0.0
"[1.76911, -0.575921, 0.000667571]","[0.0, 11980100.0, 13320980.0]","[0.0,0.5,1.0]",3173,26327.1,10102.1,0.896155,-0.638013,129393.86271885542,11.9298,608.2171061471777,69.06807865111686,-1.0,0.585,105.78241471722495,0.0,0.0,0.0,0.0
"[-6.57616, 14.4707, 0.000160599]","[854112.2, 0.0, 4506809.0]","[0.5,0.0,1.0]",8141,92336.5,6758.19,0.285274,-0.551605,77238.34533446617,7.57851,716.9580271618129,81.12352394535647,-1.0,0.627,372.1706499370691,0.0,0.0,0.0,0.0
"[2.8461, -1.71698, 0.000540573]","[0.0, 7159445.0, 8760122.0]","[0.0,0.5,1.0]",6507,16468.8,11610.0,0.930547,-0.516949,183711.81895256016,16.32,476.5353197759587,54.00960947049095,0.815,0.815,115.37874259074823,0.0,0.0,0.0,0.0
"[3.53262, -0.279204, 0.00862148]","[0.0, 10452970.0, 10636670.0]","[0.0,0.5,1.0]",4668,73656.6,15319.0,0.475471,-0.9962,87014.41817509074,8.40901,327.9261030771962,120.82093823063724,-1.0,0.934,236.15612124617877,0.0,0.0,0.0,0.0
"[-5.01378, 4.44959, 0.000250956]","[680776.6, 0.0, 1459451.0]","[0.5,0.0,1.0]",4168,16358.7,9566.13,0.712364,0.759142,185099.6419242979,16.4309,560.958316787423,52.68240360865378,1.753,1.753,162.0668719363351,0.0,0.0,0.0,0.0
"[-1.69247, 2.53433, 2.46414e-05]","[2355757.0, 0.0, 4776985.0]","[0.5,0.0,1.0]",231,310213.0,8850.76,0.265965,-0.0208892,104639.66950082552,9.8869,161.56890801703398,57.50155524380327,-1.0,1.877,118.21884351184498,0.0,0.0,0.0,0.0
