mu_list,td_list,n_list,idx,m1,m2,a1,a2,Dl_s,z_merge,duration_time,Mean_SNR,z_lens_sbh,z_lens_hh,Signal_1,Signal_2,Signal_3,Signal_4,Signal_5
"[-0.469432, 2.51814, 0.00870048]","[3394558.0, 0.0, 3485871.0]","[0.5,0.0,1.0]",524,82005.9,1145.74,0.48336,-0.881072,30742.387942161247,3.44925,13415.041399253232,59.01944037074292,1.293,1.293,102.16114220045974,0.0,0.0,0.0,0.0
"[5.32341, -7.11521, 4.41559]","[1499.088, 6055.157, 0.0]","[0.0,0.5,0.0]",3316,1100.04,1100.02,-0.342112,0.853004,92393.7949617093,8.86251,82363.64548275644,8.955357583619909,-1.0,1.327,36.76521687177825,0.0,0.0,0.0,0.0
"[3.62941, -0.192242, 5.82238e-05]","[0.0, 4634627.0, 5633023.0]","[0.0,0.5,1.0]",2260,9242.03,2843.3,-0.259611,-0.459146,144939.01485359977,13.1974,3646.3648689880624,24.489284806231463,-1.0,1.391,47.87458023538031,0.0,0.0,0.0,0.0
"[4.1692, 0.00264575, -0.0396873]","[0.0, 83900970.0, 83672270.0]","[0.0,1.0,0.5]",6135,4041.91,1100.0,0.996546,0.672648,155269.8195081055,14.0344,14733.214709129526,12.524941290865812,-1.0,1.584,25.703709570647096,0.0,0.0,0.0,0.0
"[3.09709, -0.283175, 0.000163932]","[0.0, 688612.4, 764304.8]","[0.0,0.5,1.0]",25,51556.0,19337.8,-0.0361762,-0.449427,150779.6489346603,13.6711,164.09834165810778,90.30305507936684,1.845,1.845,166.03068067177517,0.0,0.0,0.0,0.0
"[-0.804098, 1.91793, 1.68351e-05]","[3241460.0, 0.0, 4509320.0]","[0.5,0.0,1.0]",8865,36366.4,3140.39,-0.829541,0.605721,155581.6123894463,14.0596,1128.6483407718306,24.153211107898187,-1.0,2.001,39.84946676637868,0.0,0.0,0.0,0.0
"[4.47321, -0.302978, 15.6482, -16.5026, 1.55495e-05]","[0.0, 8223614.0, 495963.6, 503451.0, 11370840.0]","[0.0,0.5,0.0,0.5,1.0]",9005,9996.64,1485.97,-0.866471,0.873304,92687.560262157,8.88721,11589.694759725026,21.597880823844825,-1.0,2.417,131.24512308437605,0.0,0.0,0.0,0.0
"[-0.560236, 6.18602, 4.1279e-05]","[38676520.0, 0.0, 46925600.0]","[0.5,0.0,1.0]",4217,6006.61,1340.11,0.310225,0.761513,124030.21561832794,11.4899,12484.61592619159,16.672432919465805,-1.0,0.991,43.3043691316094,0.0,0.0,0.0,0.0
[4.63149],[0.0],[0.0],6327,41025.3,6031.86,-0.0137984,-0.38614,181198.19014907072,16.119,445.9405596364888,42.20622657744232,-1.0,1.037,90.83158473963705,0.0,0.0,0.0,0.0
"[-1.57253, 5.58237, 7.01037e-06]","[830233.3, 0.0, 3419364.0]","[0.5,0.0,1.0]",3196,67752.4,1100.07,-0.418255,0.316681,178623.12273289636,15.9129,1715.075235126995,10.78456740981528,-1.0,1.259,28.847270456431417,0.0,0.0,0.0,0.0
"[1.56407, 0.00202758, -0.157053]","[0.0, 46295560.0, 45891130.0]","[0.0,1.0,0.5]",2451,70570.3,45824.8,-0.72949,-0.390448,153230.6242814432,13.8695,58.352941865032925,142.14616877860485,1.401,1.401,177.77195635443795,56.69486710738857,0.0,0.0,0.0
"[1.74148, -0.227601]","[0.0, 10186300.0]","[0.0,0.5]",9768,12768.8,1100.0,-0.572179,-0.594775,92369.77389471458,8.86049,13112.479235478264,20.011237662066307,-1.0,1.54,28.080558458475455,0.0,0.0,0.0,0.0
