mu_list,td_list,n_list,idx,m1,m2,a1,a2,Dl_s,z_merge,duration_time,Mean_SNR,z_lens_sbh,z_lens_hh,Signal_1,Signal_2,Signal_3,Signal_4,Signal_5
"[2.11845, -0.308565, 0.00115055]","[0.0, 3615005.0, 4087833.0]","[0.0,0.5,1.0]",6955,567.343,262.797,0.988625,0.998,98574.7231121064,9.37002,444287.2929373098,3.7093146122309,-1.0,0.734,5.780066259475659,0.0,0.0,0.0,0.0
"[1.91666, -0.719957, 0.000136944]","[0.0, 3251221.0, 4704509.0]","[0.0,0.5,1.0]",5948,308.888,260.085,0.7176,0.614359,135854.8814259012,12.4427,471717.7718336416,2.614512425692808,-1.0,0.998,4.245467419148835,0.0,0.0,0.0,0.0
"[6.19548, -20.7086]","[0.0, 3602752.0]","[0.0,0.5]",7195,379.788,244.818,0.596471,0.998,106110.97081402864,9.99757,587536.8548615339,3.0150721243938308,1.602,1.602,15.638920730470385,0.0,0.0,0.0,0.0
"[1.51524, -0.311372, 2.91181e-05]","[0.0, 8016900.0, 9078368.0]","[0.0,0.5,1.0]",6313,893.843,526.653,0.99797,0.704202,105887.20703583292,9.97899,153039.10682718147,5.784090236356196,-1.0,2.503,7.817388119014554,0.0,0.0,0.0,0.0
"[3.18977, -1.49159, 0.00063805]","[0.0, 1115591.0, 1864789.0]","[0.0,0.5,1.0]",5651,694.515,627.8,0.998,0.998,93582.70279920589,8.95218,190016.15920090248,5.891422953352898,-1.0,0.627,12.747816891927732,0.0,0.0,0.0,0.0
"[1.59934, -0.65118, 0.0250699]","[0.0, 595168.9, 603102.5]","[0.0,0.5,1.0]",3584,922.294,856.744,0.998,0.998,85200.83254419874,8.24632,130849.46749060736,7.769492534519762,-1.0,0.882,11.720324941182632,0.0,0.0,0.0,0.0
"[-0.667885, 2.03379, 0.00153043]","[2422197.0, 0.0, 2580847.0]","[0.5,0.0,1.0]",321,626.955,407.98,0.998,0.299211,92169.50739995534,8.83356,304525.2909330288,4.752839545025387,2.137,2.137,7.814346748699561,0.0,0.0,0.0,0.0
"[-0.648025, 3.70567, 0.0360445]","[16076120.0, 0.0, 16602850.0]","[0.5,0.0,1.0]",9573,1824.88,1215.25,0.998,0.998,69754.45555701734,6.92897,72013.68328934019,12.740365973750873,-1.0,0.47,26.693239178264378,0.0,0.0,0.0,0.0
"[-0.910071, 2.53256, 5.01708e-06]","[6233535.0, 0.0, 9178065.0]","[0.5,0.0,1.0]",5725,790.737,383.321,0.860919,0.948324,60916.67525558524,6.16337,454448.9215832623,5.93650900940775,1.389,1.389,11.014801759156517,0.0,0.0,0.0,0.0
"[6.21001, -14.0349, -2.3438, 11.8794, 0.00533624]","[0.0, 389564.3, 2759680.0, 339517.4, 4546673.0]","[0.0,0.5,0.5,0.0,1.0]",4533,358.828,303.988,0.571958,0.809711,140812.36159150107,12.8461,347980.30361641693,2.91767688675014,0.755,0.755,17.13087497665307,0.0,0.0,0.0,0.0
"[2.04941, -0.349213, 0.00954117]","[0.0, 6908799.0, 7065922.0]","[0.0,0.5,1.0]",8322,465.53,391.715,0.998,0.991113,131083.1038979997,12.0534,250201.498412352,3.678695219270585,-1.0,0.776,5.7086951667386225,0.0,0.0,0.0,0.0
"[1.90328, -0.378702, 0.000254526]","[0.0, 92952920.0, 95357520.0]","[0.0,0.5,1.0]",6783,609.3,488.843,0.994971,0.990683,61433.60356001024,6.20843,447572.55774012266,5.933246079346756,-1.0,1.082,8.963398124954232,0.0,0.0,0.0,0.0
"[2.94145, -0.314297, 0.000949133]","[0.0, 4671388.0, 5266176.0]","[0.0,0.5,1.0]",8124,5169.64,3927.84,0.996713,0.998,91802.98281726372,8.80277,7958.363453242252,28.88752166566134,-1.0,1.238,52.1313418172126,0.0,0.0,0.0,0.0
"[-1.495, 3.91408, 0.0100024]","[1385581.0, 0.0, 1564343.0]","[0.5,0.0,1.0]",6396,1946.39,531.122,0.998,0.992102,59027.81314094547,5.9984,177675.97331583395,9.637337025885062,1.63,1.63,22.434682323040928,0.0,0.0,0.0,0.0
"[2.47906, -0.907973, 0.229635]","[0.0, 55425.11, 55709.82]","[0.0,0.5,1.0]",1694,718.157,497.126,0.997962,0.998,69517.87411753526,6.9086,330942.6858401711,6.05941736130866,-1.0,2.674,11.523520764016997,0.0,0.0,0.0,0.0
"[5.38453, -1.16775, 0.00273055]","[0.0, 2946782.0, 3687206.0]","[0.0,0.5,1.0]",8297,527.655,372.378,0.998,0.998,72720.19747921462,7.18379,513893.9242245526,4.692307025503296,0.647,0.647,12.013598637157758,0.0,0.0,0.0,0.0
