mu_list,td_list,n_list,idx,m1,m2,a1,a2,Dl_s,z_merge,duration_time,Mean_SNR,z_lens_sbh,z_lens_hh,Signal_1,Signal_2,Signal_3,Signal_4,Signal_5
"[2.03162, -0.609568, 0.132711]","[0.0, 1915927.0, 1922126.0]","[0.0,0.5,1.0]",2038,130009.0,118986.0,0.860608,0.938557,63717.93747037504,6.41384,50.13511029157879,586.5540294979941,0.361,0.361,976.9072769105695,0.0,0.0,0.0,0.0
"[4.72416, -1.28115, 0.000897988]","[0.0, 2309414.0, 2938775.0]","[0.0,0.5,1.0]",2055,280823.0,254918.0,0.998,0.979995,75811.23193708604,7.45652,11.208048932141216,1085.5738501789426,1.348,1.348,2359.509185194678,1229.168760333977,0.0,0.0,0.0
"[1.74522, -0.206277, 0.111078]","[0.0, 12182370.0, 12183420.0]","[0.0,0.5,1.0]",1889,347327.0,59726.0,0.502114,0.211677,66085.5164877054,6.61933,42.05299072636993,396.598983845126,-1.0,0.788,523.9341272270481,223.42114320614354,0.0,0.0,0.0
[6.6038],[0.0],[0.0],9775,494070.0,221271.0,0.774373,0.966198,28473.10511305219,3.23472,25.632003130092457,1763.7337748252376,0.961,0.961,4532.4183328306535,0.0,0.0,0.0,0.0
"[1.73478, -0.273245, 0.0131221]","[0.0, 4479398.0, 4518613.0]","[0.0,0.5,1.0]",2288,925297.0,463781.0,0.998,0.997817,22489.43597960197,2.65797,10.373260465331104,3806.426588194146,1.244,1.244,5013.484326781471,2036.9436696385712,0.0,0.0,0.0
"[3.05295, -1.50958, 0.125853]","[0.0, 18169370.0, 18594580.0]","[0.0,0.5,1.0]",307,410612.0,325166.0,0.41724,0.234284,79074.15993232907,7.73514,6.305586933277196,600.8399515548065,0.137,0.137,1049.8292004093569,768.378458324921,0.0,0.0,0.0
"[1.80172, -0.393159, 0.0403565]","[0.0, 539620.9, 545165.4]","[0.0,0.5,1.0]",6685,215499.0,64158.3,0.998,0.998,25226.63083038253,2.924,168.39068068039137,774.7010908534265,-1.0,1.732,1158.2326695349418,0.0,0.0,0.0,0.0
"[1.87137, -0.263775, 1.26694e-06]","[0.0, 4715645.0, 7525332.0]","[0.0,0.5,1.0]",7060,69436.5,59446.0,0.861367,0.773513,24763.83643507632,2.8793,444.0937020180658,451.5248791879965,-1.0,1.157,659.7744613982671,0.0,0.0,0.0,0.0
"[3.49936, -1.73786, 0.000229648]","[0.0, 4028745.0, 6397898.0]","[0.0,0.5,1.0]",4400,143744.0,89614.1,0.991004,0.534779,44274.07729770705,4.69411,91.48267556119752,588.2850996925044,-1.0,0.746,1346.318392677524,0.0,0.0,0.0,0.0
"[-0.504989, 2.24782, 0.000440469]","[4158771.0, 0.0, 5339390.0]","[0.5,0.0,1.0]",471,332239.0,76651.8,0.998,0.978308,46286.62557248602,4.87527,52.9308174897226,816.5640203233212,-1.0,2.211,1354.9180302060013,0.0,0.0,0.0,0.0
