mu_list,td_list,n_list,idx,m1,m2,a1,a2,Dl_s,z_merge,duration_time,Mean_SNR,z_lens_sbh,z_lens_hh,Signal_1,Signal_2,Signal_3,Signal_4,Signal_5
"[-2.74985, 1.966, 0.14321]","[6804318.0, 0.0, 6897780.0]","[0.5,0.0,1.0]",5621,30588.4,14265.0,-0.577913,-0.738929,97746.09005275369,9.31153,579.350388803888,75.30497827771754,-1.0,0.34,165.99683916325725,0.0,0.0,0.0,0.0
"[5.45891, 8.27187, -0.946551, -10.392, 0.19632]","[0.0, 35712.27, 870674.4, 49677.83, 874724.0]","[0.0,0.0,0.5,0.5,1.0]",1296,420707.0,11174.3,0.283102,0.46564,92216.38440747657,8.84759,123.28021004874569,64.05540437698261,1.4,1.4,321.9741635475221,0.0,0.0,0.0,0.0
"[-0.40006, 2.4034, 7.58154e-05]","[9833227.0, 0.0, 12694440.0]","[0.5,0.0,1.0]",2594,66004.3,31026.9,-0.0230812,0.95967,53896.917807210826,5.55313,339.8485030036296,208.71084797869847,-1.0,1.115,349.46048627709354,0.0,0.0,0.0,0.0
"[6.90745, -2.05062, 0.015358]","[0.0, 1526300.0, 1706351.0]","[0.0,0.5,1.0]",5676,106035.0,1585.51,-0.682929,0.748092,113871.1729985472,10.6527,1641.7804269958333,13.382275288635547,1.258,1.258,40.0875164200907,0.0,0.0,0.0,0.0
"[2.94152, -2.75983, 0.00419137]","[0.0, 123133.4, 159701.1]","[0.0,0.5,1.0]",1091,30309.7,23031.4,-0.562955,-0.94209,155803.11043092312,14.0775,203.67539671060197,73.51118855375357,-1.0,2.263,175.59084709489065,0.0,0.0,0.0,0.0
"[8.70897, -0.950116, 0.00576488]","[0.0, 443343.0, 497830.7]","[0.0,0.5,1.0]",9332,314416.0,83879.9,-0.070593,0.558933,161544.73516438509,14.5409,9.965276885581062,147.43003932291455,-1.0,2.937,458.335567250335,0.0,0.0,0.0,0.0
"[1.84003, -2.19547, 0.0198082]","[0.0, 667375.6, 731163.7]","[0.0,0.5,1.0]",3092,152654.0,23563.0,0.74387,0.756137,151586.04273844068,13.7364,61.12805649350047,176.39446290757536,-1.0,0.669,355.21956756739877,0.0,0.0,0.0,0.0
"[-2.57885, 2.05133]","[20866120.0, 0.0]","[0.5,0.0]",6407,89431.1,84717.5,-0.891135,-0.674478,73805.17380229657,7.28469,75.51770813622758,253.576461232054,1.334,1.334,407.21332221301594,363.1839958276525,0.0,0.0,0.0
"[2.82157, -1.21125, 1.98671e-05]","[0.0, 1834277.0, 3839081.0]","[0.0,0.5,1.0]",2910,13975.7,1114.65,-0.675112,0.137482,26516.8036368276,3.04806,53623.47752269816,36.95388099799687,2.182,2.182,74.2105319686173,0.0,0.0,0.0,0.0
[3.09884],[0.0],[0.0],6404,303042.0,56402.8,0.956458,0.405523,96335.81095176526,9.19342,30.13079376751169,473.6685598609597,0.703,0.703,833.8235091750564,0.0,0.0,0.0,0.0
"[2.19735, -0.526968, 8.33037e-05]","[0.0, 35633490.0, 38562410.0]","[0.0,0.5,1.0]",6349,161024.0,73462.5,-0.740761,0.787907,58998.64562329801,6.00201,70.68972742525919,342.6014700104863,1.308,1.308,507.8539575253305,248.7228400321608,0.0,0.0,0.0
"[3.13958, -10.2371]","[0.0, 35275630.0]","[0.0,0.5]",8951,102523.0,2877.24,-0.601567,-0.281474,185143.4524655741,16.4344,474.7070112032404,14.90369194904782,-1.0,1.6,54.50897735746053,0.0,0.0,0.0,0.0
"[1.6503, -0.194582]","[0.0, 7674105.0]","[0.0,0.5]",2318,14340.1,14174.3,-0.884468,-0.272048,56846.45402272992,5.81314,2133.539730701193,79.44019248623174,-1.0,2.389,107.90078011041864,0.0,0.0,0.0,0.0
"[2.00053, -0.277561, -1.54496, 2.0517, 0.0025243]","[53687.55, 2237373.0, 500079.8, 0.0, 2589167.0]","[0.0,0.5,0.5,0.0,1.0]",6105,10246.7,2982.58,0.0609073,0.801392,191282.14281823047,16.9243,2191.008643859962,24.350013451939866,-1.0,1.164,59.031962650110394,0.0,0.0,0.0,0.0
"[1.67498, -0.230009, 0.00314916]","[0.0, 8484287.0, 8715159.0]","[0.0,0.5,1.0]",2871,8462.51,1117.17,0.630326,0.297538,122230.747828014,11.342,11845.90147174215,17.375539190003927,-1.0,1.393,24.00176607599968,0.0,0.0,0.0,0.0
"[-0.375844, 12.6309, 4.81486e-05]","[7151581.0, 0.0, 10061430.0]","[0.5,0.0,1.0]",288,72121.5,20815.5,-0.864799,0.40022,116145.42720685346,10.8406,170.48154290843226,93.83857184685787,-1.0,1.838,338.4281575636202,0.0,0.0,0.0,0.0
[3.56223],[0.0],[0.0],4556,32766.7,19550.2,-0.183419,0.997799,71610.08308132523,7.09618,621.6418068141295,119.36486555632617,0.84,0.84,225.2877053810404,0.0,0.0,0.0,0.0
"[1.69703, -1.28169, 4.85859e-05]","[0.0, 7406948.0, 11648850.0]","[0.0,0.5,1.0]",779,48321.8,28498.2,-0.191809,-0.402986,32864.48989806027,3.64812,828.7936154439669,211.2065108176912,-1.0,1.315,364.52362842031596,0.0,0.0,0.0,0.0
"[4.06941, -0.490342, 0.000209613]","[0.0, 2005369.0, 2590785.0]","[0.0,0.5,1.0]",7779,84006.4,17842.3,-0.64871,0.0446068,102307.61112063484,9.69261,208.6597313335409,90.52993877991216,-1.0,2.287,193.3182343998578,0.0,0.0,0.0,0.0
"[5.66548, -1.86887, -4.55588, 2.84476, 2.61081e-05]","[581107.5, 1038029.0, 636696.0, 0.0, 3581088.0]","[0.0,0.5,0.5,0.0,1.0]",9418,13109.3,6031.76,-0.144353,0.980406,55966.33547178176,5.7357,4894.473813451694,57.9551738458982,-1.0,1.071,223.97268716327338,0.0,0.0,0.0,0.0
"[-2.72676, 2.74264, 2.53575e-05]","[24697090.0, 0.0, 30166660.0]","[0.5,0.0,1.0]",1540,148620.0,34980.1,-0.963071,-0.224363,52532.38833413964,5.43236,170.788858997519,182.2717966954553,1.326,1.326,301.85882512557635,300.9850683898296,0.0,0.0,0.0
[5.02276],[0.0],[0.0],696,146010.0,46290.4,0.833921,0.632374,102302.3346354133,9.69217,57.18283732751033,315.17133657424176,1.394,1.394,706.3467104892527,0.0,0.0,0.0,0.0
"[2.63358, -0.344053, 6.40662e-05]","[0.0, 14122710.0, 15678530.0]","[0.0,0.5,1.0]",3207,103409.0,81797.7,0.858997,-0.55792,98624.67554068804,9.38504,47.37125318419082,310.96533558116573,1.4,1.4,504.6441429552432,182.41690594066088,0.0,0.0,0.0
"[3.09539, 7.76852e-06, -0.0343532]","[0.0, 57397140.0, 53257680.0]","[0.0,1.0,0.5]",2376,6127.8,6039.97,0.271611,0.0309418,86960.7052491644,8.40447,5154.888090416576,36.58023860368954,-1.0,1.359,64.71447394326793,0.0,0.0,0.0,0.0
"[1.4845, 2.5021e-05, -0.157802]","[0.0, 11773330.0, 10437200.0]","[0.0,1.0,0.5]",677,117761.0,6711.37,-0.12997,0.356132,86959.87709858117,8.4044,524.0160546325075,57.99785216739356,-1.0,1.511,74.32616580162954,0.0,0.0,0.0,0.0
"[-0.682989, 2.27737, 0.0104012]","[2837919.0, 0.0, 3029702.0]","[0.5,0.0,1.0]",705,638756.0,99430.4,0.123551,-0.476353,60880.61007952366,6.16661,18.50073115934345,315.98576583536374,-1.0,0.368,476.852778097188,263.12151987050004,0.0,0.0,0.0
"[2.18762, -0.598315, 4.02778e-05]","[0.0, 8846556.0, 11342280.0]","[0.0,0.5,1.0]",2533,271515.0,157398.0,0.647809,0.494046,150768.53687089426,13.6702,6.937593505158008,385.6490592321035,0.99,0.99,570.3982952403329,298.3027257254113,2.4475137865105805,0.0,0.0
"[-0.439276, 2.69328, 9.12031e-05]","[20685530.0, 0.0, 23538890.0]","[0.5,0.0,1.0]",3088,32115.3,9576.97,-0.504766,0.0826324,85198.40985246655,8.25538,960.429363066403,70.92046979504437,-1.0,1.192,125.52416689412343,0.0,0.0,0.0,0.0
"[-0.950401, 2.26057, 1.90263e-05]","[5740313.0, 0.0, 8314457.0]","[0.5,0.0,1.0]",1169,173385.0,90894.3,-0.570238,0.295153,147410.39677247548,13.398,16.584843025918236,239.5215734454169,-1.0,2.051,360.12528570262776,233.50601821521064,1.0447726762950065,0.0,0.0
"[1.83933, -2.3214, 0.00278077]","[0.0, 12007150.0, 13165180.0]","[0.0,0.5,1.0]",9159,231800.0,65290.7,-0.0688262,-0.645493,98622.88209701671,9.38489,30.97491109836683,260.97483016099943,0.289,0.289,353.9390254990116,397.863020515937,0.0,0.0,0.0
[4.16474],[0.0],[0.0],3568,80860.4,22516.6,0.135026,0.877916,131171.59879830814,12.0753,123.4492445742715,129.02632075321776,-1.0,0.799,263.31297528121587,0.0,0.0,0.0,0.0
"[2.84559, -0.482254, 0.00126373]","[0.0, 2481612.0, 2890693.0]","[0.0,0.5,1.0]",344,54574.6,47554.3,-0.228051,0.155211,43379.268905844016,4.61328,353.08787420489745,243.89003735205864,-1.0,0.872,444.99792386876396,0.0,0.0,0.0,0.0
"[7.79669, -0.0855679]","[0.0, 166891800.0]","[0.0,0.5]",1404,2651.63,1450.97,-0.249323,-0.182249,193864.67402656528,17.1301,11558.289213834183,10.984151689493777,-1.0,1.597,30.83840033664591,0.0,0.0,0.0,0.0
"[-2.21112, 2.77465, 0.000131922]","[3531732.0, 0.0, 5415709.0]","[0.5,0.0,1.0]",7400,567620.0,52110.4,-0.0806871,0.998,102304.49319488992,9.69235,19.18110443776045,97.79378799037195,-1.0,0.585,162.89785763366967,145.4177514699416,1.1232330716405863,0.0,0.0
"[1.73788, -0.271882, 3.13057e-05]","[0.0, 18339770.0, 21226670.0]","[0.0,0.5,1.0]",923,83158.6,5432.15,0.116851,0.888439,169182.28817429842,15.1556,332.1829554789335,41.62122787003448,-1.0,1.197,59.005240639089514,0.0,0.0,0.0,0.0
"[-1.60332, 3.43382, 0.000912151]","[7131965.0, 0.0, 8991994.0]","[0.5,0.0,1.0]",961,68296.8,12898.2,0.622403,0.0729433,79100.91141160438,7.73742,460.942337204416,124.87707232117609,1.651,1.651,280.2941525902409,0.0,0.0,0.0,0.0
"[-0.758947, 1.94247, 0.000387979]","[1599630.0, 0.0, 1825250.0]","[0.5,0.0,1.0]",2269,261008.0,22995.6,0.17477,0.13471,124643.8722488396,11.5403,56.16615145409915,107.99159242289969,-1.0,2.535,177.50759670832826,0.0,0.0,0.0,0.0
"[1.62941, -0.302158, 0.0136496]","[0.0, 6536809.0, 6611471.0]","[0.0,0.5,1.0]",42,89854.6,18270.3,-0.420851,0.627206,108119.83348886718,10.1762,180.5294128663969,98.9072186812202,-1.0,0.487,137.94694426343426,0.0,0.0,0.0,0.0
"[2.28345, -0.564573, 0.000234718]","[0.0, 3764142.0, 4292333.0]","[0.0,0.5,1.0]",3139,18488.2,1121.55,-0.92126,-0.705334,122236.82787214528,11.3425,6857.260549262802,17.71228951363595,0.795,0.795,29.892644943259235,0.0,0.0,0.0,0.0
