# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3 -8.589755e-03 -6.670714e-01  1.796223e+00  7.461367e-01  1.513969e-01  1.515330e+01 6 1 -1.000000e+00
 3.945676e-01 -1.443015e+00  1.644851e+00  0.000000e+00  0.000000e+00  2.026664e-01  1.544587e-01 -6.265382e-02  1.301121e-02
 2.863756e-02  3.155390e-01 -2.490253e-01  1.205250e+02  5.000000e-01  1.021381e+00  1.925919e+00 -5.540301e-01  6.474936e-01
 5.460884e-05  1.446062e-02  8.901136e-04  1.293159e+02  1.000000e+00  3.623096e+01  1.085208e+01  2.968660e-02  3.546824e+01
1 -5.337940e-01 -1.040664e+00  0.000000e+00  8.648524e-01  0.000000e+00  1.632430e+01 0 2  2.789407e-01
 1.125199e+00  1.568842e+00  4.907647e+00  0.000000e+00  0.000000e+00  3.886885e-01  1.609140e-02 -4.119214e-01  5.020831e-03
1  1.662847e-01 -1.737698e-01  0.000000e+00  5.942565e-02  0.000000e+00  1.371740e+01 0 2  2.948576e-01
 1.012295e-01 -2.132388e-02  4.381585e+00  0.000000e+00  0.000000e+00  4.534710e-01 -2.654279e-01 -3.752253e-03  4.484645e-03
5 -1.141356e-01 -3.291598e-02  1.435960e+00  8.408367e-01  1.000000e+00  1.756740e+01 6 3 -1.000000e+00
-4.781411e-01 -8.067880e-01  3.022594e+00  0.000000e+00  0.000000e+00  3.893816e-01  1.214841e-01 -1.650902e-01  5.267346e-02
 5.260764e-01  6.447232e-02 -1.388656e+00  1.222734e+01  5.000000e-01  8.654477e-01 -8.591823e-01 -5.542739e-03  3.843602e-01
-5.607567e-01  3.857664e-01 -1.199675e+01  4.904435e+00  5.000000e-01  4.706908e-01 -1.973548e-01  5.697150e-01  7.597849e-02
-3.275805e-01  6.212569e-01  1.194578e+01  4.827281e+00  0.000000e+00  4.296305e-01  1.568678e-01  4.658350e-01  5.029807e-02
 1.088208e-02  3.490161e-03  6.801064e-03  1.713992e+01  1.000000e+00  1.487003e+01 -5.384086e+00 -4.043938e+00  1.336335e+01
2  2.598961e-01 -1.926554e-01  1.068579e+00  4.042778e-01  1.745528e-01  1.631020e+01 6 1 -1.000000e+00
 7.407654e-01 -3.436826e-01  2.450006e+00  0.000000e+00  0.000000e+00  3.058329e-01 -9.545576e-02  2.541531e-01  1.172635e-03
-1.944176e-01  1.733222e-01 -4.276554e-01  9.526323e+01  5.000000e-01  5.894336e-01 -1.695899e-01  1.574209e+00  3.958395e-02
2 -1.029571e+00 -2.905891e-01  1.354343e+00  6.849082e-01  1.464460e-01  1.757690e+01 6 1  2.697134e-01
 8.592668e-02 -3.762824e-01 -4.359014e-01  1.501100e+02  5.000000e-01  1.069187e+00  1.386526e+00  6.135383e-01  7.545847e-02
-9.034120e-01  5.486252e-01  2.976534e+00  0.000000e+00  0.000000e+00  3.520215e-01 -5.273210e-02  2.848406e-01  2.381166e-03
3  1.095982e+00  5.957768e-01  3.949763e+00  2.504429e+00  3.464830e-02  7.184900e+00 6 2 -1.000000e+00
 2.506975e+00  2.041823e+00  8.009451e+00  0.000000e+00  0.000000e+00  4.940854e-01 -9.219957e-02 -3.501376e-01  3.532645e-03
-6.787067e-01 -2.931415e-01 -2.775138e-01  3.966529e+02  5.000000e-01  1.250811e+00 -1.172728e+00 -1.513618e+00  2.698410e-01
