# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3 -5.911162e-01 -3.087985e-01  4.173499e+00  2.201573e+00  6.799283e-02  1.475070e+01 6 2 -1.000000e+00
-2.457673e+00 -1.283267e+00  2.094002e+01  0.000000e+00  0.000000e+00  5.138161e-01 -2.710387e-01 -3.393484e-01  1.801453e-02
 1.220324e+00  6.891517e-01 -1.423771e+00  1.778748e+02  5.000000e-01  7.778484e-01 -4.644514e-01 -7.321178e-01  1.093039e-01
 9.219222e-03  4.957387e-03  3.684024e-04  2.542898e+02  1.000000e+00  5.394777e+01 -4.757212e+00 -8.149357e+00  5.200561e+01
3  2.151487e-01  1.056626e-01  8.716083e-01  4.152575e-01  3.666674e-01  9.335880e+00 6 1 -1.000000e+00
-1.816888e-01 -9.948596e-02 -7.394918e-01  3.405326e+01  5.000000e-01  9.578241e-01 -5.371560e-01 -1.032241e+00  5.987551e-01
 6.433619e-01  1.815699e-01  2.016792e+00  0.000000e+00  0.000000e+00  2.620100e-01 -1.279143e-01 -1.800839e-01  4.401607e-02
-1.552596e-02 -7.439935e-03  9.920844e-03  3.650191e+01  1.000000e+00  1.175417e+01 -2.445676e+00 -2.978736e+00  1.104122e+01
5  3.070940e-01 -3.187667e-01  1.130548e+00  4.206972e-01  1.000000e+00  1.672230e+01 6 1  2.809917e-01
-1.332195e-01 -2.966908e-01 -9.993468e-01  1.540723e+01  5.000000e-01  6.922855e-01  5.820592e-01 -8.697982e-01  1.206625e-01
 4.418054e-01 -2.551504e-01  2.839660e+00  7.981377e+00  0.000000e+00  3.740653e-01 -1.679499e-01  1.069219e-01  2.362498e-02
 2.626114e-01  2.498738e-01 -1.472199e+00  1.211219e+01  5.000000e-01  5.738022e-01  5.823161e-04 -9.278470e-01  8.344215e-02
-4.577439e-01  4.296480e-01  2.091538e+00  0.000000e+00  0.000000e+00  3.055855e-01 -2.503658e-02  5.888680e-02  1.400352e-02
 1.237276e-04 -4.612368e-04  1.014211e-04  2.860434e+01  1.000000e+00  1.016279e+02  1.628294e+01  9.852282e-01  9.927765e+01
2 -2.465653e-01 -2.105628e-01  2.014149e+00  8.288740e-01  4.865823e-01  7.984000e+00 6 3 -1.000000e+00
-1.139576e+00 -9.483365e-01  2.495997e+00  0.000000e+00  0.000000e+00  3.668852e-01  6.356732e-03 -1.234787e-02  1.384390e-03
 4.162566e-01  3.307961e-01 -5.129651e+00  2.496573e+02  5.000000e-01  6.633531e-01 -1.106026e-01 -5.440986e-01  2.769144e-02
5 -9.284302e-03 -1.036947e-02  1.253531e+00  5.775303e-01  1.000000e+00  1.301290e+01 6 3 -1.000000e+00
