# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
1  1.167824e-01 -2.650996e+00  0.000000e+00  1.444253e+00  0.000000e+00  1.779750e+01 0 2  2.916124e-01
 2.916617e+00 -8.077610e-01  3.157902e+00  0.000000e+00  0.000000e+00  3.126612e-01 -3.695989e-01  1.384391e-01  3.094247e-03
3  1.481785e+00  1.571802e+00  2.179240e+00  1.144144e+00  3.768751e-01  1.779410e+01 6 1  2.806025e-01
-6.124311e-01  8.717673e-02 -1.096712e+00  1.043092e+02  5.000000e-01  8.165086e-01 -8.451346e-01  4.808669e-01  9.890850e-02
 1.477793e+00  7.036601e-01  2.910015e+00  0.000000e+00  0.000000e+00  3.867732e-01 -1.594645e-01 -8.353050e-02  1.131773e-02
-3.623573e-03 -5.479139e-04  8.967849e-05  1.373886e+02  1.000000e+00  1.160218e+02 -4.029608e+01 -2.133764e+01  1.132672e+02
3  3.585454e-01 -7.201639e-01  3.362777e+00  1.484283e+00  1.383789e-01  4.440920e+00 6 3 -1.000000e+00
 5.903987e-01 -2.773477e+00  3.688881e+00  0.000000e+00  0.000000e+00  4.542962e-01  1.407985e-01  8.296679e-02  3.171268e-03
-2.795721e-01  4.748184e-01 -5.104631e-01  5.744458e+02  5.000000e-01  1.265556e+00  5.344442e-01  1.320566e+00  2.394518e-01
-4.322091e-03  1.027338e-02  2.812153e-04  6.203946e+02  1.000000e+00  6.483604e+01  1.746585e+01  1.462840e+01  6.246585e+01
3 -4.621306e-02  3.351195e-01  8.811677e-01  3.722184e-01  1.013190e-01  4.183320e+00 6 1 -1.000000e+00
 2.023560e-01  7.478713e-01  2.234092e+00  0.000000e+00  0.000000e+00  2.910797e-01  2.188210e-01  8.412005e-02  1.800286e-02
 1.036963e-02 -1.121274e-01 -2.263560e-01  6.737196e+01  5.000000e-01  1.825193e+00  2.126410e+00  7.597004e-01  1.219158e+00
 4.769454e-04 -2.183452e-02  1.211581e-02  6.822841e+01  1.000000e+00  1.152935e+01  5.321965e+00 -8.389227e-02  1.062624e+01
1 -1.185189e+00 -1.569317e+00  0.000000e+00  9.177793e-01  0.000000e+00  1.302950e+01 0 2 -1.000000e+00
-1.803881e+00 -2.419627e+00  3.332178e+00  0.000000e+00  0.000000e+00  3.698454e-01  4.840700e-02 -3.076485e-01  5.116676e-04
1  1.907062e-01  1.919612e-01  0.000000e+00  7.665861e-02  0.000000e+00  1.368430e+01 0 2  2.796007e-01
 1.613592e-01 -2.883572e-02  4.665306e+00  0.000000e+00  0.000000e+00  5.266187e-01  7.191796e-02  6.759765e-02  3.348056e-03
3 -6.062595e-02  1.303501e-01  9.423104e-01  4.513261e-01  4.899787e-01  1.673580e+01 6 1 -1.000000e+00
 3.959898e-02 -3.487702e-01 -1.323709e+00  2.870376e+01  5.000000e-01  5.503587e-01  9.646173e-01  1.647527e-01  1.132070e-01
-4.725191e-01  4.422317e-01  2.701565e+00  0.000000e+00  0.000000e+00  3.190192e-01  6.315311e-02  2.993170e-01  1.468200e-02
 3.004838e-04 -8.810992e-04  5.707510e-05  5.010392e+01  1.000000e+00  1.355128e+02  2.371466e+01  3.244168e+00  1.336450e+02
3  5.853936e-01 -9.036944e-01  1.065154e+00  5.436276e-01  3.846308e-01  1.592960e+01 6 1  2.904212e-01
 2.397564e-02 -2.000477e-01 -8.665232e-01  5.192273e+01  5.000000e-01  1.322719e+00  1.107569e+00  1.774147e-01  2.178999e-01
-3.195079e-01  8.082048e-01  2.252870e+00  0.000000e+00  0.000000e+00  2.784563e-01  2.377489e-01  1.422062e-01  5.592973e-03
 4.814383e-03 -2.546400e-02  2.202156e-02  5.312597e+01  1.000000e+00  8.562819e+00  3.236090e+00  1.146258e+00  5.603955e+00
3 -1.173393e-01 -6.593069e-02  6.244429e-01  3.248531e-01  4.347411e-01  1.746100e+01 6 1 -1.000000e+00
-3.137030e-01 -3.472924e-01  1.997919e+00  0.000000e+00  0.000000e+00  2.644181e-01 -6.019062e-02 -1.921896e-01  2.355572e-02
 1.840480e-01  2.976570e-02 -8.685773e-01  1.440611e+01  5.000000e-01  7.330975e-01 -1.066652e+00 -2.912030e-01  3.508358e-01
 4.201143e-03  1.590527e-03  1.829420e-03  1.746770e+01  1.000000e+00  2.523933e+01 -6.138345e+00 -1.801240e+00  2.428070e+01
3 -2.430323e-01  1.618002e-01  1.534034e+00  6.782897e-01  2.067769e-01  1.368430e+01 6 1 -1.000000e+00
 3.793635e-01 -7.599723e-02 -4.195605e-01  1.936267e+02  5.000000e-01  5.856506e-01 -1.552577e+00  3.803101e-01  8.496798e-02
