# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3 -1.254168e+00  1.949596e+00  2.561732e+00  1.224997e+00  2.423083e-01  1.757770e+01 6 3  3.061864e-01
 6.706077e-01 -1.526555e-01 -9.869335e-01  2.946261e+01  5.000000e-01  9.354507e-01 -9.525759e-01  3.316704e-01  2.411723e-01
-1.860582e+00  2.417435e-01  4.073049e+00  0.000000e+00  0.000000e+00  3.473134e-01 -4.191451e-01  6.928892e-02  1.993442e-02
 3.861992e-02 -1.132203e-02  8.640223e-03  3.238725e+01  1.000000e+00  1.226363e+01 -2.010549e+00  2.662573e+00  1.027187e+01
3  5.751998e-01 -1.518760e+00  7.092172e+00  3.402907e+00  2.222399e-01  1.336880e+01 6 1 -1.000000e+00
 4.269535e+00 -4.781796e+00  2.915962e+00  0.000000e+00  0.000000e+00  3.914910e-01  8.489315e-02  1.419025e-01  8.976964e-04
-1.698708e-01  7.490789e-01 -6.480429e-01  1.606230e+03  5.000000e-01  1.721120e+00  1.369613e+00  4.327608e-01  3.074363e-01
-1.870459e-02  5.569014e-02  3.298484e-03  1.628507e+03  1.000000e+00  2.085175e+01  7.908036e+00  5.327784e+00  1.810229e+01
3  5.031704e-01  3.106667e-03  1.969284e+00  1.127096e+00  1.339460e-01  1.592670e+01 6 1 -1.000000e+00
 1.386217e+00 -7.116467e-01  2.682061e+00  0.000000e+00  0.000000e+00  3.568914e-01 -1.933028e-01  5.809535e-02  3.186561e-03
-4.788905e-01 -7.962452e-02 -3.592513e-01  1.801063e+02  5.000000e-01  8.999333e-01 -1.554091e+00 -6.151282e-01  2.612146e-01
-1.639759e-03 -2.178513e-04  8.619959e-06  2.410601e+02  1.000000e+00  3.799796e+02 -1.515218e+02 -6.824117e+01  3.778970e+02
3  2.283874e-01 -7.193305e-01  1.992120e+00  7.057295e-01  1.088087e-01  1.800150e+01 6 1 -1.000000e+00
 5.436981e-01 -1.623600e+00  1.495978e+00  0.000000e+00  0.000000e+00  1.813365e-01 -2.567624e-02 -3.303786e-02  1.809828e-03
-8.357330e-04  1.662090e-03  8.584904e-06  2.720382e+02  1.000000e+00  3.563850e+02  2.155857e+01  9.669639e+01  3.550096e+02
-9.979657e-02  2.617263e-01 -1.627754e-01  2.394556e+02  5.000000e-01  7.914959e-01  1.978445e+00  1.507537e+00  3.164668e-01
3  6.605977e-01  1.499188e+00  4.969593e+00  2.320062e+00  4.647521e-02  1.320230e+01 6 2 -1.000000e+00
-7.676850e-01  4.541311e+00  7.262046e+00  0.000000e+00  0.000000e+00  5.198543e-01  2.798967e-01 -1.203970e-01  9.455079e-03
-1.225561e-01 -3.862297e-01 -3.375051e-01  4.403602e+02  5.000000e-01  2.919137e+00  1.997569e+00 -1.629638e+00  1.688099e+00
-5.810289e-02 -1.926391e-01  9.657851e-02  4.407218e+02  1.000000e+00  5.947077e+00  3.129841e+00 -2.079279e+00  4.487509e+00
1  5.333939e-01  1.191819e+00  0.000000e+00  3.478510e-01  0.000000e+00  1.673290e+01 0 2  2.931888e-01
-3.460195e-01  1.215164e+00  3.051327e+00  0.000000e+00  0.000000e+00  3.372841e-01 -2.670859e-01  2.003277e-01  3.815771e-05
4  1.388300e+00  3.828866e+00  4.609529e+00  1.584805e+00  1.000000e+00  1.387580e+01 6 3  2.679271e-01
 2.878342e-02 -1.077636e+00 -1.704406e+00  6.047124e+02  5.000000e-01  8.465643e-01  7.536961e-01 -2.054250e-01  7.661833e-03
 1.563405e+00 -4.965734e-01  5.686521e+00  5.311759e+02  0.000000e+00  5.336428e-01 -2.040080e-01  3.915616e-03  1.395153e-03
 1.225288e+00  4.643461e-01 -3.602745e+00  5.446187e+02  5.000000e-01  6.814702e-01 -2.535999e-01 -5.609942e-01  2.240817e-03
-2.429017e+00  1.807406e+00  2.148031e+00  0.000000e+00  0.000000e+00  3.167763e-01 -1.455757e-02 -3.225142e-02  2.855708e-04
1  5.080789e-02 -2.206494e-02  0.000000e+00  2.047442e-02  0.000000e+00  1.337290e+01 0 2  2.748768e-01
