# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3  1.671553e+00 -7.603995e-01  1.313107e+00  5.253766e-01  2.142315e-01  1.553580e+01 6 1  3.098190e-01
-2.267064e-01  3.898754e-02 -3.803446e-01  3.116945e+01  5.000000e-01  1.156510e+00 -1.576988e+00  4.084113e-01  5.005634e-01
 1.079561e+00  1.728352e-01  1.775391e+00  0.000000e+00  0.000000e+00  2.352543e-01 -1.397910e-01 -4.514757e-02  7.241508e-03
-1.615604e-02  3.060202e-03  3.268761e-03  3.261643e+01  1.000000e+00  1.969793e+01 -4.755681e+00  4.590172e+00  1.822453e+01
3  2.189153e-01  7.093303e-01  3.085283e+00  1.070752e+00  2.940084e-01  1.534710e+01 6 1 -1.000000e+00
 2.499841e-02 -5.526470e-01 -5.061076e-01  2.238301e+02  5.000000e-01  7.654446e-01  1.377867e+00  3.638170e-01  2.379890e-01
 1.478712e+00  2.168693e+00  1.721405e+00  0.000000e+00  0.000000e+00  2.232837e-01  4.771068e-02  1.417433e-01  2.172007e-03
-1.056866e-03 -6.224451e-03  1.249823e-04  2.538990e+02  1.000000e+00  9.270829e+01  2.002553e+01  2.872969e+00  9.125267e+01
3  7.633212e+00  1.907713e+00  1.272483e+01  3.519134e+00  4.488738e-01  1.534400e+01 6 3  2.743341e-01
 9.656772e+00 -5.392051e+00  3.496350e+00  0.000000e+00  0.000000e+00  3.748080e-01  2.906057e-01 -1.428313e-01  2.939142e-05
-9.356494e-01  1.659331e+00 -7.789161e+00  2.634596e+03  5.000000e-01  1.006202e+00  3.057796e-01  1.868712e-01  3.073617e-03
-2.217437e-01  2.134067e-01  6.103371e-01  2.661479e+03  1.000000e+00  3.031555e+00  1.334864e-01  1.571928e+00  4.377353e-01
3  9.074036e-01 -6.439973e-01  1.314935e+00  5.202759e-01  1.154223e-01  1.209500e+01 6 1  2.852216e-01
 1.184789e+00 -2.621315e-01  1.388195e+00  0.000000e+00  0.000000e+00  1.251648e-01 -2.119165e-01 -8.248191e-03  4.054560e-04
-1.017025e-01  9.882959e-03 -1.602286e-01  1.244012e+02  5.000000e-01  2.576787e+00 -2.946639e+00  2.113207e-01  3.594765e-01
-8.561094e-03  2.080959e-03  8.076457e-04  1.253219e+02  1.000000e+00  4.062717e+01 -1.534096e+01  9.838755e+00  3.315070e+01
5 -2.541229e-01  7.543043e-01  1.019848e+00  4.371759e-01  1.000000e+00  1.065310e+01 6 3  2.830580e-01
-2.663438e-01 -4.979718e-03 -1.498838e+00  2.040066e+01  5.000000e-01  8.639100e-01 -8.184074e-01  1.261477e-01  2.821513e-01
 3.659213e-01  5.764490e-01  2.208380e+00  0.000000e+00  0.000000e+00  3.237849e-01 -3.488173e-02 -5.682942e-02  1.385842e-02
 7.493673e-02 -3.492650e-01 -1.472604e+01  1.715234e+01  5.000000e-01  6.031621e-01  3.150545e-01  3.551448e-01  7.324271e-02
-4.357856e-05 -3.754755e-01  1.652726e+01  1.713928e+01  0.000000e+00  5.655818e-01  3.173986e-01  1.657444e-01  5.896197e-02
-8.512674e-03 -4.906354e-03  1.490391e-02  2.375812e+01  1.000000e+00  9.487364e+00 -2.019675e+00 -9.272351e-01  7.667219e+00
3 -1.397889e-01 -1.415467e-03  1.563098e+00  7.442058e-01  7.758116e-01  1.779750e+01 6 3 -1.000000e+00
-9.161121e-01  3.110310e-02  6.654752e+00  0.000000e+00  0.000000e+00  4.212849e-01 -4.297006e-01  1.741932e-04  6.090214e-03
 6.466508e-01 -1.242627e-03 -5.162834e+00  4.615443e+01  5.000000e-01  5.418750e-01 -6.344596e-01 -3.211927e-02  1.612463e-02
