# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3 -4.481667e-01  2.754578e-01  1.260244e+00  3.590518e-01  2.057235e-01  1.136730e+01 6 1 -1.000000e+00
-8.581616e-01  5.593129e-01  1.533799e+00  0.000000e+00  0.000000e+00  1.594709e-01 -1.592666e-01  1.707265e-01  1.104369e-02
 1.572563e-01 -1.871056e-01 -3.155385e-01  3.618698e+01  5.000000e-01  9.197696e-01 -2.346623e-01  1.766509e+00  6.695945e-01
 1.021730e-02 -1.476380e-02  2.476587e-03  3.825152e+01  1.000000e+00  2.391708e+01  8.230255e+00  7.326259e+00  2.348333e+01
1 -2.934957e+00  6.326445e-01  0.000000e+00  5.164107e+00  0.000000e+00  6.921740e+00 0 2 -1.000000e+00
-6.616887e+00  2.963822e+00  5.859222e+00  0.000000e+00  0.000000e+00  4.995186e-01 -1.797699e-01  2.179295e-01  2.784424e-03
1  4.013750e+00 -3.140906e+00  0.000000e+00  5.689236e+00  0.000000e+00  1.308520e+01 0 2 -1.000000e+00
 8.520913e+00 -5.178136e+00  3.447736e+00  0.000000e+00  0.000000e+00  3.236829e-01 -5.899828e-02  4.048193e-01  2.302135e-03
1 -7.401999e-01  2.752835e+00  0.000000e+00  3.215458e+00  0.000000e+00  1.371990e+01 0 2 -1.000000e+00
-5.501134e+00  4.187725e+00  3.430475e+00  0.000000e+00  0.000000e+00  3.882175e-01  9.097314e-02  2.729411e-01  3.862719e-04
1  1.212916e+00  7.572576e+00  0.000000e+00  1.606794e+00  0.000000e+00  1.783240e+01 0 2  2.742143e-01
-9.229838e-01  5.653740e+00  3.540277e+00  0.000000e+00  0.000000e+00  2.613794e-01  4.902718e-01 -1.507655e-01  2.330021e-05
1 -2.580285e-01  3.814202e+00  0.000000e+00  9.183779e-01  0.000000e+00  1.394900e+01 0 2  3.087978e-01
 3.551913e-02 -1.526903e+00  3.901359e+00  0.000000e+00  0.000000e+00  3.357188e-01  4.285438e-01  3.603854e-02  8.019565e-03
5  1.292617e-01  8.644064e-02  8.735855e-01  3.598493e-01  1.000000e+00  7.604720e+00 6 1 -1.000000e+00
 4.801422e-01 -2.014047e-01  2.526428e+00  0.000000e+00  0.000000e+00  3.050681e-01 -2.948183e-01  1.402400e-02  6.327570e-02
-1.292996e-01 -1.020225e-01 -4.919557e-01  1.204995e+01  5.000000e-01  1.418645e+00 -3.909507e-01 -1.433571e+00  9.823124e-01
 2.905009e-01  2.980833e-01 -2.959371e+00  2.075379e+00  5.000000e-01  4.994837e-01 -6.459987e-02 -7.643644e-01  1.933462e-01
-4.370796e-02  4.976895e-01  2.983637e+00  1.145528e+00  0.000000e+00  3.332441e-01  2.969833e-01 -1.456123e-01  9.300918e-02
-1.736600e-02 -1.356995e-02  3.043144e-02  1.269996e+01  1.000000e+00  7.560277e+00 -5.378300e-01 -3.144394e+00  6.845399e+00
3  1.824568e-01  2.365203e-01  6.608442e-01  2.726751e-01  1.166938e-01  8.095180e+00 6 1 -1.000000e+00
 3.955643e-01  4.076389e-01  2.194975e+00  0.000000e+00  0.000000e+00  2.348752e-01  1.505938e-02 -3.600043e-01  3.678719e-02
-4.454889e-02 -8.532702e-02 -2.561400e-01  3.373968e+01  5.000000e-01  2.363630e+00  1.224544e+00 -2.064968e+00  1.987423e+00
-1.540941e-02 -3.006502e-02  4.254215e-02  3.390486e+01  1.000000e+00  7.463016e+00  2.739578e+00 -3.280120e+00  6.980764e+00
2 -9.440138e-02  3.501187e-01  1.429728e+00  9.289451e-01  1.161654e-01  1.443970e+01 6 3 -1.000000e+00
-7.178002e-01  7.974721e-01  4.276523e+00  0.000000e+00  0.000000e+00  3.922852e-01  1.642984e-01  3.293760e-01  1.350243e-03
 6.515410e-02 -3.988157e-01 -4.967841e-01  1.254044e+02  5.000000e-01  6.988473e-01  1.388028e+00  4.207367e-01  1.725113e-02
3 -1.495801e-01 -3.931448e-01  1.243871e+00  5.701460e-01  7.478737e-02  1.344360e+01 6 2 -1.000000e+00
-5.255135e-01 -7.456050e-01  3.412895e+00  0.000000e+00  0.000000e+00  2.853099e-01  2.464166e-01 -3.963009e-01  1.513384e-02
 1.158343e-01  3.201760e-01 -2.552414e-01  7.484739e+01  5.000000e-01  6.819411e-01  1.612082e+00 -1.191727e+00  2.208229e-01
 3.314261e-04  7.280137e-04  3.584432e-06  1.100062e+02  1.000000e+00  5.573932e+02  9.590858e+01 -1.462556e+02  5.557120e+02
5  7.008492e-02  3.948289e-03  1.433223e+00  6.703812e-01  1.000000e+00  1.396610e+01 6 1 -1.000000e+00
 1.032628e-01 -7.169044e-01  1.800423e+00  1.536362e+00  0.000000e+00  2.355009e-01  1.518635e-01  7.727447e-02  1.815454e-02
-4.100284e-01  2.268437e-02 -5.360886e-01  3.193964e+01  5.000000e-01  6.571134e-01 -1.406357e+00  7.137138e-02  1.452728e-01
 4.941283e-01 -4.073029e-02 -9.170333e-01  1.882987e+01  5.000000e-01  5.666849e-01 -1.125743e+00  1.045827e-01  9.018187e-02
 1.261904e-01  7.161353e-01  1.795255e+00  0.000000e+00  0.000000e+00  2.280156e-01  1.309822e-01 -1.475797e-01  1.490438e-02
-3.005988e-04  2.158854e-05  1.834716e-05  7.287236e+01  1.000000e+00  2.419840e+02 -5.091471e+01  3.125128e+01  2.400411e+02
3  1.957898e+00 -2.365026e+00  3.724329e+00  2.455102e+00  1.158492e-01  3.512150e+00 6 3  2.829025e-01
 3.220103e+00  2.837381e-01  5.477478e+00  0.000000e+00  0.000000e+00  4.374449e-01 -3.581670e-01 -7.495898e-02  3.030350e-03
-4.938744e-01  6.256953e-03 -6.345613e-01  4.517245e+02  5.000000e-01  2.357311e+00 -1.848287e+00 -4.495713e-02  3.927186e-01
-1.306166e-01  6.174450e-03  5.558160e-02  4.536292e+02  1.000000e+00  7.264346e+00 -4.599421e+00  3.095092e-01  3.835576e+00
1  1.738306e+00 -4.976875e-01  0.000000e+00  4.172614e-01  0.000000e+00  1.447230e+01 0 2  2.776997e-01
 1.091981e+00 -7.633793e-01  4.833570e+00  0.000000e+00  0.000000e+00  3.370796e-01 -4.168824e-01  2.424584e-01  9.343165e-04
