# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
1  2.291630e+01 -2.272121e+01  0.000000e+00  1.525215e+01  0.000000e+00  1.124700e+01 0 2 -1.000000e+00
 1.419065e+01 -3.996912e+01  3.218514e+00  0.000000e+00  0.000000e+00  3.102848e-01  1.469673e-01  3.786889e-01  8.152218e-05
3  1.355146e+00  1.545825e+00  3.700791e+00  1.833418e+00  9.133303e-01  1.172370e+01 6 3  2.762215e-01
 2.372992e+00 -1.159608e+00  3.466790e+00  0.000000e+00  0.000000e+00  4.285964e-01 -6.217841e-02  1.848908e-01  4.737162e-03
-4.285054e-01  1.258546e+00 -3.795768e+00  1.991724e+02  5.000000e-01  7.600241e-01  5.148743e-01  2.365253e-01  2.994571e-02
-9.283252e-03  9.252720e-03  1.902224e-03  2.667942e+02  1.000000e+00  2.444687e+01 -2.132431e-02  4.904596e+00  2.059484e+01
3  2.549066e-01 -3.827995e-01  1.218939e+00  5.848951e-01  7.766869e-02  1.276740e+01 6 2 -1.000000e+00
 4.283086e-01 -7.918581e-01  3.450567e+00  0.000000e+00  0.000000e+00  2.495550e-01  2.113609e-01  4.782121e-01  2.038952e-02
-1.662346e-01  2.722526e-01 -2.680010e-01  8.032169e+01  5.000000e-01  6.510592e-01  7.830633e-01  1.799972e+00  3.128731e-01
-1.666842e-03  3.059938e-03  9.683340e-05  1.012335e+02  1.000000e+00  1.043359e+02  1.550672e+01  1.052805e+01  1.035026e+02
1 -2.193962e+00  5.900661e-01  0.000000e+00  2.218505e+00  0.000000e+00  1.870500e+01 0 2 -1.000000e+00
-3.257942e+00  2.140917e+00  3.622285e+00  0.000000e+00  0.000000e+00  3.635937e-01 -2.347846e-01  2.716991e-01  7.259115e-04
3 -4.111738e-01 -3.145955e+00  3.203067e+00  9.866130e-01  3.465398e-01  1.462190e+01 6 1  2.706327e-01
-2.610719e+00 -1.112129e+00  1.637019e+00  0.000000e+00  0.000000e+00  1.775891e-01  2.124546e-01  1.426759e-01  6.014780e-04
 2.664797e-01  2.954795e-01 -5.672924e-01  5.995085e+02  5.000000e-01  1.091337e+00  5.569505e-01 -1.208680e+00  1.331204e-01
 2.072196e-03  1.396132e-03  1.402621e-05  6.457879e+02  1.000000e+00  2.925865e+02 -5.287893e+01 -1.045535e+02  2.882249e+02
3  7.314598e-02  5.420402e-01  1.692428e+00  6.853039e-01  2.508588e-01  1.615850e+01 6 1 -1.000000e+00
-4.361928e-02  1.372312e+00  1.681120e+00  0.000000e+00  0.000000e+00  2.210019e-01  7.651185e-02 -7.837460e-02  1.831369e-03
-4.450968e-02 -3.201157e-01 -4.217239e-01  2.356557e+02  5.000000e-01  6.036308e-01  1.434691e+00 -6.855587e-01  9.342339e-02
 2.185324e-04 -1.375503e-03  1.201698e-05  2.851628e+02  1.000000e+00  3.020318e+02  1.792107e+01  8.416285e+01  3.002718e+02
3 -5.898122e-02  8.550857e-02  3.770423e-01  1.531093e-01  3.346336e-01  1.080990e+01 6 1 -1.000000e+00
-2.132338e-01  2.051088e-01  1.985154e+00  0.000000e+00  0.000000e+00  2.795674e-01  6.273631e-02  1.065277e-01  4.930623e-03
 3.511269e-02 -7.858988e-02 -6.642995e-01  1.528055e+01  5.000000e-01  6.243707e-01  8.971246e-01  9.173930e-01  1.586317e-01
 4.292240e-04 -7.484519e-04  1.575022e-04  1.837538e+01  1.000000e+00  8.096035e+01  6.589049e+00 -1.059095e+00  7.977422e+01
3 -6.227294e-03  1.114843e+00  4.477828e-01  2.263466e-01  3.513029e-02  1.275920e+01 6 2  2.902027e-01
 3.717978e-01 -8.022303e-02  4.056396e+00  0.000000e+00  0.000000e+00  4.109493e-01 -2.959125e-01  1.135442e-01  9.275012e-03
