# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
5  1.334058e+00  2.065343e+00  3.723862e+00  1.807808e+00  1.000000e+00  1.246260e+01 6 3  2.852343e-01
 1.239496e+00 -1.480878e+00  4.447999e+00  2.294032e+00  0.000000e+00  4.468462e-01  6.558122e-02  2.772328e-01  8.046729e-03
-1.163364e+00 -4.581708e-01 -1.947112e+00  5.729486e+01  5.000000e-01  9.280018e-01 -5.046933e-01 -5.138576e-01  2.620046e-02
 1.544343e+00  6.106202e-01 -3.821327e+00  2.400920e+01  5.000000e-01  7.693761e-01 -3.886421e-01 -4.047640e-01  1.206157e-02
-2.580664e-01  1.928588e+00  4.260836e+00  0.000000e+00  0.000000e+00  4.435757e-01  2.705455e-01  4.144108e-02  4.453120e-03
-2.222196e-03 -5.662091e-04  2.377147e-04  1.025787e+02  1.000000e+00  6.861584e+01 -1.910792e+01 -2.568563e-01  6.350957e+01
3  7.679087e-01 -2.095916e-01  6.069819e-01  2.654716e-01  8.433445e-02  1.757980e+01 6 2  2.780629e-01
 1.396961e-01 -4.660992e-01  3.024905e+00  0.000000e+00  0.000000e+00  3.412395e-01  2.479814e-01  2.046504e-01  4.974082e-03
-4.682203e-02  1.115148e-01 -2.551037e-01  3.022048e+01  5.000000e-01  1.045572e+00  1.378105e+00  1.422280e+00  2.561809e-01
-2.387094e-04  5.685840e-04  9.426746e-06  3.627137e+01  1.000000e+00  3.474961e+02  7.964845e+01  8.737562e+01  3.447107e+02
3  7.348498e-01  7.991396e-01  3.435255e+00  1.613888e+00  6.088350e-01  1.138840e+01 6 1  2.793821e-01
 1.426118e+00 -2.043257e+00  2.867425e+00  0.000000e+00  0.000000e+00  3.674891e-01  1.508793e-01  1.689986e-01  4.505406e-03
-3.206582e-01  9.147402e-01 -1.745789e+00  1.819220e+02  5.000000e-01  7.977944e-01  6.835372e-01  3.827151e-01  5.479303e-02
-2.028565e-03  3.851353e-03  6.241942e-05  2.336231e+02  1.000000e+00  1.317683e+02  1.114895e+01  3.090942e+01  1.278621e+02
3  3.215152e-01  3.742790e-01  1.188207e+00  4.569711e-01  1.455503e-01  1.324540e+01 6 1 -1.000000e+00
 7.530867e-01  7.481176e-01  1.524215e+00  0.000000e+00  0.000000e+00  1.855296e-01  3.414039e-02 -7.823879e-02  1.091879e-02
-7.859825e-02 -1.004901e-01 -2.218501e-01  7.251451e+01  5.000000e-01  2.048347e+00  5.900225e-01 -2.293132e+00  1.541463e+00
-2.098848e-02 -2.634260e-02  1.830631e-02  7.293858e+01  1.000000e+00  9.832225e+00  1.228693e+00 -4.676808e+00  9.100144e+00
3 -2.915973e-01 -8.917824e-02  1.163962e+00  5.889166e-01  3.210238e-01  5.461390e+00 6 1 -1.000000e+00
