# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3  3.314402e+00 -8.069494e-01  5.534267e+00  2.672200e+00  8.371292e-01  1.376880e+01 6 1  2.791135e-01
-3.973705e+00 -2.410354e+00  1.615532e+00  0.000000e+00  0.000000e+00  1.801984e-01 -2.091609e-01 -9.661982e-02  2.835615e-04
 1.171413e+00 -3.717597e-01 -1.352409e+00  1.215728e+03  5.000000e-01  1.085634e+00 -6.198826e-01  6.020796e-01  3.957070e-03
 3.357725e-02  1.389395e-02  2.287655e-03  1.261054e+03  1.000000e+00  2.503545e+01 -8.397071e+00 -8.370378e+00  1.834361e+01
3  3.289849e-01  2.338051e-01  1.271016e+00  5.431221e-01  1.817151e-01  7.707720e+00 6 1 -1.000000e+00
 7.208244e-01  6.409564e-01  2.272492e+00  0.000000e+00  0.000000e+00  2.805782e-01 -8.420372e-02 -2.653901e-01  4.842651e-03
-2.562019e-01 -1.720015e-01 -4.129461e-01  9.201985e+01  5.000000e-01  5.996020e-01 -6.709138e-01 -1.460074e+00  1.188064e-01
-6.587925e-04 -5.099544e-04  7.019217e-06  1.240875e+02  1.000000e+00  3.801561e+02  4.949651e+00 -3.562068e+01  3.785383e+02
3 -2.965430e-02  3.293221e-01  1.073683e+00  4.241570e-01  1.512440e-01  1.152210e+01 6 1 -1.000000e+00
-3.392451e-01  7.197249e-01  2.002602e+00  0.000000e+00  0.000000e+00  2.307457e-01  2.764699e-01  1.263568e-01  1.521021e-02
-8.300392e-03 -3.016814e-01 -3.028814e-01  7.721086e+01  5.000000e-01  6.024511e-01  1.849887e+00 -1.938676e-01  3.125105e-01
 3.098582e-05 -1.279489e-03  1.535732e-05  1.103129e+02  1.000000e+00  2.705979e+02  8.666804e+01 -7.494470e+00  2.697393e+02
3 -3.886737e-02 -1.428074e-01  1.145729e+00  6.130532e-01  5.392828e-01  1.516080e+01 6 3 -1.000000e+00
