# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3  1.032346e-01  6.121474e-01  2.681806e+00  9.377580e-01  3.027542e-01  1.258980e+01 6 1 -1.000000e+00
-5.547042e-03 -6.072495e-01 -7.416943e-01  1.431949e+02  5.000000e-01  1.038971e+00  1.161262e+00  3.540626e-02  4.559815e-01
 6.867584e-01  1.983658e+00  2.449824e+00  0.000000e+00  0.000000e+00  3.511452e-01  1.036695e-01 -4.552487e-02  1.488491e-02
-1.429878e-03 -2.420061e-02  1.909429e-03  1.577739e+02  1.000000e+00  2.679413e+01  1.190043e+01  1.424060e-02  2.554253e+01
3  6.537758e-01 -1.056664e+00  4.714647e+00  2.078473e+00  2.297018e-01  1.849500e+01 6 1 -1.000000e+00
 1.498456e+00 -3.580427e+00  2.227924e+00  0.000000e+00  0.000000e+00  3.291138e-01  1.410325e-02  3.226642e-02  3.229180e-03
-5.819386e-01  6.503952e-01 -5.117581e-01  5.416060e+02  5.000000e-01  8.737194e-01  9.846005e-02  1.400107e+00  2.369757e-01
-7.022734e-03  8.819426e-03  1.380682e-04  6.139456e+02  1.000000e+00  8.867319e+01 -3.114771e+00  2.083486e+01  8.717402e+01
3  1.504676e-01 -5.472780e-01  6.488878e-01  3.265349e-01  5.047084e-02  1.411310e+01 6 2  2.772476e-01
-5.934841e-01 -5.061813e-02  3.056030e+00  0.000000e+00  0.000000e+00  3.986844e-01 -1.576539e-01  9.748733e-02  2.384629e-03
 5.354010e-03 -1.516892e-03  1.244233e-03  3.506840e+01  1.000000e+00  3.736785e+01 -1.965981e+01  1.150671e+01  3.482438e+01
 5.465264e-02 -1.940746e-02 -1.542404e-01  3.458524e+01  5.000000e-01  2.559124e+00 -2.069501e+00  2.152074e+00  1.174127e+00
3 -2.242126e-01  1.203138e-01  8.662690e-01  4.421724e-01  2.389663e-01  8.130660e+00 6 1  2.714126e-01
