# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3  3.979471e-01 -1.384971e+00  1.569741e+00  7.822583e-01  2.337948e-01  1.854970e+01 6 1  2.919133e-01
-2.558930e-01 -1.278732e+00  1.712184e+00  0.000000e+00  0.000000e+00  1.752749e-01  2.903849e-01 -1.086218e-01  1.005388e-02
 2.064947e-02  2.664574e-01 -4.002996e-01  9.712067e+01  5.000000e-01  1.496077e+00  1.590981e+00 -4.615213e-01  6.424852e-01
 2.426450e-04  3.632872e-02  7.554083e-03  9.922086e+01  1.000000e+00  1.518178e+01  8.275679e+00  5.073246e-01  1.279595e+01
1 -1.130120e+01 -5.825423e-01  0.000000e+00  7.355814e+00  0.000000e+00  1.694900e+01 0 2 -1.000000e+00
-1.492707e+01 -1.206793e+00  4.597051e+00  0.000000e+00  0.000000e+00  3.419332e-01 -4.641812e-01 -7.542354e-03  1.696177e-04
3  1.043652e+00  1.294470e-01  2.695748e+00  1.368726e+00  3.366972e-02  1.592010e+01 6 2 -1.000000e+00
 2.105087e+00 -1.163571e+00  3.447435e+00  0.000000e+00  0.000000e+00  3.884342e-01 -2.896570e-01 -6.388060e-03  7.552539e-03
-3.444259e-01 -3.798383e-02 -1.160741e-01  2.864432e+02  5.000000e-01  1.804383e+00 -2.904596e+00 -9.085909e-01  1.028822e+00
-2.173739e-02 -1.282892e-03  7.433063e-04  2.984829e+02  1.000000e+00  4.158030e+01 -1.734245e+01 -8.123083e-01  4.020832e+01
3 -8.296932e-02 -5.176695e-02  4.259886e-01  1.933655e-01  2.374838e-01  1.171680e+01 6 3 -1.000000e+00
-2.557870e-01 -1.447575e-01  4.161597e+00  0.000000e+00  0.000000e+00  3.460340e-01 -2.293029e-01 -3.671502e-01  3.242731e-02
 1.070845e-01  7.838059e-02 -9.883120e-01  1.648329e+01  5.000000e-01  6.540205e-01 -3.869092e-01 -9.908730e-01  2.386774e-01
 2.218549e-03  1.689128e-03  1.677902e-03  2.081998e+01  1.000000e+00  2.563239e+01  1.183945e+00 -3.061075e+00  2.472065e+01
1 -1.158683e-01 -1.011775e-02  0.000000e+00  4.737002e-02  0.000000e+00  7.978200e+00 0 2  2.743307e-01
-6.115900e-02 -1.954325e-02  6.388708e+00  0.000000e+00  0.000000e+00  4.982254e-01 -2.554922e-01 -1.731339e-01  1.816179e-03
1 -3.388406e-02 -1.655993e-02  0.000000e+00  7.789771e-02  0.000000e+00  1.475920e+01 0 2 -1.000000e+00
-1.425602e-01 -2.898635e-02  4.085036e+00  0.000000e+00  0.000000e+00  4.658126e-01 -1.768528e-01 -9.635046e-02  2.191117e-01
3  9.973471e-03 -7.680275e-01  1.591877e+00  6.840008e-01  2.923120e-02  1.632740e+01 6 2 -1.000000e+00
-1.011700e-01 -1.368544e+00  3.419088e+00  0.000000e+00  0.000000e+00  3.404360e-01  3.753328e-01 -4.091743e-02  5.653074e-03
-3.336380e-03  1.155340e-02  3.855902e-04  1.559758e+02  1.000000e+00  5.925518e+01  1.916674e+01  2.080565e+01  5.804885e+01
-4.075182e-02  2.221856e-01 -9.994405e-02  1.486879e+02  5.000000e-01  1.656298e+00  3.178185e+00  5.791922e-01  9.908690e-01
