# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
1  1.790855e+00 -3.186130e+00  0.000000e+00  6.213465e+00  0.000000e+00  1.256000e+01 0 2  2.816929e-01
-1.212401e+01  3.857069e+00  3.532293e+00  0.000000e+00  0.000000e+00  3.600137e-01 -1.343953e-01  3.292691e-01  7.540169e-04
1  8.238555e-01 -8.933293e-01  0.000000e+00  7.394410e-01  0.000000e+00  1.855390e+01 0 2  2.950209e-01
-7.408038e-01 -1.029649e+00  3.097574e+00  0.000000e+00  0.000000e+00  3.031502e-01  2.185203e-01 -3.391390e-01  1.533417e-02
3  1.903810e+00  1.993939e-01  1.654255e+00  7.455334e-01  2.172218e-01  1.318100e+01 6 1  2.893610e-01
-3.544759e-01 -3.859218e-02 -5.523073e-01  1.068200e+02  5.000000e-01  9.942496e-01 -1.344143e+00  6.245281e-02  7.901130e-02
 1.070137e+00  8.022625e-01  2.542596e+00  0.000000e+00  0.000000e+00  3.191017e-01 -2.367469e-01 -1.194763e-01  7.589953e-03
-5.798718e-03 -2.971758e-03  3.401108e-04  1.202678e+02  1.000000e+00  6.157127e+01 -3.463403e+00 -2.677059e+01  5.717623e+01
4 -1.810896e-01 -1.125827e-01  1.694219e+00  6.596020e-01  1.000000e+00  1.534280e+01 6 3 -1.000000e+00
-1.009267e-01 -1.051976e+00  2.663196e+00  0.000000e+00  0.000000e+00  3.405957e-01  2.028691e-01 -1.347941e-01  4.673130e-03
-8.181257e-01 -5.627736e-02 -4.926391e+00  1.730137e+01  5.000000e-01  4.889325e-01 -6.670344e-01 -1.387208e-01  4.902029e-03
 4.550473e-01  2.457128e-01 -6.922907e-01  6.602674e+01  5.000000e-01  7.064216e-01 -8.371321e-01 -9.109763e-01  6.474476e-02
-7.392571e-01  5.173916e-01  5.052279e+00  1.539630e+01  0.000000e+00  3.932845e-01 -2.852476e-01  2.980050e-01  1.748885e-03
1  3.487207e-02  1.399796e-02  0.000000e+00  2.244977e-02  0.000000e+00  1.246950e+01 0 2 -1.000000e+00
 6.881394e-02  9.075008e-03  3.172655e+00  0.000000e+00  0.000000e+00  3.796903e-01 -2.133280e-01 -1.551834e-01  2.680748e-02
3 -7.613310e-02 -2.379604e-01  7.222875e-01  3.272270e-01  1.924056e-01  1.407310e+01 6 1 -1.000000e+00
-4.653825e-02 -6.041930e-01  1.894431e+00  0.000000e+00  0.000000e+00  2.561183e-01  1.037257e-01 -1.214002e-01  6.301618e-03
 4.136556e-02  1.127255e-01 -3.644992e-01  4.773492e+01  5.000000e-01  9.161987e-01  1.117985e+00 -1.224999e+00  3.747768e-01
 1.170269e-03  5.193637e-03  1.238734e-03  5.077500e+01  1.000000e+00  2.986221e+01  5.060464e+00 -3.776306e-01  2.873285e+01
2  6.784849e-01  4.812028e-01  2.391534e+00  1.468103e+00  2.834659e-02  1.254000e+01 6 2 -1.000000e+00
 1.443706e+00  1.501521e+00  6.619464e+00  0.000000e+00  0.000000e+00  4.452259e-01  2.049432e-02 -3.953285e-01  2.208651e-04
-2.696491e-01 -1.669670e-01 -1.876392e-01  8.221872e+02  5.000000e-01  1.385547e+00 -1.156933e+00 -2.034583e+00  4.766995e-02
3 -7.800388e-02  1.011475e-01  1.166374e+00  6.539064e-01  7.787143e-01  1.594630e+01 6 3 -1.000000e+00
 4.227920e-01 -2.837918e-01 -4.744441e+00  1.329621e+01  5.000000e-01  3.204136e-01 -1.817115e-01  7.997447e-01  6.073868e-02
-3.395653e-01  5.989536e-01  3.694564e+00  0.000000e+00  0.000000e+00  2.463610e-01  2.531990e-01  4.829018e-01  2.106375e-02
 7.380889e-04 -6.510803e-04  1.724161e-04  3.263156e+01  1.000000e+00  8.128625e+01 -1.629275e+01 -1.950658e+01  8.022893e+01
2  1.155900e+01 -2.253053e-01  1.076707e+01  5.512550e+00  8.764919e-01  1.440090e+01 6 3  2.790104e-01
 7.826948e+00 -5.484523e-01 -4.187694e+00  7.577182e+02  5.000000e-01  7.234275e-01 -5.586796e-01 -5.625285e-02  1.112473e-04
 4.923004e+00  9.819623e+00  3.670480e+00  0.000000e+00  0.000000e+00  4.594680e-01 -3.766493e-02 -1.353227e-01  3.340473e-05
1 -8.754629e+00  3.459035e+00  0.000000e+00  2.557461e+00  0.000000e+00  1.692630e+01 0 2  2.824749e-01
-6.709714e+00  9.217929e-01  4.830962e+00  0.000000e+00  0.000000e+00  2.901089e-01 -4.300729e-01  3.346410e-01  3.578551e-04
3  3.659825e-01  6.482701e-01  2.375680e+00  1.166065e+00  1.172240e-01  1.179550e+01 6 1 -1.000000e+00
 1.601774e+00  1.288797e+00  2.457335e+00  0.000000e+00  0.000000e+00  3.199496e-01  1.060510e-01 -2.104207e-01  2.468647e-03
-1.602250e-01 -3.046949e-01 -2.880587e-01  4.984663e+02  5.000000e-01  1.182328e+00  1.364053e+00 -1.282232e+00  1.849331e-01
-2.336017e-03 -2.510118e-03  2.578569e-05  5.448508e+02  1.000000e+00  2.175152e+02 -2.308218e+01 -8.697608e+01  2.144921e+02
3  1.265254e-01 -8.281284e-02  7.217709e-01  3.776187e-01  2.631014e-01  1.672990e+01 6 1 -1.000000e+00
 5.462378e-01  3.356285e-02  2.714168e+00  0.000000e+00  0.000000e+00  3.003312e-01 -3.388741e-01  7.914452e-02  5.106797e-02
-1.640332e-01  1.618916e-01 -7.141015e-01  8.596861e+00  5.000000e-01  9.635786e-01  2.322904e-02  1.183701e+00  4.691711e-01
-8.162465e-03  6.230984e-03  6.657298e-03  1.003104e+01  1.000000e+00  1.401680e+01 -4.798266e-01  4.358414e+00  1.284304e+01
3  2.741079e-01  3.061961e-01  1.090636e+00  5.532265e-01  1.444297e-02  1.534290e+01 6 2 -1.000000e+00
 3.394224e-01  8.082977e-01  1.312480e+01  0.000000e+00  0.000000e+00  4.196874e-01  2.729524e-01 -4.313561e-01  4.268766e-02
-1.465799e-01 -1.680669e-01 -1.895610e-01  9.468337e+01  5.000000e-01  1.860983e+00  2.856578e-01 -2.436193e+00  1.214502e+00
-1.232258e-02 -1.438341e-02  2.622480e-03  9.994201e+01  1.000000e+00  2.464334e+01  2.223494e+00 -1.314325e+01  2.351275e+01
3  1.389356e+00  8.780850e-01  1.036482e+00  4.964928e-01  1.163097e-01  1.534660e+01 6 1  2.753259e-01
 7.264331e-01  5.302894e-01  2.687343e+00  0.000000e+00  0.000000e+00  3.414419e-01  1.086090e-02 -2.479234e-01  3.113655e-03
-6.322989e-02 -1.410730e-01 -3.125641e-01  9.316730e+01  5.000000e-01  1.822883e+00  1.319962e+00 -1.460884e+00  4.835008e-01
-4.839530e-03 -1.082279e-02  2.581983e-03  9.583863e+01  1.000000e+00  2.369492e+01  8.245538e+00 -7.731194e+00  2.050386e+01
3 -3.289414e-01  1.896282e-01  1.006578e+00  4.287341e-01  1.090585e-01  7.185310e+00 6 1 -1.000000e+00
-7.560293e-01  3.961717e-01  1.875038e+00  0.000000e+00  0.000000e+00  2.588202e-01 -5.874453e-02  1.121341e-01  8.531043e-03
 1.332853e-01 -7.533597e-02 -2.044888e-01  1.695305e+02  5.000000e-01  1.284529e+00 -1.082107e+00  1.949422e+00  7.143643e-01
 6.344711e-03 -3.388852e-03  6.347096e-04  1.790999e+02  1.000000e+00  4.370195e+01 -9.371449e+00  1.265341e+01  4.252683e+01
3  3.583352e+00  1.831774e+00  2.647719e+00  1.549231e+00  7.324733e-03  1.121070e+01 6 2  2.889857e-01
 1.867844e+00  1.660137e+00  5.945575e+00  0.000000e+00  0.000000e+00  3.806575e-01 -1.408858e-01 -4.422036e-01  5.637369e-04
-1.372262e-01 -6.905607e-02 -4.354975e-02  4.838782e+02  5.000000e-01  4.072791e+00 -3.325809e+00 -4.619879e+00  1.243813e+00
-1.204346e-02 -5.907853e-03  3.057168e-04  4.876142e+02  1.000000e+00  6.471713e+01 -1.850644e+01 -2.112781e+01  5.841494e+01
5 -2.395418e-01  7.538954e-01  2.270505e+00  7.718323e-01  1.000000e+00  1.456860e+01 6 3  2.747559e-01
 2.572877e-01 -6.252407e-01 -2.371628e+00  7.243695e+01  5.000000e-01  7.386777e-01  6.243828e-01  3.163649e-01  6.985789e-02
 8.208538e-01 -3.107471e-01  4.100811e+00  6.745676e+01  0.000000e+00  4.837327e-01 -6.277777e-02  1.368821e-01  2.795005e-02
-1.404575e+00  1.394270e-01  2.233763e+00  0.000000e+00  0.000000e+00  3.240882e-01 -3.196149e-02 -9.033307e-02  8.163714e-03
 2.540045e-01  4.572734e-01 -1.221095e+00  8.540550e+01  5.000000e-01  8.429455e-01  6.113508e-01 -6.854584e-01  1.661069e-01
 7.277731e-03  2.947465e-03  2.608097e-03  1.051569e+02  1.000000e+00  2.095731e+01 -1.207452e+00 -3.662665e+00  1.878909e+01
3  3.990326e-01  5.802716e-01  2.549156e+00  7.656109e-01  2.344387e-01  1.611590e+01 6 1  2.773555e-01
-1.197910e+00  1.893595e+00  1.289043e+00  0.000000e+00  0.000000e+00  1.041478e-01 -6.056267e-02 -1.520323e-01  9.778550e-04
 1.885619e-01 -2.455384e-01 -3.022015e-01  3.462177e+02  5.000000e-01  9.421893e-01  3.275089e-01  1.790288e+00  2.668749e-01
 1.322012e-03 -2.049577e-03  1.199787e-05  3.749949e+02  1.000000e+00  3.041696e+02  4.216667e+01  8.237494e+01  3.011745e+02
1 -8.377215e-01  2.595399e+00  0.000000e+00  3.384480e+00  0.000000e+00  9.323940e+00 0 2 -1.000000e+00
-3.900795e-01  8.014077e+00  3.608575e+00  0.000000e+00  0.000000e+00  4.390339e-01  1.937254e-01 -5.973299e-03  4.311626e-04
2  1.198370e+00  7.031699e-01  7.771635e+00  5.207873e+00  3.531414e-01  1.594050e+01 6 3 -1.000000e+00
 5.929875e+00  3.016640e+00  3.761373e+00  0.000000e+00  0.000000e+00  4.570085e-01  5.377301e-02 -1.615173e-01  4.066208e-04
-1.063241e+00 -3.737341e-01 -1.328297e+00  1.234005e+03  5.000000e-01  1.546184e+00 -8.499055e-01 -5.734298e-01  6.734461e-02
3 -4.287658e-01  3.862875e-01  1.671504e+00  7.046225e-01  1.497921e-01  1.477270e+01 6 1 -1.000000e+00
-7.883073e-01  1.137477e+00  1.644311e+00  0.000000e+00  0.000000e+00  2.110016e-01 -7.517354e-02  9.332665e-02  2.119267e-03
 2.471359e-01 -1.746903e-01 -2.463047e-01  1.421728e+02  5.000000e-01  7.336113e-01 -7.722959e-01  1.880036e+00  2.022037e-01
 8.020230e-04 -5.940743e-04  3.951328e-06  1.734938e+02  1.000000e+00  5.182429e+02 -6.910154e+01  9.841605e+01  5.162925e+02
3  1.303321e-02 -1.550760e-01  4.812812e-01  2.006051e-01  2.789112e-01  1.778680e+01 6 1 -1.000000e+00
-1.094157e-01 -3.967252e-01  1.753034e+00  0.000000e+00  0.000000e+00  2.259951e-01  9.490668e-02  1.401317e-01  1.226495e-02
-1.779626e-03  7.236546e-02 -4.889409e-01  1.534840e+01  5.000000e-01  9.933203e-01  1.319500e+00  5.515438e-01  5.651621e-01
 1.536359e-03  8.729608e-03  9.961104e-03  1.577751e+01  1.000000e+00  1.178343e+01  3.014508e+00 -2.608579e+00  1.108972e+01
1 -1.745252e-02 -3.551081e-02  0.000000e+00  7.795168e-02  0.000000e+00  2.513660e+00 0 2 -1.000000e+00
-1.886986e-02 -1.225924e-01  3.623906e+00  0.000000e+00  0.000000e+00  3.711391e-01  3.219811e-01 -1.258920e-01  2.055539e-01
1  8.894946e+00 -8.687231e+00  0.000000e+00  3.502465e+00  0.000000e+00  1.092560e+01 0 2  2.796491e-01
 6.737582e+00 -4.279669e+00  3.494452e+00  0.000000e+00  0.000000e+00  3.350159e-01 -2.362335e-02  3.943068e-01  8.635614e-05
3 -7.170176e-01 -2.729562e+00  1.997643e+00  9.812319e-01  5.285380e-01  1.409780e+01 6 3  2.942788e-01
-1.560728e-01 -1.336527e+00  3.109265e+00  0.000000e+00  0.000000e+00  3.178709e-01  3.757946e-01 -4.958961e-02  5.155841e-03
 1.888889e-01  6.311062e-01 -1.643365e+00  9.299026e+01  5.000000e-01  7.256925e-01  6.947758e-01 -4.483736e-01  3.635923e-02
 2.701788e-04  2.061713e-03  4.014234e-05  1.295112e+02  1.000000e+00  1.641365e+02  4.079967e+01 -6.126960e+00  1.571982e+02
3 -3.113863e-01 -6.850926e-01  2.040495e+00  9.927728e-01  1.211524e-01  9.348360e+00 6 1 -1.000000e+00
-6.714514e-01 -1.572514e+00  2.002711e+00  0.000000e+00  0.000000e+00  2.757101e-01  1.149634e-01 -1.098003e-01  2.425458e-03
 1.988938e-03  3.337543e-03  5.652634e-05  3.965634e+02  1.000000e+00  1.354364e+02 -3.911374e+00 -1.915663e+01  1.337871e+02
 1.550074e-01  2.931193e-01 -2.426333e-01  3.547405e+02  5.000000e-01  8.675009e-01  1.214833e+00 -1.631926e+00  2.416283e-01
3 -6.312715e-02 -4.820826e-02  1.904252e-01  7.672266e-02  6.161132e-02  1.475340e+01 6 2 -1.000000e+00
-8.675377e-02 -1.507281e-01  3.247916e+00  0.000000e+00  0.000000e+00  3.788991e-01 -7.338027e-02 -2.692433e-01  8.108851e-03
 4.104633e-03  3.543555e-03  2.581412e-02  4.394709e+00  1.000000e+00  8.224342e+00 -4.772679e-01 -3.636598e+00  7.251267e+00
 1.361864e-02  1.109626e-02 -2.001084e-01  4.378023e+00  5.000000e-01  2.198364e+00 -7.007961e-01 -2.437674e+00  1.438786e+00
3  1.280457e-02 -4.021452e-02  2.199727e-01  1.235101e-01  3.896880e-01  1.553900e+01 6 1 -1.000000e+00
-1.623430e-02 -1.546495e-01  1.925825e+00  0.000000e+00  0.000000e+00  2.233558e-01  2.875391e-01  3.520771e-02  1.909488e-02
-4.918147e-02  6.284172e-02 -7.504709e-01  4.132649e+00  5.000000e-01  4.436315e-01  2.563464e-01  1.255519e+00  1.717956e-01
-8.964994e-05  1.987240e-04  3.845429e-05  7.182549e+00  1.000000e+00  1.643549e+02  1.269433e+00  2.604415e+01  1.636591e+02
3 -1.410829e+00  1.419949e-02  7.489376e+00  3.277690e+00  5.531291e-01  1.025030e+01 6 3 -1.000000e+00
-5.944856e+00 -1.337841e-01  3.791538e+00  0.000000e+00  0.000000e+00  4.593926e-01 -1.582279e-01 -5.894999e-02  6.159350e-03
 1.542799e+00 -2.943540e-01 -2.097210e+00  6.938438e+02  5.000000e-01  1.065708e+00 -6.415148e-01  2.638187e-01  1.926742e-01
 1.187427e-01 -1.455328e-02  1.780149e-02  7.260784e+02  1.000000e+00  9.039427e+00 -2.630814e+00  1.239411e+00  7.366427e+00
2  6.121285e-01  6.428149e-02  2.330319e+00  7.398694e-01  2.999514e-01  1.545680e+01 6 1 -1.000000e+00
-4.599284e-01 -1.624640e-03 -6.013817e-01  3.129027e+02  5.000000e-01  6.451666e-01 -1.329780e+00  1.429277e-01  3.407268e-02
 1.784618e+00  6.247905e-01  2.004930e+00  0.000000e+00  0.000000e+00  2.835359e-01 -9.477287e-02  7.462253e-02  5.605397e-04
2 -1.364631e+00 -2.783422e-01  4.499515e+00  3.033203e+00  1.312995e-02  1.931150e+01 6 2 -1.000000e+00
-3.897752e+00 -1.733930e+00  3.234809e+00  0.000000e+00  0.000000e+00  4.128940e-01 -1.115735e-01 -1.520117e-01  3.141623e-04
 2.398089e-01  3.418169e-02 -4.247288e-02  1.695767e+03  5.000000e-01  3.724120e+00 -5.346833e+00 -1.541634e+00  1.507831e+00
3  2.698988e-01  5.139568e-01  1.410173e+00  6.930680e-01  1.400165e-01  1.713780e+01 6 1 -1.000000e+00
 3.536046e-01  1.032558e+00  1.630907e+00  0.000000e+00  0.000000e+00  1.505080e-01  2.115500e-01 -2.524434e-01  2.262166e-02
-1.762318e-01 -2.742937e-01 -2.283540e-01  3.582332e+01  5.000000e-01  7.523944e-01  9.041130e-01 -1.903432e+00  5.527393e-01
-3.984164e-03 -6.369166e-03  2.773766e-04  4.148509e+01  1.000000e+00  6.314726e+01  3.872532e+00 -1.555889e+01  6.271425e+01
2  1.034143e+00 -2.175880e+00  1.649977e+00  8.295113e-01  3.130431e-01  1.319620e+01 6 1  2.882167e-01
-4.481595e-01 -1.219761e-01 -7.916179e-01  1.100177e+02  5.000000e-01  8.854006e-01 -9.798105e-01 -5.624411e-01  4.616863e-02
 1.197202e+00  1.357775e-03  2.528782e+00  0.000000e+00  0.000000e+00  2.942895e-01 -3.104418e-01  7.877843e-02  2.464841e-03
3 -4.716124e-01  1.261463e-01  9.194465e-01  4.932781e-01  2.068408e-02  1.246950e+01 6 2 -1.000000e+00
-6.935562e-01  2.053466e-01  3.856676e+00  0.000000e+00  0.000000e+00  2.522155e-01 -4.825268e-01  2.589574e-01  1.333872e-02
 1.877372e-01 -5.676764e-02 -7.977180e-02  1.358090e+02  5.000000e-01  8.818120e-01 -3.018701e+00  1.853961e+00  5.112935e-01
 7.596779e-04 -2.595271e-04  2.686334e-06  1.756356e+02  1.000000e+00  6.519301e+02 -1.609721e+02  1.598231e+02  6.509968e+02
3 -4.574974e-01 -1.906029e-01  1.903850e+00  8.956442e-01  1.120752e-01  1.801280e+01 6 1 -1.000000e+00
-1.622289e+00  3.285886e-01  2.413323e+00  0.000000e+00  0.000000e+00  3.276038e-01 -1.919927e-01  2.981871e-02  1.154517e-03
 2.772179e-01  2.000600e-01 -2.704737e-01  3.767688e+02  5.000000e-01  1.476399e+00 -5.332624e-01 -1.907827e+00  2.270516e-01
 2.255772e-03  1.367713e-03  3.460326e-05  4.240841e+02  1.000000e+00  1.823731e+02 -1.255684e+01 -6.196385e+01  1.788019e+02
3  7.495731e-02  3.894632e-01  8.260677e-01  7.168189e-01  4.468248e-02  1.370670e+01 6 2 -1.000000e+00
 2.433767e-01  6.311761e-01  5.860422e+00  0.000000e+00  0.000000e+00  2.859917e-01  5.137189e-01 -2.743439e-01  1.178561e-02
-3.340237e-02 -1.471434e-01 -2.618582e-01  3.813305e+01  5.000000e-01  9.673182e-01  1.812177e+00 -7.320818e-01  4.615175e-01
-3.394397e-03 -1.225763e-02  4.983021e-03  3.985997e+01  1.000000e+00  1.520050e+01 -4.030080e-01 -9.001536e-01  1.429741e+01
5 -3.362870e-02 -1.474009e-02  3.990904e-01  2.476929e-01  1.000000e+00  1.746370e+01 6 3 -1.000000e+00
 1.560365e-01  6.343952e-02 -1.507980e+00  2.295990e+00  5.000000e-01  6.948496e-01 -5.901610e-01 -6.387219e-01  3.019817e-01
-2.353923e-01  2.054624e-02  1.200188e+01  0.000000e+00  0.000000e+00  4.474547e-01 -4.609821e-01  9.737362e-02  8.598123e-02
-1.754984e-01 -1.478650e-01  4.391218e+01  3.250453e-02  0.000000e+00  4.309614e-01 -1.561856e-02 -5.484416e-01  1.061945e-01
