# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3 -1.786775e-01 -6.204732e-01  1.318105e+00  7.046655e-01  1.259437e-01  1.032800e+01 6 1 -1.000000e+00
-5.021973e-01 -9.676466e-01  1.806185e+00  0.000000e+00  0.000000e+00  1.583110e-01  3.079168e-01 -2.448964e-01  1.715382e-02
 3.019251e-02  2.381564e-01 -2.274775e-01  5.476251e+01  5.000000e-01  9.938066e-01  1.967544e+00 -7.244628e-01  7.607608e-01
 2.480778e-03  2.182368e-02  3.898172e-03  5.718046e+01  1.000000e+00  1.746011e+01  3.582984e+00  1.251767e+00  1.708169e+01
1  2.167016e-01  4.461382e-01  0.000000e+00  1.618645e-01  0.000000e+00  1.192580e+01 0 2  2.929232e-01
-3.029705e-02 -3.182021e-01  3.178626e+00  0.000000e+00  0.000000e+00  3.435948e-01  3.402699e-01 -2.197362e-02  3.660687e-03
2  4.007468e-01 -3.926340e-01  1.639159e+00  5.797142e-01  1.411462e-01  1.326410e+01 6 1 -1.000000e+00
 1.226678e+00 -6.545156e-01  1.699578e+00  0.000000e+00  0.000000e+00  2.209913e-01  7.917682e-02  1.104728e-01  7.518592e-04
-1.647821e-01  2.119038e-01 -2.398890e-01  2.255805e+02  5.000000e-01  6.733214e-01  6.790030e-01  1.953015e+00  9.089460e-02
3 -3.151661e-01  7.932088e-01  4.081943e+00  2.231215e+00  8.269728e-01  1.643130e+01 6 3 -1.000000e+00
-1.585885e+00  3.102129e+00  2.589081e+00  0.000000e+00  0.000000e+00  3.588502e-01  1.343966e-01  8.229944e-02  2.318345e-04
 2.435939e-01 -5.468797e-01 -3.130793e+00  1.685580e+03  5.000000e-01  1.316349e+00  4.582374e-01  4.577149e-01  3.490040e-02
