# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3  5.793202e-01  8.009860e-01  7.095444e-01  2.745849e-01  1.864203e-01  3.449250e+00 6 1  2.848495e-01
 9.068038e-03 -1.192977e-01 -4.694317e-01  3.928886e+01  5.000000e-01  1.627144e+00  1.560593e+00  2.968053e-01  5.996081e-01
 8.844577e-02  5.857926e-01  2.518136e+00  0.000000e+00  0.000000e+00  3.434510e-01  1.683564e-01 -7.479017e-02  1.105420e-02
 5.406664e-04 -1.353599e-02  8.700482e-03  4.034573e+01  1.000000e+00  1.373862e+01  6.819403e+00  9.121743e-01  1.163328e+01
3 -1.496594e-02  6.086099e-02  1.947916e-01  7.954658e-02  7.481741e-01  8.862510e+00 6 3 -1.000000e+00
-1.115107e-01  8.218419e-02  5.323415e+00  1.735056e-02  0.000000e+00  3.878313e-01  1.004337e-01  4.204928e-01  5.107150e-02
-2.446619e-02  1.261872e-01 -7.115209e+00  7.008283e-02  5.000000e-01  4.857623e-01  5.546230e-01  3.120540e-01  1.205590e-01
 7.776692e-02  1.282029e-01  4.415586e+00  0.000000e+00  0.000000e+00  4.009310e-01  3.314127e-01 -1.502624e-01  9.191110e-02
3  3.167287e-01  1.038162e-01  8.463621e-01  3.824056e-01  5.296776e-02  1.319740e+01 6 2 -1.000000e+00
 5.470745e-01  3.589163e-01  3.629408e+00  0.000000e+00  0.000000e+00  3.060859e-01 -3.224465e-01 -3.194026e-01  2.049692e-02
-1.808419e-01 -7.290142e-02 -1.922416e-01  5.364152e+01  5.000000e-01  8.631748e-01 -1.841568e+00 -1.352456e+00  4.148090e-01
-2.005122e-03 -1.068288e-03  5.822376e-05  6.519702e+01  1.000000e+00  1.408503e+02 -1.298762e+01 -4.705644e+01  1.397420e+02
3  1.229245e+00 -7.421818e-01  3.388683e+00  1.417718e+00  9.519166e-03  1.403440e+01 6 2 -1.000000e+00
 2.944899e+00 -1.333365e+00  4.169199e+00  0.000000e+00  0.000000e+00  4.593670e-01 -1.088920e-01  2.014257e-01  1.273254e-03
-3.063052e-02  2.452172e-02  2.645749e-03  9.710760e+02  1.000000e+00  2.569322e+01 -2.804091e+00  1.496421e+01  2.389863e+01
-1.281432e-01  9.477425e-02 -3.968730e-02  9.684291e+02  5.000000e-01  4.597403e+00 -2.367077e+00  5.703966e+00  3.236266e+00
3 -2.028948e-01 -1.655656e-01  2.854459e-01  1.429379e-01  9.143270e-02  1.367110e+01 6 2  2.747786e-01
 6.769461e-02 -2.245856e-01  3.097089e+00  0.000000e+00  0.000000e+00  3.369500e-01  2.118659e-01  2.680753e-01  3.304851e-03
-2.007219e-02  4.703243e-02 -2.831752e-01  7.970051e+00  5.000000e-01  9.204549e-01  1.225497e+00  1.426838e+00  2.075549e-01
-2.875812e-04  7.853783e-04  1.639323e-04  8.846120e+00  1.000000e+00  7.937654e+01  6.060263e+00 -2.464830e+00  7.753043e+01
3  9.747686e-02  1.615189e-01  6.876183e-01  2.392797e-01  4.192541e-01  1.405960e+01 6 1 -1.000000e+00
-8.810925e-02 -1.547243e-01 -8.040981e-01  3.751690e+01  5.000000e-01  4.378801e-01  4.823562e-01 -1.151929e+00  5.750269e-02
 2.179253e-01  4.610368e-01  1.917925e+00  0.000000e+00  0.000000e+00  2.600784e-01  5.142057e-02 -1.531115e-01  3.078149e-03
-1.150803e-04 -4.988505e-04  1.683514e-05  5.219120e+01  1.000000e+00  2.574958e+02  4.018957e+01  6.910382e+01  2.564108e+02
5  6.705661e-03  2.410109e-01  8.972542e-01  3.681135e-01  1.000000e+00  8.887210e+00 6 3 -1.000000e+00
-4.467931e-01  5.364458e-01  4.473211e+00  0.000000e+00  0.000000e+00  4.111786e-01  2.145091e-01  2.777470e-01  3.666886e-03
-1.977208e-02 -2.526791e-01 -3.029779e-01  9.518072e+01  5.000000e-01  1.044722e+00  1.807227e+00 -1.910516e-01  3.144055e-01
 3.523463e-01  5.351242e-01  1.564824e+01  5.740320e+00  0.000000e+00  4.372440e-01  3.027643e-01 -4.014015e-01  1.686106e-02
 2.197639e-01  5.879962e-01 -1.650263e+01  5.826979e+00  5.000000e-01  4.770012e-01  4.787761e-01 -3.238790e-01  2.796052e-02
-1.547742e-04 -1.129801e-03  1.554954e-05  1.316070e+02  1.000000e+00  2.930632e+02  1.345853e+02 -5.363843e+01  2.907052e+02
3  8.379155e-01  1.982104e-01  3.566607e+00  1.710981e+00  9.056490e-02  1.148990e+01 6 2 -1.000000e+00
-7.584987e-01 -3.226701e-01 -5.602364e-01  4.476449e+02  5.000000e-01  1.071096e+00 -1.022873e+00 -8.624068e-01  8.360944e-02
 2.804311e+00 -4.872173e-01  6.186021e+00  0.000000e+00  0.000000e+00  4.893473e-01 -3.063139e-01  7.268565e-02  1.227823e-03
-3.861610e-03 -2.534314e-03  4.127897e-05  5.431204e+02  1.000000e+00  1.697003e+02  1.742949e+01 -6.269447e+01  1.669185e+02
1  4.593814e-01 -2.704792e-01  0.000000e+00  4.903044e-01  0.000000e+00  1.611900e+01 0 2 -1.000000e+00
 7.999571e-01 -1.591059e-01  4.631490e+00  0.000000e+00  0.000000e+00  3.237333e-01 -3.708688e-01  3.223038e-01  1.809563e-02
3  1.563472e-02  6.209374e-02  7.458617e-01  3.893295e-01  2.816953e-01  1.591290e+01 6 3 -1.000000e+00
-1.424925e-01 -3.276019e-01 -1.572527e+00  9.609182e+00  5.000000e-01  3.145498e-01  7.673997e-01 -7.189289e-01  1.247763e-01
-1.229100e-01  4.180027e-01  5.582370e+00  0.000000e+00  0.000000e+00  1.975943e-01  5.780616e-01  3.613370e-01  3.533643e-02
-6.669805e-05 -1.591801e-04  7.010367e-06  3.957597e+01  1.000000e+00  3.926693e+02  3.392192e+01 -9.802183e+01  3.920054e+02
3 -2.641948e-01 -1.085185e+00  2.547163e+00  1.029580e+00  1.004133e-01  1.386950e+01 6 1  2.734715e-01
-1.649484e+00 -1.680073e+00  1.564070e+00  0.000000e+00  0.000000e+00  1.815795e-01 -1.278169e-01 -1.188162e-01  6.703737e-04
 1.764080e-02  1.166966e-02  2.027582e-03  5.358282e+02  1.000000e+00  2.414343e+01 -2.514631e+00 -6.008058e+00  2.060830e+01
 1.682112e-01  1.043096e-01 -1.570533e-01  5.311473e+02  5.000000e-01  2.058274e+00 -1.321925e+00 -2.395772e+00  5.194249e-01
2  4.061109e-01  1.599548e-01  1.203123e+00  5.348974e-01  1.306942e-01  8.860490e+00 6 1 -1.000000e+00
 8.739987e-01  4.120628e-01  1.741480e+00  0.000000e+00  0.000000e+00  2.335644e-01 -7.947670e-02 -8.296282e-02  2.355004e-03
-2.269557e-01 -7.312170e-02 -2.276014e-01  1.178970e+02  5.000000e-01  5.853276e-01 -1.733782e+00 -1.248839e+00  1.482796e-01
3 -8.133722e-01 -1.190079e-01  2.111800e+00  7.870087e-01  1.180429e-01  3.507930e+00 6 1 -1.000000e+00
-1.775477e+00 -3.314878e-01  1.750662e+00  0.000000e+00  0.000000e+00  2.272040e-01 -1.424426e-01 -7.557362e-02  2.496349e-03
 5.364254e-03  7.388915e-04  9.018056e-05  2.607748e+02  1.000000e+00  1.079028e+02 -1.793129e+01 -4.220988e+00  1.059446e+02
 3.053558e-01  2.883326e-02 -2.066533e-01  2.411721e+02  5.000000e-01  1.035416e+00 -2.169745e+00 -3.639835e-01  3.324748e-01
5 -9.260032e-02  6.253201e-02  2.139231e+00  9.085929e-01  1.000000e+00  1.775430e+01 6 3 -1.000000e+00
 3.394819e-01 -9.004678e-01  3.855027e+00  3.683207e+01  0.000000e+00  4.008116e-01  2.700693e-01  1.633639e-01  1.446590e-02
-5.038180e-01 -6.145827e-01 -2.488991e+00  4.476812e+01  5.000000e-01  5.256543e-01  4.293101e-02 -7.905251e-01  2.899183e-02
 6.964731e-01  1.774035e-01 -1.566665e+00  5.666589e+01  5.000000e-01  5.720615e-01 -7.475480e-01 -5.124469e-01  3.761524e-02
-6.888180e-01  9.754079e-01  2.469376e+00  0.000000e+00  0.000000e+00  3.345187e-01  3.961683e-02  1.906181e-01  7.668270e-03
 1.656720e-04 -1.075720e-04  4.030282e-06  1.483586e+02  1.000000e+00  5.007415e+02 -2.358332e+01  3.261609e+01  4.973441e+02
3  4.605475e-01 -4.716295e-01  2.192814e+00  1.123797e+00  2.580473e-01  1.755670e+01 6 1  2.692222e-01
 4.508362e-01 -2.192972e-01 -6.120532e-01  5.556437e+02  5.000000e-01  1.079976e+00 -8.131080e-01  9.894931e-01  2.598139e-03
-1.420341e+00  9.240001e-01  2.371864e+00  0.000000e+00  0.000000e+00  2.123534e-01 -2.370974e-01  3.775748e-01  7.369243e-05
 4.561937e-03 -2.425721e-03  3.031570e-04  5.952860e+02  1.000000e+00  5.863803e+01  3.512488e+00 -3.344143e+00  4.371617e+01
1  1.031774e+00 -1.341002e+00  0.000000e+00  2.037892e+00  0.000000e+00  1.594360e+01 0 2 -1.000000e+00
 2.082959e+00 -2.453154e+00  9.487202e+00  0.000000e+00  0.000000e+00  3.421963e-01  7.134607e-02  5.676357e-01  3.558103e-04
5 -1.211694e-01  2.095672e-02  1.390527e+00  5.428741e-01  1.000000e+00  1.715620e+01 6 3 -1.000000e+00
-7.801724e-01 -3.116159e-01  2.327449e+00  0.000000e+00  0.000000e+00  3.186682e-01 -1.732097e-01 -6.750203e-02  1.215988e-01
 2.863895e-01 -2.544057e-01 -1.509673e+00  5.414797e+00  5.000000e-01  9.034639e-01 -1.930139e-02  8.193544e-01  5.755400e-01
-7.127734e-03  5.608996e-01 -4.951923e+00  3.554741e+00  5.000000e-01  6.093873e-01  5.715755e-01  1.667976e-01  3.378368e-01
 3.270962e-01  5.295268e-01  6.010013e+00  3.449549e+00  0.000000e+00  4.747576e-01  2.367648e-01 -2.311558e-01  2.412703e-01
 1.928775e-02 -5.978978e-03  4.532599e-02  6.337951e+00  1.000000e+00  5.832768e+00 -4.739598e-01  1.033737e+00  5.211719e+00
1  4.737308e-01 -4.462836e-01  0.000000e+00  1.128867e+00  0.000000e+00  9.349530e+00 0 2 -1.000000e+00
 1.410038e+00 -1.392944e+00  5.241331e+00  0.000000e+00  0.000000e+00  4.860160e-01  1.359514e-02  2.705614e-01  1.371709e-02
3 -2.746300e-01 -1.795829e-01  6.900064e-01  2.371610e-01  2.232981e-02  1.271440e+01 6 2 -1.000000e+00
-3.182678e-01 -4.708377e-01  3.152565e+00  0.000000e+00  0.000000e+00  3.143265e-01 -5.579541e-02 -3.870827e-01  2.445417e-02
 1.053181e-03  1.020196e-03  1.191812e-05  7.676903e+01  1.000000e+00  3.700666e+02  1.844072e+01 -2.279566e+02  3.688783e+02
 9.868609e-02  7.894256e-02 -7.039616e-02  6.552557e+01  5.000000e-01  1.579016e+00 -1.437407e+00 -3.531918e+00  1.064412e+00
1 -3.957776e-02  2.246386e-02  0.000000e+00  8.075732e-02  0.000000e+00  5.440690e+00 0 2  2.716304e-01
 5.641862e-02 -1.565543e-01  3.456191e+00  0.000000e+00  0.000000e+00  3.572631e-01  1.922899e-01  2.946175e-01  3.527245e-03
1 -2.541333e+00 -6.215611e+00  0.000000e+00  7.627384e+00  0.000000e+00  1.411330e+01 0 2 -1.000000e+00
-1.689789e+01 -1.378499e+01  3.474221e+00  0.000000e+00  0.000000e+00  4.517315e-01  5.778828e-02 -9.708009e-02  3.618657e-04
3  1.905327e-01  4.294693e-01  1.544471e+00  4.680799e-01  2.730455e-01  8.887210e+00 6 1 -1.000000e+00
 4.205783e-01  1.129993e+00  1.690609e+00  0.000000e+00  0.000000e+00  2.232042e-01  2.946332e-02 -1.050756e-01  1.589987e-02
-8.873836e-02 -3.280839e-01 -4.616132e-01  1.065525e+02  5.000000e-01  8.497434e-01  1.143635e+00 -9.386110e-01  4.866574e-01
-1.752593e-03 -8.921537e-03  4.581907e-04  1.206125e+02  1.000000e+00  5.334137e+01  2.342998e+01 -2.856103e+00  5.251701e+01
3 -6.156729e-02  2.368365e-01  1.186893e+00  5.016393e-01  4.475821e-01  1.778870e+01 6 1 -1.000000e+00
 1.896056e-01 -3.537597e-01 -8.349330e-01  4.500692e+01  5.000000e-01  4.472102e-01  5.668112e-01  1.087199e+00  1.414239e-01
-7.095871e-03  8.167201e-01  1.865430e+00  0.000000e+00  0.000000e+00  2.236118e-01  2.514292e-01  5.909695e-02  1.447522e-02
 1.739045e-04 -5.166374e-04  4.909820e-06  8.122488e+01  1.000000e+00  4.712619e+02  8.938282e+01  9.738349e+01  4.700340e+02
3  3.835727e-02  1.398399e-01  5.451935e-01  1.607353e-01  1.593071e-01  1.692560e+01 6 1 -1.000000e+00
-4.215888e-03 -1.248761e-01 -2.712049e-01  1.857510e+01  5.000000e-01  1.269825e+00  1.935903e+00  1.110518e-01  8.862761e-01
 2.723209e-01  3.449785e-01  1.702403e+00  0.000000e+00  0.000000e+00  2.297210e-01  7.649409e-02 -8.567487e-03  1.282278e-02
-5.477923e-04 -3.846380e-03  6.155391e-04  2.102451e+01  1.000000e+00  4.918206e+01  2.597376e+01 -4.720406e+00  4.839934e+01
3 -8.677117e-02 -9.641067e-02  1.678802e+00  5.849954e-01  8.904111e-01  9.883760e+00 6 3 -1.000000e+00
-6.892665e-01 -7.594746e-01  3.155483e+00  0.000000e+00  0.000000e+00  3.493313e-01 -4.182641e-02 -3.235917e-01  1.769348e-02
-2.809227e-02  7.836472e-01 -2.809677e+00  2.442602e+01  5.000000e-01  5.960006e-01  7.155345e-01  8.449044e-02  2.244341e-01
 4.568964e-04  1.396239e-03  1.372721e-04  6.024773e+01  1.000000e+00  9.641784e+01  4.259197e+01  2.385075e+00  9.486370e+01
1 -1.556444e+00 -3.500879e-01  0.000000e+00  1.498195e+00  0.000000e+00  1.388410e+01 0 2 -1.000000e+00
-2.850682e+00 -9.912458e-01  3.062891e+00  0.000000e+00  0.000000e+00  3.213528e-01 -3.296449e-01 -1.593967e-01  2.652524e-03
3 -1.775506e-01  1.622118e-01  9.935347e-01  4.224864e-01  3.784039e-01  1.594760e+01 6 1 -1.000000e+00
 1.600463e-01 -2.306307e-01 -6.420506e-01  5.211910e+01  5.000000e-01  5.024187e-01  6.700159e-01  1.164549e+00  1.658792e-01
-6.481553e-01  3.472286e-01  1.696734e+00  0.000000e+00  0.000000e+00  2.222231e-01 -1.041149e-02  1.243415e-01  1.179406e-02
 6.080381e-04 -5.447961e-04  1.334088e-05  7.669557e+01  1.000000e+00  2.832291e+02 -9.427704e+00  6.787328e+01  2.822220e+02
1 -1.316994e+00  6.699248e-01  0.000000e+00  4.964526e-01  0.000000e+00  1.854730e+01 0 2 -1.000000e+00
-1.180922e+00  8.104045e-01  3.487211e+00  0.000000e+00  0.000000e+00  2.457318e-01 -2.665059e-01  4.594921e-01  1.574837e-03
3  6.920482e-02 -1.008010e+00  2.339762e+00  9.768485e-01  1.253449e-01  9.768680e+00 6 1 -1.000000e+00
 3.913312e-01 -1.848801e+00  1.443555e+00  0.000000e+00  0.000000e+00  1.439263e-01  2.003155e-01  1.338264e-03  1.187439e-02
-9.482376e-04  7.693720e-03  9.488214e-05  1.271222e+02  1.000000e+00  1.070272e+02  2.443512e+01  1.026149e+01  1.064216e+02
-2.507068e-02  4.536101e-01 -1.809423e-01  1.111712e+02  5.000000e-01  7.559900e-01  2.361933e+00  8.623240e-02  5.051754e-01
3  1.174007e-01 -5.850874e-01  1.528739e+00  7.212491e-01  1.208019e-01  1.178910e+01 6 1 -1.000000e+00
 4.041550e-01 -1.162197e+00  2.367723e+00  0.000000e+00  0.000000e+00  2.659025e-01  2.936504e-01  1.741315e-01  2.705557e-02
-3.114339e-02  3.032581e-01 -2.860255e-01  5.973225e+01  5.000000e-01  1.189582e+00  1.821727e+00  4.620000e-01  8.078296e-01
-2.557212e-03  2.517531e-02  3.847198e-03  6.300619e+01  1.000000e+00  1.825199e+01  6.134960e+00  2.529495e-01  1.761302e+01
3  2.777303e-01 -3.904976e-01  7.093906e-01  3.814883e-01  2.755366e-01  1.713790e+01 6 3  2.891835e-01
-3.858338e-01 -3.376424e-01  3.262953e+00  0.000000e+00  0.000000e+00  3.518484e-01  5.085683e-02 -3.332315e-01  2.181671e-02
 7.385859e-02  2.026520e-01 -8.990630e-01  1.114720e+01  5.000000e-01  8.067316e-01  9.417968e-01 -5.124846e-01  9.082798e-02
 1.320345e-03  1.661539e-03  2.806175e-04  1.459762e+01  1.000000e+00  6.551476e+01 -5.592879e+00 -2.381816e+01  6.238808e+01
3 -1.408061e+00  3.216925e-01  1.095918e+00  5.974725e-01  2.746803e-01  1.671930e+01 6 1  2.945095e-01
 8.102207e-01 -5.892693e-01  1.666698e+00  0.000000e+00  0.000000e+00  2.220237e-01 -5.493949e-02  4.732790e-02  1.005310e-03
-1.154661e-01 -2.634371e-03 -4.578090e-01  6.062696e+01  5.000000e-01  2.707210e+00 -2.247731e+00 -2.158461e-01  4.926368e-01
-3.601215e-02 -2.025044e-04  5.871106e-02  6.076814e+01  1.000000e+00  7.308861e+00 -4.765666e+00 -2.399742e-01  3.533431e+00
3  1.264233e-02 -1.374508e-01  4.566309e-01  2.623854e-01  3.795633e-01  1.386050e+01 6 1 -1.000000e+00
 6.441812e-02 -3.346168e-01  2.120698e+00  0.000000e+00  0.000000e+00  2.510665e-01  2.850736e-01  8.995334e-02  8.614018e-03
 1.836889e-02  1.196862e-01 -8.049394e-01  1.850387e+01  5.000000e-01  5.278298e-01  1.202924e+00 -1.350814e-01  1.796833e-01
