# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3 -1.048190e+00 -1.118354e+00  7.119366e-01  3.953756e-01  4.764294e-01  1.320340e+01 6 3  3.061672e-01
-1.535093e-01 -1.636293e-01 -1.518795e+00  1.069290e+01  5.000000e-01  6.477086e-01  9.716990e-02 -8.792518e-01  1.513818e-01
 2.799224e-01  4.011633e-01  3.187871e+00  0.000000e+00  0.000000e+00  3.030883e-01  9.198521e-02 -4.043954e-01  1.903774e-02
-3.176946e-03 -2.964541e-03  1.544726e-03  1.337712e+01  1.000000e+00  2.695752e+01 -2.917381e+00 -4.232915e+00  2.501156e+01
3  9.170250e-01  1.151978e+00  3.328098e+00  1.801408e+00  3.922775e-02  1.209510e+01 6 2 -1.000000e+00
 3.086232e+00  7.436121e-01  3.126289e+00  0.000000e+00  0.000000e+00  3.432394e-01  1.821607e-02 -3.333686e-01  7.222673e-03
-1.260249e-01 -1.268147e-01 -1.226373e-01  5.607765e+02  5.000000e-01  4.770374e+00  5.195531e-01 -4.701054e+00  3.560033e+00
-7.614281e-02 -7.363987e-02  4.650866e-02  5.609216e+02  1.000000e+00  8.867087e+00  3.583209e-02 -6.355187e+00  7.479551e+00
2  2.149238e+00 -8.771820e-01  5.580340e+00  2.432074e+00  9.426327e-03  1.801110e+01 6 2 -1.000000e+00
 4.030728e+00 -3.397646e+00  3.087747e+00  0.000000e+00  0.000000e+00  3.706479e-01 -1.630147e-01  2.136576e-01  1.849718e-04
-3.055451e-01  1.147512e-01 -2.910611e-02  2.334364e+03  5.000000e-01  1.994698e+00 -4.599370e+00  3.767263e+00  5.467426e-01
2  3.871118e-01 -5.816719e-01  4.455864e+00  1.872698e+00  8.263559e-01  1.611910e+01 6 1 -1.000000e+00
 2.415675e+00 -2.339364e+00  2.428920e+00  0.000000e+00  0.000000e+00  3.188505e-01 -5.280776e-02  2.224195e-01  2.318755e-04
-7.825836e-02  1.353199e+00 -2.007153e+00  7.429868e+02  5.000000e-01  1.018564e+00  7.056543e-01 -2.479616e-02  8.277830e-03
