# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3  1.315475e-01 -2.332188e-01  1.253464e+00  6.630051e-01  4.085645e-01  6.157190e+00 6 1 -1.000000e+00
 1.994895e-01 -8.178088e-01  2.027127e+00  0.000000e+00  0.000000e+00  1.947581e-01  3.022530e-01  2.524850e-01  2.900109e-02
-2.926497e-01  3.350013e-01 -8.282121e-01  4.231199e+01  5.000000e-01  3.971775e-01  1.233450e-01  1.247237e+00  1.866430e-01
-9.404244e-04  1.428954e-03  5.832640e-05  7.088966e+01  1.000000e+00  1.334957e+02  4.113458e-01  2.024944e+01  1.328448e+02
3 -3.780198e-01  4.179985e-01  1.629039e+00  7.085177e-01  1.845518e-01  1.204910e+01 6 1 -1.000000e+00
-6.993853e-01  1.188451e+00  1.575021e+00  0.000000e+00  0.000000e+00  1.986852e-01 -3.827047e-02  7.568816e-02  5.261755e-03
 2.067134e-01 -1.653418e-01 -2.906731e-01  1.055485e+02  5.000000e-01  1.002655e+00 -4.782601e-01  1.792084e+00  4.894385e-01
 6.782629e-03 -6.117407e-03  5.114252e-04  1.130375e+02  1.000000e+00  4.720389e+01 -4.502138e+00  1.261786e+01  4.598782e+01
5  8.525093e-02  3.167845e-01  7.913550e-01  4.249311e-01  1.000000e+00  5.369460e+00 6 3  2.742098e-01
-2.608431e-01 -3.997693e-03 -1.287140e+00  2.407516e+01  5.000000e-01  8.454716e-01 -8.948686e-01 -2.287745e-03  5.783746e-02
 2.480306e-01  4.124246e-01  3.708926e+00  0.000000e+00  0.000000e+00  3.780373e-01  6.859388e-02 -3.354290e-01  1.048062e-02
 2.460168e-01 -3.789278e-01  5.648719e+00  3.493618e+00  0.000000e+00  4.184709e-01  5.331904e-02  3.978716e-01  1.013001e-02
 4.017199e-01 -1.001173e-01 -6.208534e+00  4.555651e+00  5.000000e-01  5.246920e-01 -5.684793e-01  2.526215e-01  1.586037e-02
-2.205223e-03 -2.649557e-04  9.355438e-04  3.471852e+01  1.000000e+00  3.477558e+01 -8.112710e+00 -2.465156e+00  2.957513e+01
1  4.560663e+00 -2.981005e+00  0.000000e+00  2.468447e+00  0.000000e+00  6.757350e+00 0 2 -1.000000e+00
 7.302074e+00 -4.016026e+00  3.447794e+00  0.000000e+00  0.000000e+00  3.920048e-01 -1.212707e-01  2.547765e-01  1.583074e-03
3 -3.310703e-01  9.170134e-03  1.102035e+00  4.522957e-01  1.855182e-01  8.254900e+00 6 1 -1.000000e+00
-7.730693e-01 -3.552310e-01  1.879592e+00  0.000000e+00  0.000000e+00  2.265970e-01 -2.566900e-01 -1.523540e-02  1.147841e-02
 2.809475e-01 -3.347215e-02 -3.486986e-01  5.727894e+01  5.000000e-01  4.969102e-01 -1.605216e+00  7.376904e-01  1.141723e-01
 8.511684e-04  1.976050e-04  9.819929e-06  8.077806e+01  1.000000e+00  3.343180e+02 -3.257515e+01 -9.058692e+01  3.330649e+02
3  1.757023e-02  3.090279e-01  1.336793e+00  6.373893e-01  4.503988e-01  1.068210e+01 6 1 -1.000000e+00
-1.498233e-02 -4.244467e-01 -1.000175e+00  3.406489e+01  5.000000e-01  5.398408e-01  1.089982e+00 -1.533338e-01  2.401857e-01
 1.396291e-04  9.122605e-01  2.220644e+00  0.000000e+00  0.000000e+00  2.427451e-01  3.484432e-01 -4.126086e-02  3.473048e-02
 7.487284e-05 -5.022838e-03  4.095146e-04  4.627009e+01  1.000000e+00  5.138966e+01  9.359563e+00  3.098660e+00  5.052588e+01
2 -1.457833e-02 -1.597600e-01  1.215319e+00  6.714738e-01  3.417062e-01  5.808050e+00 6 3 -1.000000e+00
-5.015301e-01 -6.521359e-01  3.775654e+00  0.000000e+00  0.000000e+00  3.622295e-01  1.703668e-01 -3.359635e-01  4.508860e-03
-7.215506e-02  4.848058e-01 -1.290164e+00  5.079994e+01  5.000000e-01  5.840981e-01  9.287024e-01  2.925429e-01  2.816298e-02
1  1.858784e-01  1.908822e+00  0.000000e+00  5.690316e-01  0.000000e+00  1.063110e+01 0 2  3.054879e-01
