# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3  3.374607e-01 -6.390916e-02  2.670081e+00  1.344105e+00  5.401454e-01  6.078970e+00 6 3 -1.000000e+00
 1.634020e+00 -9.511491e-01  4.554070e+00  0.000000e+00  0.000000e+00  4.914555e-01 -1.557155e-01  1.215995e-01  9.111261e-03
-8.507009e-01  2.634456e-02 -2.459860e+00  1.500042e+02  5.000000e-01  7.800503e-01 -6.691764e-01 -8.430953e-02  7.843608e-02
-4.544094e-03  9.869129e-04  2.048395e-04  2.093248e+02  1.000000e+00  7.439731e+01 -1.987845e+01  1.049488e+01  7.192778e+01
3 -1.149666e-01 -6.132326e-01  2.329559e+00  8.174139e-01  1.715953e-01  2.732270e+00 6 1 -1.000000e+00
-8.007724e-02 -1.703122e+00  2.571824e+00  0.000000e+00  0.000000e+00  3.214458e-01  2.663974e-01 -2.528163e-02  5.590179e-03
 2.324122e-01  6.053831e-01 -4.413130e-01  2.166879e+02  5.000000e-01  7.053184e-01  1.209501e+00 -9.433505e-01  2.406177e-01
 5.755478e-04  1.254879e-03  3.006876e-06  3.223723e+02  1.000000e+00  6.868868e+02  1.774001e+02 -3.261884e+02  6.855513e+02
1 -1.077557e-02 -4.431179e+00  0.000000e+00  3.528265e+00  0.000000e+00  1.257450e+01 0 2 -1.000000e+00
-1.068710e+00 -7.338607e+00  1.101488e+01  0.000000e+00  0.000000e+00  4.266170e-01  4.770391e-01 -1.020566e-01  2.881094e-04
1 -2.759782e+00  9.461186e+00  0.000000e+00  5.994305e+00  0.000000e+00  7.183590e+00 0 2 -1.000000e+00
-1.762586e+00  1.513196e+01  3.489942e+00  0.000000e+00  0.000000e+00  3.333282e-01  3.497456e-01  1.886573e-01  2.724472e-04
1  4.547189e+00  5.232912e+00  0.000000e+00  1.346579e+00  0.000000e+00  1.282930e+01 0 2  2.825919e-01
 6.518600e+00  9.151854e-01  3.035505e+00  0.000000e+00  0.000000e+00  3.063237e-01  2.085683e-01 -3.290161e-01  2.393907e-04
1 -6.376650e-01 -5.570162e+00  0.000000e+00  1.813370e+00  0.000000e+00  7.492360e+00 0 2  2.812286e-01
-3.872468e-02 -3.845906e+00  3.451224e+00  0.000000e+00  0.000000e+00  3.513717e-01  3.575337e-01 -5.600047e-02  7.145198e-04
1 -3.386942e+00 -3.767907e+00  0.000000e+00  6.654351e+00  0.000000e+00  1.243880e+01 0 2 -1.000000e+00
-1.083203e+01 -9.766754e+00  3.227262e+00  0.000000e+00  0.000000e+00  4.143639e-01  1.530730e-03 -1.819536e-01  5.344524e-05
3 -7.779112e-02 -1.493182e-02  4.046137e-01  1.741073e-01  7.639303e-01  7.475240e+00 6 1 -1.000000e+00
-2.838263e-01  1.823399e-02  2.293115e+00  0.000000e+00  0.000000e+00  2.716282e-01 -3.011913e-01 -6.100254e-02  4.458137e-02
 1.193593e-01  5.219935e-02 -1.751780e+00  5.382454e+00  5.000000e-01  5.835613e-01 -5.047326e-01 -6.996528e-01  2.450967e-01
 3.500221e-03  4.468955e-04  4.145756e-03  6.735830e+00  1.000000e+00  1.663837e+01 -1.797856e+00  3.402952e-01  1.583442e+01
3  9.187468e-01  1.048715e-01  2.605535e+00  9.897897e-01  1.213408e-01  7.463750e+00 6 1 -1.000000e+00
 2.350583e+00  1.062302e-01  1.883278e+00  0.000000e+00  0.000000e+00  2.556333e-01 -1.507098e-01  1.947557e-02  1.933833e-03
-2.499480e-01 -5.516612e-02 -2.285185e-01  6.921041e+02  5.000000e-01  1.810861e+00 -2.002670e+00 -1.011346e+00  6.836025e-01
-2.583877e-02 -4.610578e-03  2.503791e-03  7.014512e+02  1.000000e+00  2.288337e+01 -8.040537e+00 -3.851934e+00  2.071601e+01
1 -1.011951e+01 -5.181666e-01  0.000000e+00  1.096385e+01  0.000000e+00  5.800320e+00 0 2 -1.000000e+00
-1.798189e+01  4.907163e+00  1.161568e+01  0.000000e+00  0.000000e+00  5.292292e-01 -3.488943e-01  1.175046e-01  1.950339e-02
3 -1.563321e-01  4.301300e-01  1.052271e+00  4.448909e-01  1.666765e-01  7.248450e+00 6 1 -1.000000e+00
-3.638235e-01  7.895653e-01  1.320702e+00  0.000000e+00  0.000000e+00  1.178147e-01  1.189203e-01  8.328253e-02  1.739162e-02
 5.562868e-02 -1.754916e-01 -2.201301e-01  3.659781e+01  5.000000e-01  1.002454e+00  1.772613e+00  1.183478e+00  8.107511e-01
 3.795724e-03 -1.084687e-02  1.400987e-03  3.874989e+01  1.000000e+00  2.891979e+01  6.496648e+00  4.850317e+00  2.856340e+01
1  3.091209e+00 -1.433215e+00  0.000000e+00  2.155742e+00  0.000000e+00  1.409960e+01 0 2 -1.000000e+00
 4.655578e+00 -1.666230e+00  1.262617e+01  0.000000e+00  0.000000e+00  4.194010e-01 -3.871547e-01  3.286424e-01  1.911722e-03
5 -6.729703e-02 -1.029116e-02  4.899272e-01  3.775075e-01  1.000000e+00  3.747920e+00 6 3 -1.000000e+00
 1.534713e-01  3.220269e-02 -9.017257e-01  5.506853e+00  5.000000e-01  1.399227e+00 -1.002966e+00 -5.122752e-01  1.031153e+00
-2.684412e-01  2.111236e-01  3.070285e+00  0.000000e+00  0.000000e+00  3.663595e-01 -4.869744e-02  2.709727e-01  9.861038e-02
