# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3 -3.360813e-01  1.008045e-01  1.179266e+00  8.909796e-01  1.456562e-01  9.370020e+00 6 1 -1.000000e+00
-8.513429e-01  1.822849e-01  2.118448e+00  0.000000e+00  0.000000e+00  2.370795e-01 -2.210260e-01  2.472886e-01  6.532126e-02
 3.087061e-01 -2.973984e-02 -3.085651e-01  4.184034e+01  5.000000e-01  1.330862e+00 -1.718153e+00  6.310522e-01  1.047042e+00
 1.393260e-02 -8.282618e-04  1.150551e-03  4.731288e+01  1.000000e+00  3.970269e+01 -2.507488e+01 -1.161233e-02  3.906952e+01
3 -1.872783e-02 -2.184909e-01  1.086310e+00  4.781378e-01  3.756310e-01  1.244270e+01 6 1 -1.000000e+00
 1.774200e-01 -7.620968e-01  1.916661e+00  0.000000e+00  0.000000e+00  2.477565e-01  2.038011e-01  5.093806e-02  1.375953e-02
 1.628570e-01  3.241153e-01 -7.199572e-01  3.762987e+01  5.000000e-01  6.349836e-01  7.106725e-01 -1.008540e+00  2.870030e-01
 7.780177e-04  2.276655e-03  1.369438e-04  5.445034e+01  1.000000e+00  9.264187e+01  1.419425e+01 -2.990807e+01  9.148304e+01
2  1.251937e+00  7.317104e-01  1.743747e+00  1.027606e+00  2.991740e-01  9.997570e+00 6 3  2.738600e-01
 7.815979e-01  5.877898e-01  6.195485e+00  0.000000e+00  0.000000e+00  4.207876e-01 -4.006704e-02 -4.152997e-01  6.636128e-03
-4.978195e-01 -5.970074e-01 -2.070864e+01  4.169852e+01  5.000000e-01  4.980131e-01  1.720667e-01 -5.202624e-01  9.233126e-03
3 -1.044810e-01  2.515141e-01  8.814868e-01  2.326510e-01  2.054946e-01  9.978990e+00 6 1 -1.000000e+00
-3.169491e-01  6.797569e-01  1.515235e+00  0.000000e+00  0.000000e+00  1.643592e-01 -1.219928e-01 -1.531329e-01  2.566739e-03
 3.859058e-02 -1.268474e-01 -3.113725e-01  9.278820e+01  5.000000e-01  6.814216e-01  1.516122e+00  1.007201e+00  3.509418e-01
 3.635687e-04 -1.199029e-03  2.911815e-05  1.050737e+02  1.000000e+00  1.945885e+02  5.256764e+01  1.924342e+01  1.937948e+02
3 -1.276759e-01 -4.307921e-02  1.004605e+00  6.229128e-01  4.676148e-01  8.952180e+00 6 3 -1.000000e+00
-5.431568e-01 -3.259154e-01  3.189774e+00  0.000000e+00  0.000000e+00  3.091597e-01 -1.476017e-01 -3.767921e-01  3.941877e-02
 4.101701e-01 -9.058466e-03 -1.491586e+00  1.291193e+01  5.000000e-01  6.192676e-01 -9.021845e-01 -3.804992e-02  3.056422e-01
 3.415316e-03  1.742138e-04  6.380499e-04  2.158321e+01  1.000000e+00  4.450174e+01 -1.711404e+01  5.677600e+00  4.342881e+01
3 -1.113970e-02  1.337808e-01  4.085164e-01  2.030769e-01  4.071549e-01  8.246320e+00 6 1 -1.000000e+00
-2.311135e-02  3.536049e-01  1.599342e+00  0.000000e+00  0.000000e+00  2.086478e-01  1.083602e-02 -2.939042e-02  5.980253e-03
 2.068294e-02 -5.255732e-02 -6.511800e-01  6.888529e+00  5.000000e-01  1.159140e+00  1.009885e+00  7.356157e-01  6.825287e-01
 3.651506e-03 -9.498420e-03  2.506987e-02  6.980353e+00  1.000000e+00  7.918140e+00  1.208534e+00  2.551781e+00  7.186841e+00
3 -8.795373e-02  4.484626e-01  6.091960e-01  2.426402e-01  3.283941e-01  8.833560e+00 6 1  2.746456e-01
-9.250530e-02  5.214098e-02 -6.678849e-01  2.803469e+01  5.000000e-01  1.198576e+00 -4.400865e-01  1.158887e+00  1.798497e-01
 4.816586e-01  2.557473e-01  2.033791e+00  0.000000e+00  0.000000e+00  2.820913e-01 -1.705414e-02  1.530013e-01  8.757932e-04
-2.749976e-03  8.488819e-04  1.530430e-03  2.987091e+01  1.000000e+00  2.840861e+01 -6.030698e+00  7.839073e+00  2.522583e+01
3 -4.149273e-01  7.241202e-01  3.247307e+00  1.476323e+00  1.748738e-01  6.928970e+00 6 3 -1.000000e+00
 2.438502e-01 -6.781031e-01 -6.480248e-01  1.860662e+02  5.000000e-01  1.402243e+00  9.886733e-01  8.529218e-01  8.197788e-01
-2.185666e+00  1.476532e+00  3.705672e+00  0.000000e+00  0.000000e+00  4.147402e-01 -2.290510e-02  2.686035e-01  3.486790e-02
 4.159073e-02 -1.058931e-01  3.604454e-02  1.921626e+02  1.000000e+00  7.101378e+00  2.533871e+00  1.750105e+00  6.269439e+00
3 -1.950863e-01 -3.486799e-01  1.184214e+00  5.685854e-01  3.593482e-01  6.163370e+00 6 1  2.750236e-01
 1.504578e-02 -3.425892e-01 -9.100708e-01  7.214740e+01  5.000000e-01  7.040921e-01  1.087677e+00 -5.775557e-02  5.298661e-02
-4.741507e-01  7.358584e-01  2.532560e+00  0.000000e+00  0.000000e+00  3.252701e-01  1.848953e-01  1.619159e-01  4.356055e-03
 1.298198e-04 -4.644530e-04  5.017083e-06  1.062276e+02  1.000000e+00  4.545741e+02  5.447707e+01  5.867496e+01  4.508444e+02
5 -2.291068e+00  3.578555e+00  1.859914e+00  9.462593e-01  1.000000e+00  1.284610e+01 6 3  3.002566e-01
-6.893871e-01 -9.850896e-01  6.210006e+00  0.000000e+00  0.000000e+00  4.705502e-01  2.061241e-01 -2.771273e-01  3.497851e-02
 6.176530e-01 -7.953193e-01 -1.403491e+01  4.508846e+00  5.000000e-01  4.767392e-01  1.556127e-01  5.664251e-01  3.146689e-02
-2.399498e-01  6.995533e-01 -2.343802e+00  3.194074e+01  5.000000e-01  6.921923e-01  5.098679e-01  5.113097e-01  7.848577e-02
 1.033314e+00 -2.839616e-01  1.187940e+01  3.929600e+00  0.000000e+00  4.484621e-01 -3.045792e-01  3.567159e-01  2.484477e-02
