# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3 -5.557466e-01 -8.943502e-01  6.792678e-01  2.606727e-01  1.247126e-01  6.837380e+00 6 1  3.023114e-01
-5.315324e-01  1.946374e-01  2.353632e+00  0.000000e+00  0.000000e+00  2.750845e-01 -1.150596e-01  2.956155e-01  7.033852e-03
 6.522872e-02 -1.298329e-01 -2.935276e-01  1.674881e+01  5.000000e-01  1.467290e+00  8.911376e-01  1.682578e+00  8.135150e-01
 5.053898e-03 -1.109057e-02  3.765265e-03  1.764756e+01  1.000000e+00  2.096304e+01  9.294605e+00  6.822602e+00  1.948617e+01
3  4.208884e-01  9.526831e-02  1.489478e+00  6.661894e-01  2.055786e-01  1.097950e+01 6 1 -1.000000e+00
-2.639120e-01 -5.207513e-02 -4.509213e-01  1.510209e+02  5.000000e-01  1.109253e+00 -1.403941e+00 -5.084966e-01  4.110145e-01
 1.171249e+00  3.464927e-01  2.193426e+00  0.000000e+00  0.000000e+00  3.149235e-01 -1.023431e-01 -5.429435e-02  7.963490e-03
-8.913788e-03 -2.100129e-03  7.135776e-04  1.628439e+02  1.000000e+00  4.125144e+01 -1.316226e+01 -6.748612e+00  3.960282e+01
3 -1.465646e-01 -1.053514e+00  1.817167e+00  8.850051e-01  5.450923e-01  7.492950e+00 6 1  2.707982e-01
 6.447578e-01 -1.280786e+00  1.610513e+00  0.000000e+00  0.000000e+00  2.087542e-01  7.058251e-02 -1.296432e-02  5.903616e-04
 5.662477e-03  4.202880e-01 -2.954570e+00  3.200109e+02  5.000000e-01  7.191793e-01  6.151785e-01 -1.971659e-01  2.305866e-02
-8.081973e-04  2.474790e-03  1.407783e-04  3.634216e+02  1.000000e+00  8.549735e+01 -3.601147e+00 -4.844228e+00  8.129824e+01
