# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3 -3.458879e-01 -1.882672e-01  9.390272e-01  3.873284e-01  1.533692e-01  1.670990e+00 6 1 -1.000000e+00
-6.445374e-01 -3.871573e-01  1.706176e+00  0.000000e+00  0.000000e+00  1.772425e-01 -1.627913e-01 -2.536195e-01  1.100611e-02
 1.651167e-01  8.848153e-02 -2.616748e-01  4.935735e+01  5.000000e-01  7.859370e-01 -1.118682e+00 -1.617377e+00  4.134833e-01
 4.701017e-03  2.642634e-03  4.370726e-04  5.460629e+01  1.000000e+00  4.934240e+01 -3.195447e+00 -6.231152e+00  4.838026e+01
3 -4.941429e-02 -9.221757e-02  7.055303e-01  3.019520e-01  6.537851e-01  4.867950e+00 6 3 -1.000000e+00
-3.749636e-01 -3.684684e-01  3.872676e+00  0.000000e+00  0.000000e+00  4.567981e-01  3.657150e-02 -1.884449e-01  1.619163e-01
 8.733642e-02  1.644966e-01 -2.531898e+00  8.477308e+00  5.000000e-01  1.200521e+00  4.727006e-01 -4.601342e-01  7.319323e-01
 2.476645e-02  3.970189e-02  3.143782e-01  8.695716e+00  1.000000e+00  3.228451e+00  5.838889e-01 -1.201743e+00  2.515206e+00
3  9.884316e-01  8.163937e-01  1.064732e+00  5.497749e-01  4.753461e-02  8.245010e+00 6 2  2.863583e-01
 8.066745e-01  4.806536e-01  3.037370e+00  0.000000e+00  0.000000e+00  2.826154e-01 -4.131003e-02 -4.286046e-01  5.604901e-03
-8.599909e-02 -9.968122e-02 -1.443802e-01  6.472877e+01  5.000000e-01  1.792891e+00  4.586182e-01 -2.710074e+00  7.820652e-01
-9.720185e-03 -1.082536e-02  2.810664e-03  6.600481e+01  1.000000e+00  2.085975e+01  7.917553e-01 -6.164011e+00  1.880363e+01
1  2.374551e-01  7.314993e-01  0.000000e+00  7.738319e-01  0.000000e+00  1.928660e+01 0 2 -1.000000e+00
 5.295854e-01  1.469014e+00  3.471048e+00  0.000000e+00  0.000000e+00  3.760451e-01  2.450285e-01 -2.029369e-01  2.158331e-02
3 -5.568621e-02  7.790197e-01  2.644405e+00  1.063641e+00  1.839083e-01  7.974890e+00 6 1 -1.000000e+00
-8.201555e-01  2.132784e+00  1.775763e+00  0.000000e+00  0.000000e+00  2.412069e-01  5.347460e-02 -9.883991e-02  1.724074e-03
-3.697474e-02 -3.929848e-01 -3.265775e-01  5.368096e+02  5.000000e-01  8.468650e-01  1.660812e+00 -5.720253e-01  2.264687e-01
 2.973411e-04 -4.117205e-03  5.179252e-05  5.950142e+02  1.000000e+00  1.416989e+02  2.187602e+01  3.134101e+00  1.400291e+02
3  6.815614e-01 -5.991154e-01  1.249297e+00  6.606397e-01  4.420306e-01  3.750860e+00 6 1  2.730263e-01
 3.426871e-01 -8.639532e-01  2.325603e+00  0.000000e+00  0.000000e+00  3.114271e-01  1.956491e-01  7.653729e-02  2.187274e-03
-1.754669e-02  3.322808e-01 -1.027988e+00  1.396428e+02  5.000000e-01  6.549853e-01  1.044721e+00 -1.915207e-02  3.458196e-02
-1.765501e-04  5.319177e-04  7.900754e-06  1.937518e+02  1.000000e+00  3.612993e+02 -3.821064e+01  4.225352e+01  3.581103e+02
3 -7.983705e-02 -4.525522e-02  6.411644e-01  3.000934e-01  6.826667e-01  8.073390e+00 6 3 -1.000000e+00
-4.233650e-01 -8.423604e-02  3.497005e+00  0.000000e+00  0.000000e+00  3.753863e-01 -2.335709e-01 -2.227734e-01  9.369044e-03
 1.733831e-01  1.502495e-01 -2.387289e+00  3.819869e+01  5.000000e-01  5.553914e-01 -1.007760e-02 -7.851500e-01  3.467214e-02
 6.220805e-04  1.575749e-04  1.029320e-04  6.432795e+01  1.000000e+00  1.031872e+02 -1.396815e+01  2.306430e+01  1.010878e+02
3  3.223493e+00  1.435890e+00  3.425841e+00  1.155722e+00  6.508628e-02  7.094780e+00 6 2  2.936473e-01
 2.872317e+00 -1.085883e+00  3.353714e+00  0.000000e+00  0.000000e+00  4.333034e-01  1.203701e-01 -9.208254e-02  9.554842e-04
-4.134244e-01 -1.161994e-01 -2.182808e-01  1.842093e+02  5.000000e-01  1.080721e+00 -1.733905e+00 -1.257515e+00  2.948020e-01
-4.159071e-03 -6.511955e-04  4.130763e-05  2.039162e+02  1.000000e+00  1.612781e+02 -3.357776e+01 -1.878855e+01  1.591821e+02
3 -5.146537e-01  7.561142e-02  1.658721e+00  6.816038e-01  2.528189e-01  9.132080e+00 6 1 -1.000000e+00
 3.538780e-01 -2.266655e-02 -5.487923e-01  1.624973e+02  5.000000e-01  8.329425e-01 -1.347174e+00  1.876522e-01  2.752572e-01
-1.279173e+00  2.680216e-01  2.170693e+00  0.000000e+00  0.000000e+00  2.805548e-01 -2.182282e-01  9.641316e-02  8.808526e-03
 9.955719e-03 -8.783186e-04  8.371594e-04  1.804386e+02  1.000000e+00  3.606629e+01 -5.897363e+00 -5.915062e-01  3.467350e+01
1 -1.172146e+00 -5.902312e-01  0.000000e+00  1.541124e+00  0.000000e+00  1.015680e+01 0 2 -1.000000e+00
-2.028443e+00 -1.469364e+00  6.120803e+00  0.000000e+00  0.000000e+00  3.807666e-01 -2.274215e-01 -4.103075e-01  2.675618e-03
3 -3.013273e-01  4.168148e-01  1.338382e+00  4.335860e-01  1.366361e-01  8.714630e+00 6 1 -1.000000e+00
-6.755625e-01  9.566779e-01  1.458098e+00  0.000000e+00  0.000000e+00  1.693296e-01 -3.091021e-02  5.685855e-02  1.124508e-03
 8.437495e-02 -1.450305e-01 -1.992289e-01  1.577638e+02  5.000000e-01  1.007094e+00  1.002093e+00  2.003799e+00  2.756595e-01
 1.201408e-03 -2.367692e-03  6.196062e-05  1.686248e+02  1.000000e+00  1.302979e+02  2.363439e+01  4.481670e+00  1.280289e+02
2  2.032850e+00  3.649262e-01  2.776307e+00  1.505525e+00  3.355063e-01  6.908600e+00 6 1  2.704491e-01
 4.539545e-01 -2.319347e+00  2.167510e+00  0.000000e+00  0.000000e+00  2.954397e-01  1.819689e-01 -4.397255e-02  5.070154e-04
 2.818971e-01  4.516231e-01 -7.272133e-01  6.337022e+02  5.000000e-01  1.126042e+00  3.735624e-01 -1.118682e+00  5.730310e-02
3 -9.570303e-02  2.228760e-01  6.235928e-01  2.916818e-01  2.613171e-02  9.299130e+00 6 2 -1.000000e+00
-1.112779e-02  5.099738e-01  6.212530e+00  0.000000e+00  0.000000e+00  4.145300e-01  3.884395e-01  1.758545e-01  9.984610e-03
 4.856150e-02 -1.107557e-01 -1.623440e-01  5.679315e+01  5.000000e-01  1.326819e+00  1.711100e+00  1.827213e+00  5.503736e-01
 1.040303e-03 -2.249944e-03  1.393696e-04  6.390457e+01  1.000000e+00  9.171825e+01  1.991875e+01  2.564917e+01  8.982417e+01
3  4.182942e-01 -4.263376e-01  1.580822e+00  7.762044e-01  2.046206e-01  9.297030e+00 6 1 -1.000000e+00
 8.265528e-01 -1.099853e+00  1.733686e+00  0.000000e+00  0.000000e+00  2.162908e-01  1.776921e-02  1.925584e-01  9.061475e-03
-1.653727e-01  1.310338e-01 -3.547479e-01  7.954030e+01  5.000000e-01  1.586739e+00 -4.281402e-01  1.726228e+00  8.950581e-01
-3.030329e-02  2.547390e-02  1.539261e-02  8.046283e+01  1.000000e+00  1.014907e+01 -1.194940e+00  4.160687e+00  8.968892e+00
1 -8.624443e-02  2.652395e-02  0.000000e+00  5.045620e-02  0.000000e+00  9.366000e+00 0 2  2.884023e-01
-3.702612e-02  8.066811e-02  4.796010e+00  0.000000e+00  0.000000e+00  4.729719e-01  2.519519e-01  7.597548e-02  6.781392e-03
2 -4.381673e-01  2.956739e-01  1.318005e+00  7.180562e-01  1.429259e-01  7.491450e+00 6 1 -1.000000e+00
-7.682657e-01  6.520650e-01  1.695898e+00  0.000000e+00  0.000000e+00  1.697934e-01 -9.434476e-02  3.011378e-01  2.584941e-03
 2.850907e-01 -1.401330e-01 -2.423878e-01  9.848995e+01  5.000000e-01  3.991189e-01 -1.103763e+00  1.807868e+00  1.052173e-01
3 -1.940096e-01 -1.526901e-01  6.706753e-01  3.199365e-01  1.131598e-01  1.280960e+01 6 1 -1.000000e+00
-4.319734e-01 -3.283785e-01  2.000781e+00  0.000000e+00  0.000000e+00  2.627081e-01 -3.547338e-02 -2.062428e-01  1.951235e-02
 1.045640e-01  7.403040e-02 -2.264079e-01  3.486916e+01  5.000000e-01  1.211052e+00 -5.954431e-01 -2.026523e+00  7.698361e-01
 4.055491e-03  2.724496e-03  5.113989e-04  3.798334e+01  1.000000e+00  5.027218e+01 -9.931198e+00 -1.933127e+01  4.936798e+01
3 -2.877879e-01  4.707547e-01  1.430146e+00  4.522230e-01  1.207490e-01  6.161390e+00 6 1 -1.000000e+00
-7.079719e-01  9.077886e-01  1.729183e+00  0.000000e+00  0.000000e+00  2.223339e-01  6.943344e-02  1.470906e-01  2.445900e-03
 1.151133e-01 -2.617614e-01 -2.087971e-01  2.311903e+02  5.000000e-01  5.808193e-01  1.398884e+00  1.734409e+00  1.940292e-01
 2.159752e-04 -7.078654e-04  2.132043e-06  2.983937e+02  1.000000e+00  7.288637e+02  2.462964e+02  9.484835e+00  7.277700e+02
3 -7.507889e-01 -3.410859e-01  1.152828e+00  5.914769e-01  1.248615e-01  8.551440e+00 6 3  3.087214e-01
-1.107206e-03 -2.288751e-01 -4.213713e-01  1.787385e+01  5.000000e-01  1.414743e+00  1.595281e+00 -1.712329e-02  7.361265e-01
 1.179798e-01  9.177851e-01  3.374708e+00  0.000000e+00  0.000000e+00  3.179001e-01  4.002309e-01 -9.356013e-02  3.104557e-02
-5.137070e-04 -3.165501e-02  1.479473e-02  1.843099e+01  1.000000e+00  1.015830e+01  4.035107e+00  2.547513e-02  8.858191e+00
3 -2.705451e-01 -6.485959e-01  2.376877e+00  1.110242e+00  2.886173e-01  5.141740e+00 6 1  2.983383e-01
