# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
1 -1.379569e+00 -7.570860e-01  0.000000e+00  1.480482e+00  0.000000e+00  5.933900e+00 0 2 -1.000000e+00
-2.268531e+00 -1.430713e+00  3.329067e+00  0.000000e+00  0.000000e+00  3.332545e-01 -1.462038e-01 -3.504135e-01  7.098820e-03
5  8.631026e-02  1.888930e-01  1.382934e+00  7.533075e-01  1.000000e+00  4.684020e+00 6 3 -1.000000e+00
-1.829399e-01 -4.719780e-01 -9.690988e-01  2.776543e+01  5.000000e-01  6.452373e-01  7.662459e-01 -7.553874e-01  2.045148e-01
 8.688181e-01  2.706021e-01  5.313085e+00  0.000000e+00  0.000000e+00  3.739033e-01 -2.296741e-01 -3.886287e-01  5.046349e-02
 1.718063e-01  8.101301e-01 -9.934157e+00  1.771250e+00  5.000000e-01  4.347625e-01  5.457922e-01 -3.496671e-01  6.387382e-02
-3.950184e-01  8.320489e-01  7.648299e+00  1.204546e+00  0.000000e+00  4.312942e-01  3.938308e-01  1.938442e-01  5.994332e-02
-1.755809e-03 -4.288626e-03  7.761014e-04  4.413392e+01  1.000000e+00  3.723736e+01  4.296778e+00 -2.488486e+00  3.603405e+01
3 -1.860106e-01 -1.323080e-01  1.124469e+00  5.349465e-01  8.868840e-01  6.393320e+00 6 1 -1.000000e+00
-6.597398e-01 -4.148496e-01  2.194122e+00  0.000000e+00  0.000000e+00  2.804502e-01 -6.225530e-02 -2.410662e-01  6.518911e-03
 2.870916e-01  1.917319e-01 -1.945931e+00  6.042770e+01  5.000000e-01  5.605377e-01 -2.598687e-01 -7.996800e-01  6.283624e-02
 9.303348e-04  5.094310e-04  3.568915e-05  8.724170e+01  1.000000e+00  1.701605e+02 -2.387026e+01 -5.075934e+00  1.676540e+02
3 -1.571931e-01  5.989300e-01  2.347583e+00  1.009730e+00  2.642600e-01  4.130250e+00 6 1 -1.000000e+00
-7.389869e-01  1.498157e+00  2.183999e+00  0.000000e+00  0.000000e+00  2.416198e-01  2.370906e-01  2.470889e-01  2.681117e-02
 5.564268e-02 -7.108492e-01 -5.771435e-01  7.605012e+01  5.000000e-01  6.364874e-01  1.342320e+00  2.509766e-01  3.302692e-01
 1.009294e-03 -8.509248e-03  2.552530e-04  1.002686e+02  1.000000e+00  6.643440e+01  1.897455e+01 -1.986337e+00  6.566719e+01
1  1.264994e-01  3.268123e-02  0.000000e+00  7.295553e-02  0.000000e+00  5.347060e+00 0 2 -1.000000e+00
 1.966658e-01  3.941541e-02  3.054548e+00  0.000000e+00  0.000000e+00  3.557250e-01 -2.429616e-01 -1.693495e-01  1.350924e-01
3 -4.536166e-01 -3.639210e-01  1.619990e+00  6.163178e-01  2.101081e-01  8.187960e+00 6 1 -1.000000e+00
-9.191671e-01 -8.461029e-01  1.520650e+00  0.000000e+00  0.000000e+00  1.684461e-01 -7.689111e-02 -1.672008e-01  8.449119e-03
 2.834070e-01  2.393390e-01 -3.195009e-01  8.032505e+01  5.000000e-01  5.341441e-01 -4.111871e-01 -1.782646e+00  2.411051e-01
 1.400566e-03  1.311929e-03  1.535385e-05  1.027566e+02  1.000000e+00  2.621679e+02  1.187129e+01 -5.419892e+01  2.612448e+02
3  1.878031e-01  5.281778e-01  1.561341e+00  5.730935e-01  1.966017e-01  2.878140e+00 6 1 -1.000000e+00
 3.901922e-01  1.228043e+00  1.687849e+00  0.000000e+00  0.000000e+00  2.219765e-01  6.596667e-02 -9.218857e-02  1.332796e-02
-6.470521e-02 -2.655619e-01 -3.318340e-01  1.004624e+02  5.000000e-01  1.043368e+00  1.453228e+00 -9.505601e-01  6.702851e-01
-3.377690e-03 -1.666256e-02  1.842816e-03  1.061732e+02  1.000000e+00  2.601386e+01  8.975880e+00 -1.574523e+00  2.534072e+01
3  2.441823e+00 -5.702075e-01  6.498620e+00  3.473920e+00  9.684445e-03  4.129200e+00 6 2 -1.000000e+00
 6.168806e+00 -9.696839e-01  4.296590e+00  0.000000e+00  0.000000e+00  3.967934e-01 -3.484757e-01  9.838787e-02  3.938051e-04
-2.459947e-01  7.070073e-02 -4.161009e-02  1.909812e+03  5.000000e-01  4.361331e+00 -5.076819e+00  3.091454e+00  2.088096e+00
