# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3 -3.178057e-01 -8.569610e-01  5.151764e+00  2.518737e+00  8.422934e-01  5.922420e+00 6 3 -1.000000e+00
-9.555413e-01 -4.111502e+00  2.892533e+00  0.000000e+00  0.000000e+00  4.009354e-01  8.799943e-02 -7.359920e-02  7.609961e-03
 6.035389e-01  7.986859e-01 -3.434116e+00  4.069086e+02  5.000000e-01  1.209119e+00  7.902196e-02 -5.733079e-01  3.669031e-01
 1.532859e-01  2.391775e-01  3.225885e-01  4.105235e+02  1.000000e+00  3.229785e+00  3.859263e-01 -1.312660e+00  1.975537e+00
3 -9.202427e-02 -2.428152e-01  9.342600e-01  4.485242e-01  8.788576e-01  9.331060e+00 6 1 -1.000000e+00
-2.807894e-01 -6.631867e-01  1.718580e+00  0.000000e+00  0.000000e+00  2.072020e-01  1.389249e-01 -1.653865e-01  5.133328e-02
 4.508559e-02  2.123972e-01 -1.510387e+00  1.217933e+01  5.000000e-01  8.890403e-01  7.488559e-01 -3.370593e-01  6.226376e-01
 9.468849e-03  3.375090e-02  5.973712e-02  1.260694e+01  1.000000e+00  5.270306e+00  1.165537e+00 -3.701728e-01  4.838639e+00
5 -3.904470e-01 -8.360805e-01  1.367325e+00  5.709298e-01  1.000000e+00  8.161230e+00 6 3  2.811504e-01
 3.629572e-01 -7.125971e-01  5.066088e+00  2.546378e+00  0.000000e+00  5.461619e-01  8.923952e-02 -2.478621e-02  2.706499e-03
-2.566908e-01 -4.945480e-01 -4.019691e+00  7.861555e+00  5.000000e-01  6.819543e-01  2.865874e-01 -5.174902e-01  4.462842e-03
-7.536003e-01  7.662822e-02  4.336499e+00  0.000000e+00  0.000000e+00  4.966380e-01 -1.500668e-01 -1.589048e-02  5.977094e-03
 2.220190e-01  2.393038e-01 -1.752771e+00  2.725542e+01  5.000000e-01  8.451130e-01  1.094436e-01 -7.632413e-01  2.243566e-02
 9.423047e-04  6.168134e-04  1.963175e-04  3.862403e+01  1.000000e+00  7.369353e+01 -1.345704e+01 -3.077216e+00  6.918937e+01
3  1.542629e-01  2.232865e+00  1.708175e+00  7.647752e-01  4.591487e-01  5.522740e+00 6 1  2.958610e-01
-1.286839e+00 -4.778198e-01  2.315655e+00  0.000000e+00  0.000000e+00  2.979817e-01 -1.294622e-01 -2.102998e-01  1.388288e-03
 3.225893e-01  9.454713e-02 -1.063230e+00  1.083422e+02  5.000000e-01  9.485236e-01 -8.453286e-01 -4.781208e-01  7.024748e-02
 4.356603e-03  2.461834e-03  2.563381e-04  1.178759e+02  1.000000e+00  6.446455e+01  3.291403e-01 -1.124914e+01  6.062300e+01
3 -5.211409e-02 -2.577610e+00  3.404861e+00  2.081419e+00  1.060587e-01  6.144530e+00 6 3  2.681347e-01
 1.228146e+00  2.890317e+00  3.115536e+00  0.000000e+00  0.000000e+00  3.341297e-01  2.404365e-01 -2.541683e-01  6.789527e-04
-1.153077e-02 -2.808466e-01 -3.304296e-01  1.318733e+03  5.000000e-01  2.732517e+00  2.454977e+00  3.263566e-02  5.010524e-01
-4.532560e-03 -3.800160e-02  4.443559e-03  1.324593e+03  1.000000e+00  1.961109e+01  1.086647e+01 -1.802064e+00  1.532107e+01
3 -1.124671e-01  7.813704e-02  7.244344e-01  3.045634e-01  1.640639e-01  6.631240e+00 6 3 -1.000000e+00
 2.306419e-01 -1.551865e-01 -5.390762e-01  4.929368e+01  5.000000e-01  3.560291e-01 -6.884693e-01  1.340050e+00  3.408406e-02
-6.916301e-02  5.042999e-01  3.285769e+00  0.000000e+00  0.000000e+00  2.952002e-01  3.180217e-01  3.020963e-01  2.049021e-02
 3.492493e-05 -4.167298e-05  2.035910e-07  1.362371e+02  1.000000e+00  2.303617e+03  5.811078e+02  2.292338e+02  2.302246e+03
3 -5.193743e-03  2.750045e-01  8.057591e-01  3.640911e-01  2.256661e-01  4.308050e+00 6 1 -1.000000e+00
-1.973692e-02 -1.278659e-01 -4.758349e-01  4.385329e+01  5.000000e-01  1.473504e+00  1.505324e+00 -2.444893e-01  8.068741e-01
 1.980083e-02  6.769226e-01  2.108579e+00  0.000000e+00  0.000000e+00  2.731257e-01  2.276669e-01  4.755036e-02  1.419963e-02
-4.467984e-03 -2.244433e-02  1.864854e-02  4.457857e+01  1.000000e+00  9.649120e+00  3.952395e+00 -2.358463e+00  8.511187e+00
3  7.383115e-01 -3.792467e-01  2.464139e+00  1.145735e+00  1.072493e-01  9.356080e+00 6 1 -1.000000e+00
 1.834086e+00 -6.080471e-01  2.684849e+00  0.000000e+00  0.000000e+00  3.239820e-01 -1.856235e-01  2.237939e-01  7.534051e-03
-4.693171e-01  2.673468e-01 -2.879480e-01  1.637653e+02  5.000000e-01  8.592481e-01 -9.504842e-01  1.609112e+00  2.708731e-01
-3.641196e-03  2.120116e-03  3.527455e-05  1.991116e+02  1.000000e+00  1.751334e+02 -1.598968e+01  4.144550e+01  1.734126e+02
2  1.407392e-01  7.121584e-02  1.090716e+00  7.903385e-01  2.710236e-01  8.699790e+00 6 3 -1.000000e+00
-4.367603e-01 -1.367319e-01 -8.657288e-01  5.799923e+01  5.000000e-01  3.604983e-01 -1.034934e+00 -7.021187e-01  9.224886e-02
 4.402956e-01  5.116772e-01  3.194293e+00  0.000000e+00  0.000000e+00  2.280003e-01  4.291546e-02 -5.301731e-01  7.636388e-03
3  5.481085e-01 -1.056058e-01  9.202439e-01  3.629348e-01  1.041055e-02  8.798750e+00 6 2 -1.000000e+00
 8.049235e-01 -3.070518e-01  3.044957e+00  0.000000e+00  0.000000e+00  3.078719e-01 -3.641239e-01  1.343247e-01  3.566358e-03
-5.633115e-02  1.712289e-02 -3.169968e-02  2.255019e+02  5.000000e-01  3.909700e+00 -5.616647e+00  2.909586e+00  2.963243e+00
-1.055064e-02  3.753478e-03  1.371681e-03  2.268260e+02  1.000000e+00  3.259287e+01 -1.172602e+01  1.147072e+01  3.122501e+01
3  3.062290e-01 -2.906583e-01  1.361454e+00  6.248272e-01  2.554125e-01  5.355420e+00 6 1 -1.000000e+00
 6.480986e-01 -7.963439e-01  1.731140e+00  0.000000e+00  0.000000e+00  2.123989e-01  1.955625e-02  2.056191e-01  8.025869e-03
-2.712583e-01  2.078168e-01 -4.421549e-01  6.945483e+01  5.000000e-01  5.800944e-01 -4.697440e-01  1.489064e+00  1.771990e-01
-1.098934e-03  9.869462e-04  1.820004e-05  9.207250e+01  1.000000e+00  2.385516e+02 -9.423605e+00  3.737653e+01  2.371379e+02
