# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3 -2.041605e+00  2.985788e+00  1.088498e+00  6.491912e-01  3.000403e-01  6.413840e+00 6 1  3.248333e-01
 5.448891e-02  9.430853e-01  2.031621e+00  0.000000e+00  0.000000e+00  2.412573e-01  2.775444e-01  8.026016e-02  2.243217e-02
 5.465570e-02 -1.454128e-01 -6.095681e-01  2.217508e+01  5.000000e-01  1.742129e+00  1.077048e+00  1.015494e+00  1.075668e+00
 2.006724e-02 -5.863900e-02  1.327111e-01  2.224683e+01  1.000000e+00  4.350216e+00  1.375670e+00  1.340267e+00  3.433012e+00
3 -4.300980e-01  4.810531e-01  8.147002e-01  4.359557e-01  2.711905e-01  7.456520e+00 6 3  2.833589e-01
 3.263442e-01 -4.641688e-01  4.724158e+00  0.000000e+00  0.000000e+00  3.964295e-01  1.872090e-01  3.428881e-01  9.109013e-03
-5.371289e-02  2.564511e-01 -1.281147e+00  2.672933e+01  5.000000e-01  8.599900e-01  8.397550e-01  3.081638e-01  6.308154e-02
-9.851569e-04  3.012967e-03  8.979884e-04  3.401360e+01  1.000000e+00  3.472476e+01  3.256377e+00  3.627071e+00  3.058776e+01
3  6.770610e-01  4.993692e-01  1.597914e+00  6.580082e-01  1.181954e-01  6.619330e+00 6 1 -1.000000e+00
 1.416598e+00  5.135412e-01  1.745217e+00  0.000000e+00  0.000000e+00  2.079061e-01  1.775744e-04 -2.332767e-01  7.275995e-03
-7.785946e-02 -5.208086e-02 -2.062766e-01  1.409997e+02  5.000000e-01  4.028065e+00 -1.165484e+00 -3.557905e+00  3.424521e+00
-5.558953e-02 -3.632255e-02  1.110784e-01  1.410118e+02  1.000000e+00  6.177409e+00 -1.512304e+00 -3.939016e+00  5.521431e+00
1  9.422386e-02  8.581726e-02  0.000000e+00  8.427793e-02  0.000000e+00  3.234720e+00 0 2  2.955088e-01
-1.030647e-01  4.038752e-02  6.603803e+00  0.000000e+00  0.000000e+00  4.780464e-01 -2.643201e-01  2.261473e-01  3.791158e-03
3  4.493800e-01  3.311341e-01  6.770813e-01  3.105161e-01  1.575093e-01  2.657970e+00 6 1  2.875555e-01
 4.244423e-01 -4.231733e-01  1.734784e+00  0.000000e+00  0.000000e+00  2.295138e-01  2.510845e-02  1.287557e-01  6.877237e-03
-5.412584e-02  5.579604e-02 -2.732447e-01  5.184489e+01  5.000000e-01  1.879161e+00  2.706566e-01  2.087916e+00  9.786572e-01
-1.143327e-02  1.072058e-02  1.312214e-02  5.229876e+01  1.000000e+00  1.121203e+01 -5.699847e-01  5.268158e+00  9.650909e+00
3  4.736554e-01  5.595192e+00  7.403584e+00  5.270627e+00  4.944648e-01  7.735140e+00 6 3  2.870138e-01
 6.444102e-01  6.210239e+00  3.052952e+00  0.000000e+00  0.000000e+00  3.951067e-01  1.716573e-01 -9.422232e-02  5.759633e-03
-1.498160e+00 -8.765410e-01 -1.509577e+00  2.102936e+02  5.000000e-01  1.369620e+00 -4.929699e-01 -7.456787e-01  2.558674e-01
-2.392594e-01 -1.815021e-01  1.258530e-01  2.152151e+02  1.000000e+00  4.375909e+00 -9.351258e-01 -1.605156e+00  2.296749e+00
3 -5.906998e-02  3.856754e-02  1.602868e-01  8.108796e-02  2.182133e-01  2.924000e+00 6 1 -1.000000e+00
-1.192243e-01  6.214583e-02  1.801720e+00  0.000000e+00  0.000000e+00  1.830033e-01 -9.691622e-02  3.210385e-01  3.460422e-02
 2.347360e-02 -1.085534e-02 -3.931592e-01  6.245612e+00  5.000000e-01  1.438463e+00 -8.810038e-01  1.399850e+00  1.203532e+00
 6.296323e-03 -2.679285e-03  4.035645e-02  6.309785e+00  1.000000e+00  6.550563e+00 -1.983570e+00  1.447418e+00  6.245597e+00
3  6.095403e-02 -2.687812e-01  7.982423e-01  3.280855e-01  1.409529e-01  2.879300e+00 6 1 -1.000000e+00
 2.544771e-02 -5.772584e-01  1.871366e+00  0.000000e+00  0.000000e+00  1.780590e-01  3.661266e-01  8.467250e-02  9.052339e-03
-7.773704e-02  2.142867e-01 -2.637745e-01  5.457922e+01  5.000000e-01  4.747885e-01  1.601186e+00  1.226037e+00  2.211449e-01
-1.332993e-04  3.075317e-04  1.266942e-06  8.709875e+01  1.000000e+00  9.649268e+02  1.626403e+02  3.367505e+02  9.640902e+02
3 -1.421727e-03 -2.340038e-01  1.590571e+00  8.469205e-01  4.966228e-01  4.694110e+00 6 3 -1.000000e+00
-3.618793e-01 -1.021432e+00  3.499361e+00  0.000000e+00  0.000000e+00  3.889598e-01  2.668244e-01 -1.280953e-01  1.990732e-02
-1.432245e-01  5.540386e-01 -1.737863e+00  4.662899e+01  5.000000e-01  6.098533e-01  7.188083e-01  4.592913e-01  1.161721e-01
-7.891120e-05  2.849425e-03  2.296482e-04  7.404975e+01  1.000000e+00  6.747872e+01  7.694990e+00  2.391894e+00  6.602421e+01
3  1.512918e-01  5.100942e-02  5.548465e-01  2.395009e-01  2.246568e-01  4.875270e+00 6 1 -1.000000e+00
-1.474238e-01 -8.439563e-02 -5.049888e-01  4.813392e+01  5.000000e-01  6.313389e-01 -8.578798e-01 -1.174817e+00  3.837298e-01
 3.895824e-01  5.517175e-02  2.247823e+00  0.000000e+00  0.000000e+00  2.134906e-01 -3.931572e-01 -1.383820e-01  3.150244e-02
-2.410286e-03 -1.386496e-03  4.404687e-04  6.179850e+01  1.000000e+00  5.102977e+01 -8.098629e-01 -1.523198e+01  5.046702e+01
5 -3.093517e-02  6.938521e-02  2.248169e+00  9.091945e-01  1.000000e+00  4.409160e+00 6 3 -1.000000e+00
-5.170033e-02 -8.102405e-01 -2.013002e+00  3.583533e+01  5.000000e-01  6.122549e-01  7.958158e-01 -1.174477e-01  7.169971e-02
 1.096032e+00  4.299255e-02  4.481559e+00  1.273946e+01  0.000000e+00  4.358279e-01 -3.025343e-01 -6.022041e-02  1.929786e-02
-1.126238e+00  3.832562e-01  3.506653e+00  0.000000e+00  0.000000e+00  4.003992e-01 -1.826854e-01  2.024226e-01  1.520148e-02
 3.290789e-01  8.615698e-01 -3.456453e+00  2.155821e+01  5.000000e-01  5.600154e-01  5.513312e-01 -4.230062e-01  5.055293e-02
 1.668084e-04 -4.805741e-04  5.119689e-05  9.830042e+01  1.000000e+00  1.427610e+02  2.314959e+01  5.277590e+00  1.397228e+02
3  1.842712e-01 -2.856498e-02  4.123552e-01  1.329019e-01  1.150206e-01  2.889620e+00 6 1 -1.000000e+00
 3.579917e-01 -3.644929e-02  1.596945e+00  0.000000e+00  0.000000e+00  1.956539e-01 -1.055210e-01  9.819615e-02  4.723863e-03
-5.318273e-02 -5.265238e-03 -1.836816e-01  1.825793e+01  5.000000e-01  1.245118e+00 -2.340844e+00  1.572660e-01  8.221770e-01
-5.399946e-03 -1.148264e-03  2.574333e-03  1.872855e+01  1.000000e+00  2.288358e+01 -6.062675e+00 -7.326980e+00  2.218295e+01
3  3.855789e-02 -4.699547e-01  1.656425e+00  5.856380e-01  2.094259e-01  5.163640e+00 6 1 -1.000000e+00
 4.460477e-02 -1.279042e+00  2.251416e+00  0.000000e+00  0.000000e+00  3.200373e-01  1.283579e-01  4.133455e-02  5.288955e-03
-9.939087e-03  3.764842e-01 -4.715048e-01  1.886987e+02  5.000000e-01  6.646548e-01  1.478531e+00  2.174202e-01  1.690710e-01
 1.110285e-04  1.218346e-03  7.385003e-06  2.483306e+02  1.000000e+00  3.908160e+02  1.101363e+02 -6.646012e+01  3.894549e+02
3  6.956551e-02  4.819811e-01  1.273327e+00  5.808631e-01  1.263373e-01  6.385680e+00 6 1 -1.000000e+00
 2.109657e-01  9.943830e-01  1.932510e+00  0.000000e+00  0.000000e+00  2.413117e-01  2.263701e-01 -8.308317e-02  4.040546e-03
-2.069808e-02 -2.576922e-01 -2.441482e-01  1.732639e+02  5.000000e-01  6.710373e-01  2.015765e+00 -3.752064e-01  2.015337e-01
-6.156371e-05 -1.309223e-03  1.228016e-05  2.123765e+02  1.000000e+00  2.896786e+02  3.882644e+01  1.989067e+01  2.882627e+02
3 -3.708246e-02 -5.213445e-01  1.337646e+00  6.119866e-01  1.539500e-01  5.781650e+00 6 1 -1.000000e+00
-8.192543e-02 -1.055827e+00  1.594027e+00  0.000000e+00  0.000000e+00  1.841477e-01  1.918595e-01 -3.824677e-02  4.155178e-03
 1.466533e-02  2.783273e-01 -2.454003e-01  1.448555e+02  5.000000e-01  5.537907e-01  2.054992e+00 -2.260176e-01  1.818020e-01
 5.362851e-05  1.044753e-03  6.870810e-06  1.830451e+02  1.000000e+00  3.841503e+02  3.537743e+01  3.051794e+00  3.828990e+02
5  1.410723e+00 -9.307124e-01  4.388957e+00  1.959901e+00  1.000000e+00  6.900570e+00 6 3 -1.000000e+00
 1.634906e+00 -2.889420e+00 -1.535979e+01  1.959018e+02  5.000000e-01  6.295717e-01  8.417998e-02  4.418551e-01  9.497215e-04
 3.719988e+00  3.566599e-01  3.294227e+00  0.000000e+00  0.000000e+00  3.926043e-01 -2.350270e-01  1.006502e-01  8.385093e-04
 1.188874e+00 -3.228924e+00  1.542580e+01  1.948465e+02  0.000000e+00  5.585975e-01  1.244961e-01  3.383939e-01  7.005131e-04
-1.520618e-01  9.801581e-02 -1.753599e-02  1.335537e+03  5.000000e-01  5.337888e+00 -3.031443e+00  8.164142e+00  3.529761e+00
-1.537912e-02  9.014375e-03  1.919766e-04  1.347862e+03  1.000000e+00  8.841017e+01 -2.516014e+01  4.240916e+01  8.565595e+01
3 -1.547634e-01 -1.559403e-01  2.065062e+00  1.083566e+00  3.848868e-01  7.163550e+00 6 3 -1.000000e+00
