# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
1  8.186212e-01 -1.785511e+00  0.000000e+00  1.177328e+00  0.000000e+00  2.062670e+00 0 2 -1.000000e+00
 2.699593e+00 -2.822879e+00  3.678885e+00  0.000000e+00  0.000000e+00  4.266885e-01  1.002568e-01  2.163636e-01  7.904772e-03
2 -3.258713e-01 -1.036479e-02  1.008315e+00  3.864849e-01  1.372445e-01  7.633610e+00 6 1 -1.000000e+00
-7.515733e-01 -1.193217e-01  2.647505e+00  0.000000e+00  0.000000e+00  3.023857e-01 -3.263093e-01 -4.973712e-02  1.741817e-03
 2.494085e-01  2.068177e-03 -3.633554e-01  1.327088e+02  5.000000e-01  5.868299e-01 -1.709072e+00  4.369129e-02  4.227765e-02
1  1.030985e+01  6.147612e+00  0.000000e+00  5.666394e+00  0.000000e+00  8.070770e+00 0 2 -1.000000e+00
 1.619817e+01  7.192878e+00  3.701628e+00  0.000000e+00  0.000000e+00  4.054392e-01 -1.211214e-01 -2.620702e-01  1.221606e-03
3 -7.122968e-01  5.187085e-01  2.142009e+00  8.848268e-01  1.360444e-01  7.170430e+00 6 1 -1.000000e+00
-1.623272e+00  7.430312e-01  1.547738e+00  0.000000e+00  0.000000e+00  1.760580e-01 -3.882045e-03  1.810001e-01  1.468201e-02
 2.834394e-01 -2.330078e-01 -2.105611e-01  9.147644e+01  5.000000e-01  1.114638e+00 -3.396027e-01  2.155697e+00  7.896644e-01
 1.681433e-02 -1.291396e-02  1.168638e-03  9.696748e+01  1.000000e+00  3.191984e+01 -2.083315e+00  9.797942e+00  3.125860e+01
5  9.183246e-02  1.188356e-01  2.043378e+00  8.770526e-01  1.000000e+00  5.150890e+00 6 3 -1.000000e+00
-3.468358e-01 -6.617996e-01 -1.837821e+00  9.847574e+01  5.000000e-01  7.454661e-01  4.749365e-01 -6.191491e-01  6.859401e-02
 1.276969e+00  7.797984e-02  5.698293e+00  0.000000e+00  0.000000e+00  5.286558e-01 -2.014394e-01 -7.807903e-02  4.262789e-03
