# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3 -9.110980e-02  2.125490e-02  7.038292e-01  3.109534e-01  5.424101e-01  3.734630e+00 6 3 -1.000000e+00
 2.521119e-01 -5.510663e-02 -5.413376e+00  3.957611e+00  5.000000e-01  6.110786e-01 -5.486328e-01  1.870551e-01  3.631867e-01
-4.265341e-01  1.314813e-01  2.936269e+00  0.000000e+00  0.000000e+00  3.253386e-01 -3.012494e-01  1.544298e-01  1.296340e-01
 1.046576e-02 -3.143856e-03  2.454102e-02  5.091528e+00  1.000000e+00  7.489986e+00 -7.665470e-01  8.855595e-01  6.940016e+00
1  5.742359e+00  7.863774e-01  0.000000e+00  3.312368e+00  0.000000e+00  6.583540e+00 0 2  2.853634e-01
 4.570191e+00  7.008936e+00  3.107249e+00  0.000000e+00  0.000000e+00  3.739884e-01  1.263959e-01 -2.325651e-01  3.315304e-04
3  2.416500e-01  6.143273e-01  9.607120e-01  3.762525e-01  2.213633e-01  4.858410e+00 6 1  2.828696e-01
 6.737418e-01 -4.308192e-01  2.056561e+00  0.000000e+00  0.000000e+00  2.675586e-01 -1.339836e-01  1.796387e-01  9.299986e-03
-1.274380e-01  9.934905e-02 -4.552470e-01  5.878614e+01  5.000000e-01  1.312291e+00 -5.236763e-01  1.421231e+00  5.462676e-01
-1.197457e-02  1.024760e-02  5.538684e-03  6.064010e+01  1.000000e+00  1.603305e+01  1.081941e-01  6.740366e+00  1.436230e+01
1  7.349690e-01 -7.468831e-01  0.000000e+00  5.180979e-01  0.000000e+00  6.619330e+00 0 2  2.778476e-01
 6.033172e-01 -4.119753e-01  6.821271e+00  0.000000e+00  0.000000e+00  4.366821e-01  2.499678e-02  4.124342e-01  7.236439e-03
3  2.897762e-01 -2.963987e-01  1.193193e+00  6.558118e-01  1.144237e-01  4.451450e+00 6 1 -1.000000e+00
 6.820274e-01 -5.452710e-01  2.517640e+00  0.000000e+00  0.000000e+00  2.463024e-01 -1.957181e-02  4.128918e-01  1.171381e-02
-2.288036e-01  2.255057e-01 -2.880777e-01  5.744219e+01  5.000000e-01  5.410387e-01  1.217296e-01  1.914971e+00  1.772357e-01
-7.355058e-04  5.776902e-04  6.931076e-06  8.247224e+01  1.000000e+00  3.897142e+02 -5.639042e+01  6.034158e+01  3.885592e+02
3 -4.809422e-02 -2.978200e-01  9.053027e-01  3.550551e-01  2.283562e-01  5.784150e+00 6 1 -1.000000e+00
-1.324540e-02 -7.341681e-01  1.560329e+00  0.000000e+00  0.000000e+00  1.959004e-01  4.697494e-02 -5.898366e-02  7.581094e-03
 4.363991e-02  1.693456e-01 -3.563108e-01  4.624715e+01  5.000000e-01  7.584191e-01  1.430742e+00 -9.043650e-01  3.679140e-01
 5.720504e-04  2.966272e-03  1.651405e-04  5.243117e+01  1.000000e+00  8.126624e+01  1.753125e+01 -8.937249e+00  8.026072e+01
2 -3.269029e-01 -2.452986e-02  1.208458e+00  5.909604e-01  3.007924e-01  4.153390e+00 6 1 -1.000000e+00
-8.411614e-01 -2.130410e-01  1.789599e+00  0.000000e+00  0.000000e+00  2.132059e-01 -2.321296e-01 -7.985300e-02  7.477762e-03
 3.522001e-01 -2.262044e-02 -5.382980e-01  8.448412e+01  5.000000e-01  4.639907e-01 -1.439764e+00  2.685006e-01  1.127814e-01
3  2.157556e-01  2.337635e-01  9.030843e-01  4.259695e-01  7.348043e-02  6.884160e+00 6 2 -1.000000e+00
 4.303701e-01  5.391713e-01  3.246108e+00  0.000000e+00  0.000000e+00  3.132132e-01  6.311114e-02 -3.995395e-01  1.746537e-02
-1.483374e-01 -1.541244e-01 -2.385254e-01  5.925083e+01  5.000000e-01  9.635107e-01  8.290098e-02 -2.046188e+00  4.284302e-01
-1.282581e-03 -1.329194e-03  3.234354e-05  7.321519e+01  1.000000e+00  1.936890e+02  4.006247e-01 -7.880869e+01  1.921109e+02
2 -1.262933e+00 -2.955731e+00  7.769653e+00  2.903500e+00  2.601326e-04  9.945160e+00 6 2 -1.000000e+00
-3.188063e+00 -7.014034e+00  3.279440e+00  0.000000e+00  0.000000e+00  3.891324e-01  9.427280e-02 -2.436017e-01  2.247621e-05
 2.058596e-02  6.212894e-02 -8.530893e-04  7.457703e+03  5.000000e-01  1.868169e+01  2.916934e+01 -2.517940e+01  1.468286e+01
3 -1.164785e-01  1.179136e+00  9.315000e-01  4.259912e-01  4.625436e-01  8.473680e+00 6 3  2.778239e-01
 2.358522e-01 -1.670865e-01 -2.046567e+00  3.576568e+01  5.000000e-01  6.944760e-01 -2.024031e-01  7.355276e-01  7.206760e-02
-5.754973e-01  2.905205e-01  4.424593e+00  0.000000e+00  0.000000e+00  4.908141e-01 -8.434063e-02  1.617018e-01  7.772773e-03
 7.178010e-04 -4.602562e-04  5.370783e-05  5.402163e+01  1.000000e+00  1.393653e+02 -9.476733e+00  2.087824e+01  1.373116e+02
3  2.996078e-01  1.199631e+00  3.178354e+00  1.455809e+00  3.609197e-02  4.443000e+00 6 2 -1.000000e+00
 8.299199e-01  2.610737e+00  4.077563e+00  0.000000e+00  0.000000e+00  4.187252e-01  2.685040e-01 -1.433230e-01  1.476149e-03
