# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3 -2.913823e-01  3.880779e-01  1.516583e+00  7.319056e-01  1.701685e-01  2.368000e+00 6 1 -1.000000e+00
-1.063663e+00  6.880875e-01  2.206779e+00  0.000000e+00  0.000000e+00  2.972952e-01  1.736816e-02  2.008564e-01  2.094769e-02
 1.496270e-01 -2.218307e-01 -3.755242e-01  1.316867e+02  5.000000e-01  1.291735e+00  8.586415e-01  1.418023e+00  6.805240e-01
 1.777196e-02 -2.054504e-02  6.931184e-03  1.367424e+02  1.000000e+00  1.407552e+01  4.403671e-01  5.147800e+00  1.301712e+01
3  4.154626e-01  3.053285e-01  1.549722e+00  5.408646e-01  1.870738e-01  1.070350e+01 6 1 -1.000000e+00
 1.063396e+00  5.990022e-01  2.013995e+00  0.000000e+00  0.000000e+00  2.665161e-01 -5.300913e-02 -1.966289e-01  3.052810e-03
-2.460678e-01 -2.298181e-01 -3.767656e-01  6.559719e+01  5.000000e-01  6.332207e-01 -2.236885e-01 -1.654890e+00  1.459155e-01
-1.093852e-03 -1.311552e-03  1.860025e-05  8.157166e+01  1.000000e+00  2.409845e+02  5.386301e+01 -3.047334e+01  2.394957e+02
3 -4.391155e-02  7.782810e-02  1.938996e-01  1.151290e-01  1.017736e-01  1.284830e+01 6 1 -1.000000e+00
-7.163848e-02  1.570661e-01  1.860327e+00  0.000000e+00  0.000000e+00  2.350029e-01  1.593165e-01  1.493284e-01  1.344794e-02
 1.645936e-02 -1.566444e-02 -1.893322e-01  3.263510e+00  5.000000e-01  2.810227e+00  2.194940e-01  2.917270e+00  2.388149e+00
 6.167190e-03 -5.673603e-03  3.089665e-02  3.274147e+00  1.000000e+00  9.115514e+00 -9.887914e-01  5.702446e+00  8.601298e+00
3  1.089800e+00 -1.882969e-01  1.844425e+00  8.052185e-01  3.794899e-03  1.515740e+01 6 2 -1.000000e+00
 1.606323e+00 -7.354774e-01  3.355672e+00  0.000000e+00  0.000000e+00  3.592428e-01 -3.123288e-01  1.225462e-01  2.187446e-03
-7.770133e-02  1.682828e-02 -1.273444e-02  4.613688e+02  5.000000e-01  6.877328e+00 -9.863727e+00  3.972042e+00  5.658358e+00
-1.527113e-02  3.579264e-03  5.499653e-04  4.632015e+02  1.000000e+00  5.443544e+01 -2.851103e+01  1.497236e+01  5.274341e+01
3  2.364005e-01  1.296634e-01  7.988702e-01  3.231492e-01  1.782410e-01  7.737220e+00 6 1 -1.000000e+00
-1.689529e-01 -1.067968e-01 -4.505929e-01  3.058483e+01  5.000000e-01  6.095653e-01 -6.637730e-01 -1.389656e+00  1.405813e-01
 5.505021e-01  2.404468e-01  2.527997e+00  0.000000e+00  0.000000e+00  2.582804e-01 -2.544082e-01 -2.997574e-01  6.918921e-03
-1.604387e-03 -9.060487e-04  1.248130e-04  3.772780e+01  1.000000e+00  9.068659e+01  3.854799e+00  4.103726e+00  8.924117e+01
2 -3.214073e-01 -5.555143e-01  2.389828e+00  8.856135e-01  3.008881e-01  1.546060e+01 6 1 -1.000000e+00
-6.353823e-01 -1.713883e+00  2.388252e+00  0.000000e+00  0.000000e+00  3.137002e-01  8.140353e-02 -2.136928e-01  1.360325e-03
 2.818673e-01  4.929088e-01 -7.185967e-01  2.165331e+02  5.000000e-01  6.244743e-01  4.910279e-01 -1.136447e+00  3.329326e-02
3 -7.947218e-01 -8.489947e-02  1.256608e+00  6.614965e-01  5.265439e-01  1.207490e+01 6 3  2.799555e-01
-7.103607e-01 -3.984158e-01  4.975890e+00  0.000000e+00  0.000000e+00  3.999231e-01 -1.115516e-01 -3.829876e-01  1.182192e-02
 1.122625e-01  5.515081e-01 -2.620025e+00  2.634410e+01  5.000000e-01  4.784592e-01  7.465028e-01 -3.105061e-01  5.573569e-02
 1.862411e-04  5.897994e-04  5.246582e-05  6.822322e+01  1.000000e+00  1.419788e+02  2.412626e+01  1.526197e+01  1.386693e+02
2  5.508185e-01  9.412475e-01  2.881348e+00  1.319712e+00  1.792496e-02  1.099740e+01 6 2 -1.000000e+00
 2.058524e+00  1.592736e+00  4.361618e+00  0.000000e+00  0.000000e+00  4.335443e-01 -8.178436e-03 -3.025432e-01  6.940805e-04
-1.411029e-01 -2.683954e-01 -7.818183e-02  6.915345e+02  5.000000e-01  1.759005e+00  2.172155e+00 -2.940838e+00  3.467209e-01
3  3.201303e-01  9.620466e-02  1.739630e+00  7.835683e-01  5.156006e-01  5.213520e+00 6 1 -1.000000e+00
-5.557370e-01  1.092824e-01 -8.902798e-01  4.620415e+01  5.000000e-01  5.525621e-01 -1.015756e+00  5.400764e-01  1.473728e-01
