# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3  3.508646e-01 -1.258485e+00  4.460896e+00  1.903381e+00  1.859366e-01  1.442970e+01 6 1 -1.000000e+00
 1.387815e+00 -3.749685e+00  1.816236e+00  0.000000e+00  0.000000e+00  2.516522e-01  4.866143e-02 -8.406734e-02  1.104968e-03
-1.634253e-01  4.328077e-01 -3.377048e-01  5.734444e+02  5.000000e-01  1.297417e+00  1.339473e+00  1.120462e+00  3.979720e-01
-6.803139e-03  1.791002e-02  5.050420e-04  5.903942e+02  1.000000e+00  4.771963e+01  8.656340e+00  1.130303e+01  4.572590e+01
4  8.577715e-01 -2.993277e-02  8.148233e-01  3.869160e-01  1.000000e+00  6.504580e+00 6 3  2.805519e-01
 1.242360e-02 -2.965079e-01  3.653095e+00  2.042123e+01  0.000000e+00  3.625781e-01  3.547982e-01  8.175848e-02  1.410859e-02
-2.040183e-01 -1.485363e-01 -1.448928e+00  2.180243e+01  5.000000e-01  5.136008e-01 -4.804215e-01 -8.342330e-01  5.661536e-02
 2.039497e-01 -1.466516e-01 -1.765393e+00  2.137865e+01  5.000000e-01  4.315660e-01 -4.676563e-01  8.190610e-01  4.098512e-02
 8.504177e-03  5.183060e-01  1.757567e+00  0.000000e+00  0.000000e+00  2.441952e-01  3.232825e-02  3.503235e-02  2.831477e-03
3 -3.800923e-01 -1.132300e+00  1.195593e+00  9.088027e-01  8.484856e-01  1.442850e+01 6 1  2.712628e-01
-2.406394e-01 -6.432551e-01 -1.230418e+00  1.326478e+02  5.000000e-01  9.161656e-01  7.970481e-01 -4.295053e-01  3.210625e-02
 1.181797e-02  5.253802e-01 -1.043992e+00  1.585104e+02  5.000000e-01  7.790654e-01  1.000101e+00 -8.044605e-02  4.989552e-02
-2.031341e-04  2.985040e-04  1.972684e-05  2.285313e+02  1.000000e+00  2.268167e+02  1.464657e+01 -9.290320e+00  2.240652e+02
3  2.546342e-01  4.718133e-01  1.992797e+00  8.439878e-01  6.278081e-01  9.692370e+00 6 1 -1.000000e+00
-9.169722e-02 -4.309152e-01 -1.079137e+00  5.902839e+01  5.000000e-01  7.782650e-01  9.238315e-01 -3.498110e-01  3.694274e-01
 9.732116e-01  1.253486e+00  1.718897e+00  0.000000e+00  0.000000e+00  2.290111e-01  7.527101e-02 -8.360483e-02  1.395542e-02
-1.054728e-02 -2.631600e-02  7.986144e-03  6.323128e+01  1.000000e+00  1.240730e+01  2.141844e+00 -5.675773e-01  1.158722e+01
3  2.443364e-01 -5.405351e-02  1.103983e+00  5.660975e-01  3.005407e-01  6.166640e+00 6 1 -1.000000e+00
 6.536082e-01 -4.875533e-01  2.054148e+00  0.000000e+00  0.000000e+00  2.595704e-01 -1.611686e-01  1.882571e-01  2.996230e-02
-3.348214e-01  4.163436e-03 -6.173551e-01  4.379542e+01  5.000000e-01  6.821179e-01 -1.306034e+00 -1.230350e-01  3.076386e-01
-4.408211e-03  9.064638e-04  4.432014e-04  5.721729e+01  1.000000e+00  5.006886e+01 -1.153110e+01  4.298450e+00  4.905889e+01
3  1.520209e-01  4.641765e-01  1.485412e+00  5.626157e-01  1.295627e-01  6.758050e+00 6 1 -1.000000e+00
 2.122705e-01  1.091135e+00  2.439894e+00  0.000000e+00  0.000000e+00  2.767943e-01  2.817587e-01 -1.838060e-01  1.674794e-02
-1.015214e-01 -3.607551e-01 -3.161192e-01  1.119505e+02  5.000000e-01  7.248565e-01  1.409395e+00 -1.119229e+00  2.908184e-01
-3.978873e-04 -2.540386e-03  3.013176e-05  1.448802e+02  1.000000e+00  1.964674e+02  7.082511e+01 -1.931105e+00  1.952015e+02
5  3.942944e-02 -2.615437e-02  9.930383e-01  5.537518e-01  1.000000e+00  4.119000e+00 6 3 -1.000000e+00
-3.950037e-01  2.425646e-01 -3.908641e+00  1.017668e+01  5.000000e-01  4.123763e-01 -2.941138e-01  7.173856e-01  8.524664e-02
 2.673878e-01 -4.619535e-01  6.056663e+01  5.602313e-02  0.000000e+00  3.567544e-01  2.805528e-01  5.643973e-01  5.121476e-02
 4.035712e-01 -3.476922e-01 -9.055943e+01  6.833543e-02  5.000000e-01  3.614977e-01 -7.128936e-02  6.431528e-01  5.506553e-02
-3.376869e-04  1.702365e-04  9.054732e-05  4.701207e+01  1.000000e+00  1.068984e+02 -1.279478e+01 -2.610318e+00  1.054797e+02
 5.512103e-01 -4.154682e-02  3.631186e+01  0.000000e+00  0.000000e+00  3.770929e-01 -5.708320e-01  1.860775e-01  7.499816e-02
1  1.958313e+00 -5.247092e-01  0.000000e+00  1.874526e+00  0.000000e+00  9.797390e+00 0 2 -1.000000e+00
 4.023804e+00  1.052229e-01  3.203739e+00  0.000000e+00  0.000000e+00  3.786799e-01 -2.558086e-01  9.200773e-02  7.848992e-04
3 -4.557079e-01 -2.269284e-01  1.754094e+00  8.656866e-01  1.266088e-01  9.312250e+00 6 1 -1.000000e+00
-1.441625e+00 -1.618094e-01  2.139343e+00  0.000000e+00  0.000000e+00  3.063669e-01 -2.592517e-02 -1.141118e-01  6.813687e-03
 2.833090e-01  1.567006e-01 -2.708597e-01  2.631858e+02  5.000000e-01  1.048403e+00 -7.284817e-01 -1.778653e+00  3.757411e-01
 2.781471e-03  1.096845e-03  3.094482e-05  3.066081e+02  1.000000e+00  2.030008e+02 -7.314137e+01 -5.602757e+01  2.010270e+02
1  3.955823e-02  2.389512e-01  0.000000e+00  5.725839e-02  0.000000e+00  1.339820e+01 0 2  2.736399e-01
-4.735917e-02 -1.714013e-01  3.315655e+00  0.000000e+00  0.000000e+00  3.424486e-01  3.495531e-01 -9.266570e-02  1.150346e-03
3  7.588203e-02 -5.866899e-02  1.404512e+00  6.607319e-01  5.147708e-01  5.506410e+00 6 3 -1.000000e+00
 1.780261e-01 -9.151034e-01  5.906569e+00  0.000000e+00  0.000000e+00  4.287246e-01  2.976538e-01  2.616387e-01  3.900838e-02
-5.903453e-01  2.605920e-01 -3.040529e+00  4.121858e+01  5.000000e-01  5.138581e-01 -5.392590e-01  5.238548e-01  3.221686e-02
-2.941690e-04  3.759381e-04  3.561465e-05  1.257188e+02  1.000000e+00  1.739112e+02  4.194869e+01  7.761789e+00  1.717333e+02
5  7.146312e-02  1.326707e-01  1.247680e+00  5.941230e-01  1.000000e+00  5.868010e+00 6 1 -1.000000e+00
-3.451343e-01 -3.117467e-01  2.801185e+00  5.867105e+01  0.000000e+00  3.052647e-01 -1.799553e-02 -3.540359e-01  4.924231e-02
 1.422905e-01 -3.292897e-01 -1.062826e+00  6.557398e+01  5.000000e-01  4.103671e-01  7.100797e-01  8.856307e-01  1.095769e-01
-4.106708e-01  2.945457e-02 -1.292642e+00  6.179464e+01  5.000000e-01  5.170545e-01 -9.369938e-01  3.590100e-01  2.108485e-01
 4.872739e-01  6.176625e-01  1.603158e+00  0.000000e+00  0.000000e+00  2.070803e-01  7.035618e-02 -1.694919e-03  9.877683e-03
-5.860282e-04 -7.738709e-04  8.814963e-05  1.092931e+02  1.000000e+00  1.090886e+02 -1.836797e+01  1.190997e+00  1.081549e+02
3 -1.639719e-01  3.992850e-01  1.596052e+00  8.910657e-01  1.896169e-01  1.000070e+01 6 1 -1.000000e+00
-1.294427e-01  1.096760e+00  2.325914e+00  0.000000e+00  0.000000e+00  1.974058e-01  4.451354e-01  1.267816e-01  1.819172e-02
 3.200759e-01 -4.346817e-01 -4.410327e-01  3.923570e+01  5.000000e-01  5.825057e-01  6.694933e-01  1.411909e+00  3.145997e-01
 2.215000e-03 -2.736100e-03  6.773250e-05  5.810941e+01  1.000000e+00  1.351237e+02 -1.263842e+01  5.536683e+01  1.343392e+02
3  4.874365e-01 -2.058443e-01  1.392054e+00  5.927484e-01  5.845526e-02  8.803420e+00 6 2 -1.000000e+00
 1.173484e+00 -2.778720e-01  3.399498e+00  0.000000e+00  0.000000e+00  3.810636e-01 -2.517515e-01  1.598199e-01  3.007683e-03
-7.076473e-03  3.500911e-03  5.940030e-04  2.318267e+02  1.000000e+00  4.285575e+01 -3.385993e+00  7.546254e+00  4.096044e+01
