# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3  9.261541e-02  4.195692e-01  1.813164e+00  1.003547e+00  2.089760e-01  1.070320e+01 6 1 -1.000000e+00
-2.207038e-01 -4.218567e-01 -4.317291e-01  6.071953e+01  5.000000e-01  9.870579e-01  8.640176e-01 -1.252960e+00  6.021352e-01
-8.309054e-01  1.285544e+00  2.065927e+00  0.000000e+00  0.000000e+00  2.664688e-01  2.311619e-01 -2.424692e-02  2.670931e-02
-7.561152e-03 -2.048704e-02  4.274995e-03  6.835747e+01  1.000000e+00  1.708000e+01  2.557934e+00 -4.255003e+00  1.632296e+01
3 -3.928911e-01 -7.425667e-01  2.188428e+00  1.223340e+00  1.492499e-01  2.889620e+00 6 1 -1.000000e+00
-4.717159e-01 -1.800221e+00  2.006198e+00  0.000000e+00  0.000000e+00  2.562620e-01  1.328430e-01 -1.924674e-01  7.178764e-03
 2.100979e-01  2.792855e-01 -2.994248e-01  2.076999e+02  5.000000e-01  1.127145e+00  5.767911e-01 -1.738739e+00  5.788417e-01
 1.558130e-02  2.136708e-02  2.868851e-03  2.160824e+02  1.000000e+00  2.041559e+01 -2.789801e-01 -5.321262e+00  1.939059e+01
3  6.926517e-02 -6.984941e-02  5.804686e-01  2.107752e-01  6.296528e-01  4.871280e+00 6 1 -1.000000e+00
 2.757693e-01 -2.527418e-01  2.777057e+00  0.000000e+00  0.000000e+00  3.083191e-01 -6.482114e-02  3.378271e-01  6.795486e-03
-1.193638e-01  1.724800e-01 -1.748581e+00  2.295323e+01  5.000000e-01  4.611090e-01  2.589654e-01  8.917581e-01  4.851087e-02
-7.811434e-05  1.453362e-04  3.728517e-06  4.659317e+01  1.000000e+00  5.439504e+02  1.626205e+02  1.210584e+01  5.422154e+02
3 -8.204990e-02 -5.950892e-01  1.439369e+00  5.881504e-01  1.586510e-01  5.735900e+00 6 1 -1.000000e+00
-1.137716e-01 -1.202714e+00  1.378494e+00  0.000000e+00  0.000000e+00  1.420990e-01  9.667699e-02 -3.490227e-02  1.358185e-02
 4.876324e-02  2.274485e-01 -2.186995e-01  9.358041e+01  5.000000e-01  1.138866e+00  1.983776e+00 -8.101869e-01  8.642814e-01
 3.408811e-03  1.543903e-02  1.443611e-03  9.813473e+01  1.000000e+00  2.916095e+01  8.453551e+00 -5.373021e+00  2.863430e+01
1  1.028046e+00 -3.361038e-01  0.000000e+00  1.000516e+00  0.000000e+00  1.390490e+01 0 2 -1.000000e+00
 2.281332e+00 -5.070785e-01  3.114013e+00  0.000000e+00  0.000000e+00  3.581518e-01 -2.601881e-01  1.521255e-01  2.275348e-03
3  9.817652e-02 -1.439386e-01  9.984311e-01  5.346889e-01  1.945276e-01  1.207440e+01 6 3 -1.000000e+00
 5.696839e-01 -3.226565e-01  4.055258e+00  0.000000e+00  0.000000e+00  3.069004e-01 -1.890590e-01  4.450285e-01  4.834706e-02
-1.922463e-01  3.225776e-01 -7.888596e-01  3.100688e+01  5.000000e-01  5.460813e-01  6.931494e-01  9.966136e-01  1.543360e-01
-6.310687e-04  7.126300e-04  2.958067e-05  5.867743e+01  1.000000e+00  1.943703e+02 -9.701639e+00  5.909383e+01  1.930625e+02
1  1.731820e+00 -4.166485e+00  0.000000e+00  4.190048e+00  0.000000e+00  3.048060e+00 0 2 -1.000000e+00
 1.104691e+00 -8.959041e+00  5.410993e+00  0.000000e+00  0.000000e+00  4.458452e-01  3.305623e-01  1.140489e-01  2.807512e-04
4  6.646063e-01 -1.762907e+00  2.388875e+00  1.901413e+00  1.000000e+00  1.099710e+01 6 3  2.835833e-01
-1.024705e+00 -7.836981e-01 -1.551529e+00  4.141752e+02  5.000000e-01  8.277669e-01 -6.700087e-02 -8.183524e-01  2.763756e-02
-1.522985e+00  9.898456e-01  3.784481e+00  3.793383e+02  0.000000e+00  4.469941e-01 -8.296648e-02  1.862663e-01  4.713938e-03
-9.889042e-02  1.418481e+00 -1.774268e+00  3.999675e+02  5.000000e-01  8.025251e-01  7.681181e-01 -1.122665e-01  1.387611e-02
-1.153523e-02  2.635197e-03  9.354939e-04  4.885999e+02  1.000000e+00  3.403965e+01 -4.736477e+00 -4.795498e-01  2.741518e+01
3 -5.508785e-01  5.728266e+00  2.703576e+00  1.732420e+00  3.137564e-01  8.803490e+00 6 3  2.858247e-01
-8.105330e-01 -7.869918e-01 -2.541507e+00  1.095714e+02  5.000000e-01  7.865514e-01  1.296165e-02 -6.624648e-01  1.802492e-02
-7.071232e-02  1.813391e+00  8.100254e+00  0.000000e+00  0.000000e+00  4.607541e-01  4.043656e-01 -6.181951e-02  3.815687e-03
-4.974304e-03 -4.902323e-03  1.041074e-03  1.669812e+02  1.000000e+00  3.260283e+01 -3.036435e+00 -5.382564e+00  2.715341e+01
3 -5.207265e-01  1.720839e-01  2.603027e+00  1.516877e+00  1.225765e-01  1.139700e+01 6 3 -1.000000e+00
 5.142502e-01 -1.622938e-01 -8.085078e-01  2.081673e+02  5.000000e-01  1.197386e+00 -9.255071e-01  6.474909e-01  8.846753e-02
-2.029829e+00  3.885325e-01  6.595944e+00  0.000000e+00  0.000000e+00  5.293029e-01 -2.229290e-01  1.423027e-01  1.909429e-03
 3.174041e-03 -1.203547e-03  5.344007e-05  2.402281e+02  1.000000e+00  1.428346e+02 -2.508495e+01  2.784334e+01  1.392559e+02
1 -1.735117e+00  4.023186e+00  0.000000e+00  1.411081e+00  0.000000e+00  2.867650e+00 0 2 -1.000000e+00
-2.834997e+00  5.858732e+00  3.196011e+00  0.000000e+00  0.000000e+00  3.745313e-01  1.883214e-01  2.070173e-01  2.615794e-04
3 -9.568333e-02  2.981763e-01  1.386935e+00  5.018900e-01  2.599007e-01  8.512290e+00 6 1 -1.000000e+00
